engine,storage,benchmark,sf,query,latency_ms,gpu_power_w,gpu_energy_j,status
maximus,gpu,tpch,1,q1,43.0,126,5.4021,OK
maximus,gpu,tpch,1,q3,36.0,109,3.9158,OK
maximus,gpu,tpch,1,q6,10.0,100,1.0029,OK
maximus,gpu,tpch,5,q1,79.0,183,14.4748,OK
maximus,gpu,tpch,5,q3,63.0,154,9.7203,OK
maximus,gpu,tpch,5,q6,15.0,171,2.5587,OK
maximus,gpu,tpch,10,q1,126.0,172,21.6407,OK
maximus,gpu,tpch,10,q3,50.0,173,8.6378,OK
maximus,gpu,tpch,10,q6,18.0,163,2.927,OK
maximus,gpu,h2o,1gb,q1,33.0,130,4.2949,OK
maximus,gpu,h2o,1gb,q3,236.0,97,22.9996,OK
maximus,gpu,h2o,1gb,q5,38.0,189,7.1752,OK
maximus,gpu,h2o,2gb,q1,52.0,144,7.5059,OK
maximus,gpu,h2o,2gb,q3,361.0,118,42.4464,OK
maximus,gpu,h2o,2gb,q5,62.0,156,9.6839,OK
maximus,gpu,h2o,3gb,q1,60.0,169,10.1518,OK
maximus,gpu,h2o,3gb,q3,387.0,126,48.8507,OK
maximus,gpu,h2o,3gb,q5,53.0,176,9.347,OK
maximus,gpu,h2o,4gb,q1,98.0,156,15.2585,OK
maximus,gpu,h2o,4gb,q3,519.0,137,71.0332,OK
maximus,gpu,h2o,4gb,q5,522.0,205,107.0663,OK
maximus,gpu,clickbench,1,q1,8.0,97,0.7731,OK
maximus,gpu,clickbench,1,q6,8.0,102,0.8189,OK
maximus,gpu,clickbench,1,q20,30.0,176,5.2704,OK
maximus,gpu,clickbench,5,q1,12.0,132,1.5807,OK
maximus,gpu,clickbench,5,q6,28.0,127,3.5606,OK
maximus,gpu,clickbench,5,q20,182.0,237,43.1454,OK
maximus,gpu,clickbench,10,q1,12.0,147,1.7599,OK
maximus,gpu,clickbench,10,q6,190.0,165,31.426,OK
maximus,gpu,clickbench,10,q20,114.0,223,25.3783,OK
maximus,gpu,clickbench,20,q1,8.0,171,1.3688,OK
maximus,gpu,clickbench,20,q6,18.0,171,3.0807,OK
maximus,gpu,clickbench,20,q20,192.0,216,41.5074,OK
maximus,gpu,microbench_tpch,1,w1_002,4.0,104,0.4171,OK
maximus,gpu,microbench_tpch,1,w3_001,35.0,94,3.2773,OK
maximus,gpu,microbench_tpch,1,w5a_029,209.0,125,26.1334,OK
maximus,gpu,microbench_tpch,5,w1_002,5.0,111,0.5559,OK
maximus,gpu,microbench_tpch,5,w3_001,28.0,99,2.7612,OK
maximus,gpu,microbench_tpch,5,w5a_029,39.0,165,6.4317,OK
maximus,gpu,microbench_tpch,10,w1_002,11.0,141,1.5551,OK
maximus,gpu,microbench_tpch,10,w3_001,34.0,108,3.6611,OK
maximus,gpu,microbench_tpch,10,w5a_029,40.0,172,6.8892,OK
maximus,gpu,microbench_tpch,20,w1_002,16.0,138,2.2021,OK
maximus,gpu,microbench_tpch,20,w3_001,33.0,120,3.9715,OK
maximus,gpu,microbench_tpch,20,w5a_029,60.0,163,9.7557,OK
maximus,gpu,microbench_h2o,1gb,w1_001,616.0,132,81.5731,OK
maximus,gpu,microbench_h2o,1gb,w3_016,44.0,123,5.4301,OK
maximus,gpu,microbench_h2o,1gb,w6_022,46.0,212,9.7475,OK
maximus,gpu,microbench_h2o,2gb,w1_001,3.0,132,0.3973,OK
maximus,gpu,microbench_h2o,2gb,w3_016,56.0,141,7.9182,OK
maximus,gpu,microbench_h2o,2gb,w6_022,86.0,231,19.8601,OK
maximus,gpu,microbench_h2o,3gb,w1_001,1.0,161,0.1609,OK
maximus,gpu,microbench_h2o,3gb,w3_016,63.0,174,10.9411,OK
maximus,gpu,microbench_h2o,3gb,w6_022,116.0,243,28.2084,OK
maximus,gpu,microbench_h2o,4gb,w1_001,2.0,188,0.3751,OK
maximus,gpu,microbench_h2o,4gb,w3_016,83.0,156,12.9362,OK
