run_id,sf,query,time_s,zeus_energy_j,num_samples
sf10_q0,10,q0,8.608406024053693,,126
sf10_q1,10,q1,8.783928971737623,,126
sf10_q10,10,q10,8.96852565323934,,150
sf10_q11,10,q11,9.098310278728604,,140
sf10_q12,10,q12,8.959320398978889,,133
sf10_q13,10,q13,10.176336077041924,,161
sf10_q14,10,q14,9.022061890922487,,127
sf10_q15,10,q15,8.70750681636855,,134
sf10_q16,10,q16,9.063608080148697,,139
sf10_q17,10,q17,8.942368067800999,,134
sf10_q18,10,q18,9.565306905657053,,141
sf10_q19,10,q19,8.611917610280216,,137
sf10_q2,10,q2,8.620693889912218,,141
sf10_q20,10,q20,9.474364588968456,,151
sf10_q21,10,q21,9.843993015121669,,153
sf10_q22,10,q22,11.404078714549541,,188
sf10_q23,10,q23,10.951278151012957,,173
sf10_q24,10,q24,9.001102598849684,,131
sf10_q25,10,q25,9.07462603598833,,146
sf10_q26,10,q26,8.986391389742494,,134
sf10_q27,10,q27,9.725394388195127,,145
sf10_q28,10,q28,10.540493889246136,,171
sf10_q29,10,q29,9.719917839858681,,141
sf10_q3,10,q3,8.576384023297578,,131
sf10_q30,10,q30,9.006891592871398,,140
sf10_q31,10,q31,9.130857352167368,,130
sf10_q32,10,q32,9.396324939094484,,149
sf10_q33,10,q33,9.823872737120837,,150
sf10_q34,10,q34,9.917979917954654,,147
sf10_q35,10,q35,8.93988469010219,,143
sf10_q36,10,q36,9.788203607313335,,161
sf10_q37,10,q37,9.784735436085612,,158
sf10_q38,10,q38,9.512374963145703,,150
sf10_q39,10,q39,10.816929910797626,,165
sf10_q4,10,q4,8.823920995928347,,135
sf10_q40,10,q40,8.98373038507998,,148
sf10_q41,10,q41,8.789061812218279,,132
sf10_q42,10,q42,8.806487216148525,,142
sf10_q5,10,q5,10.206226997077465,,155
sf10_q6,10,q6,8.817838285118341,,130
sf10_q7,10,q7,8.58671700116247,,137
sf10_q8,10,q8,10.756084532942623,,158
sf10_q9,10,q9,10.834134167060256,,149
sf20_q0,20,q0,8.38303883280605,,138
sf20_q1,20,q1,8.698281742166728,,131
sf20_q10,20,q10,9.352849774993956,,149
sf20_q11,20,q11,9.51368470909074,,149
sf20_q12,20,q12,9.07806058600545,,138
sf20_q13,20,q13,10.749229180626571,,177
sf20_q14,20,q14,9.154354714788496,,151
sf20_q15,20,q15,8.909934830851853,,139
sf20_q16,20,q16,9.453618431929499,,143
sf20_q17,20,q17,9.466753605753183,,153
sf20_q18,20,q18,9.77963026985526,,144
