config_name,knob,value,storage,query,min_ms,avg_ms,status
storage_gpu,storage_device,gpu,gpu,q1,-1,-1,missing
storage_gpu,storage_device,gpu,gpu,q6,-1,-1,missing
storage_gpu,storage_device,gpu,gpu,q3,-1,-1,missing
storage_gpu,storage_device,gpu,gpu,q9,-1,-1,missing
storage_gpu,storage_device,gpu,gpu,q12,-1,-1,missing
storage_cpu,storage_device,cpu,cpu,q1,307,349.3,ok
storage_cpu,storage_device,cpu,cpu,q6,159,161.0,ok
storage_cpu,storage_device,cpu,cpu,q3,201,216.9,ok
storage_cpu,storage_device,cpu,cpu,q9,318,370.2,ok
storage_cpu,storage_device,cpu,cpu,q12,906,956.7,ok
storage_cpu-pinned,storage_device,cpu-pinned,cpu-pinned,q1,128,140.8,ok
storage_cpu-pinned,storage_device,cpu-pinned,cpu-pinned,q6,38,42.4,ok
storage_cpu-pinned,storage_device,cpu-pinned,cpu-pinned,q3,53,66.4,ok
storage_cpu-pinned,storage_device,cpu-pinned,cpu-pinned,q9,330,341.1,ok
storage_cpu-pinned,storage_device,cpu-pinned,cpu-pinned,q12,352,365.4,ok
fusion_true,operator_fusion,true,gpu,q1,-1,-1,missing
fusion_true,operator_fusion,true,gpu,q6,-1,-1,missing
fusion_true,operator_fusion,true,gpu,q3,-1,-1,missing
fusion_true,operator_fusion,true,gpu,q9,-1,-1,missing
fusion_true,operator_fusion,true,gpu,q12,-1,-1,missing
fusion_false,operator_fusion,false,gpu,q1,-1,-1,missing
fusion_false,operator_fusion,false,gpu,q6,-1,-1,missing
fusion_false,operator_fusion,false,gpu,q3,-1,-1,missing
fusion_false,operator_fusion,false,gpu,q9,-1,-1,missing
fusion_false,operator_fusion,false,gpu,q12,-1,-1,missing
pinned_1gb_cpupin,pinned_pool_gb,1,cpu-pinned,q1,103,135.3,ok
pinned_1gb_cpupin,pinned_pool_gb,1,cpu-pinned,q6,41,42.8,ok
pinned_1gb_cpupin,pinned_pool_gb,1,cpu-pinned,q3,53,66.3,ok
pinned_1gb_cpupin,pinned_pool_gb,1,cpu-pinned,q9,322,611.1,ok
pinned_1gb_cpupin,pinned_pool_gb,1,cpu-pinned,q12,349,526.1,ok
pinned_4gb_cpupin,pinned_pool_gb,4,cpu-pinned,q1,132,138.2,ok
pinned_4gb_cpupin,pinned_pool_gb,4,cpu-pinned,q6,39,42.2,ok
pinned_4gb_cpupin,pinned_pool_gb,4,cpu-pinned,q3,59,64.6,ok
pinned_4gb_cpupin,pinned_pool_gb,4,cpu-pinned,q9,317,327.6,ok
pinned_4gb_cpupin,pinned_pool_gb,4,cpu-pinned,q12,338,355.0,ok
pinned_8gb_cpupin,pinned_pool_gb,8,cpu-pinned,q1,125,136.7,ok
pinned_8gb_cpupin,pinned_pool_gb,8,cpu-pinned,q6,39,41.5,ok
pinned_8gb_cpupin,pinned_pool_gb,8,cpu-pinned,q3,58,64.7,ok
pinned_8gb_cpupin,pinned_pool_gb,8,cpu-pinned,q9,316,327.8,ok
pinned_8gb_cpupin,pinned_pool_gb,8,cpu-pinned,q12,345,355.6,ok
pinned_12gb_cpupin,pinned_pool_gb,12,cpu-pinned,q1,112,133.2,ok
pinned_12gb_cpupin,pinned_pool_gb,12,cpu-pinned,q6,39,41.3,ok
pinned_12gb_cpupin,pinned_pool_gb,12,cpu-pinned,q3,53,64.8,ok
pinned_12gb_cpupin,pinned_pool_gb,12,cpu-pinned,q9,335,339.7,ok
pinned_12gb_cpupin,pinned_pool_gb,12,cpu-pinned,q12,348,362.4,ok
conn_1_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,1,cpu,q1,312,329.7,ok
conn_1_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,1,cpu,q6,155,156.0,ok
conn_1_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,1,cpu,q3,202,206.9,ok
conn_1_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,1,cpu,q9,324,332.9,ok
conn_1_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,1,cpu,q12,927,937.2,ok
conn_8_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,8,cpu,q1,309,333.6,ok
conn_8_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,8,cpu,q6,154,160.9,ok
conn_8_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,8,cpu,q3,203,206.0,ok
conn_8_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,8,cpu,q9,327,343.7,ok
conn_8_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,8,cpu,q12,925,947.2,ok
conn_32_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,32,cpu,q1,317,333.4,ok
conn_32_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,32,cpu,q6,157,165.2,ok
conn_32_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,32,cpu,q3,207,213.9,ok
conn_32_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,32,cpu,q9,340,346.5,ok
conn_32_cpustor,CUDA_DEVICE_MAX_CONNECTIONS,32,cpu,q12,950,983.2,ok
