engine,benchmark,sf,query,storage,n_reps,min_s,avg_power_w,avg_gpu_util,max_mem_mb,num_steady_samples,gpu_energy_j,gpu_energy_derived_j,avg_cpu_pkg_w,cpu_energy_j,cpu_energy_derived_j,total_energy_j,status,source_file
maximus,clickbench,1,q1,gpu,1000,0.008,123.0,83.8,40766.0,72,0.9844,0.984,0.0,0.0,0.0,0.9844,OK,maximus_clickbench_sf1_metrics_summary_20260316_083614.csv
maximus,clickbench,1,q20,gpu,553,0.025,178.6,96.0,40768.0,176,4.4662,4.465,0.0,0.0,0.0,4.4662,OK,maximus_clickbench_sf1_metrics_summary_20260316_083614.csv
maximus,clickbench,1,q6,gpu,1000,0.007,120.0,87.0,40768.0,76,0.8399,0.84,0.0,0.0,0.0,0.8399,OK,maximus_clickbench_sf1_metrics_summary_20260316_083614.csv
maximus,clickbench,10,q1,gpu,1000,0.008,191.3,95.3,40768.0,322,1.5305,1.5304,0.0,0.0,0.0,1.5305,OK,maximus_clickbench_sf10_metrics_summary_20260316_083741.csv
maximus,clickbench,10,q20,gpu,94,0.115,233.5,98.6,40766.0,186,26.8581,26.8525,0.0,0.0,0.0,26.8581,OK,maximus_clickbench_sf10_metrics_summary_20260316_083741.csv
maximus,clickbench,10,q6,gpu,1000,0.011,167.1,97.1,40768.0,398,1.838,1.8381,0.0,0.0,0.0,1.838,OK,maximus_clickbench_sf10_metrics_summary_20260316_083741.csv
maximus,clickbench,20,q1,gpu,1000,0.008,202.5,97.4,56890.0,561,1.6197,1.62,0.0,0.0,0.0,1.6197,OK,maximus_clickbench_sf20_metrics_summary_20260316_083859.csv
maximus,clickbench,20,q20,gpu,55,0.193,201.3,85.9,56888.0,247,38.8414,38.8509,0.0,0.0,0.0,38.8414,OK,maximus_clickbench_sf20_metrics_summary_20260316_083859.csv
maximus,clickbench,20,q6,gpu,759,0.017,163.6,92.7,56890.0,609,2.7818,2.7812,0.0,0.0,0.0,2.7818,OK,maximus_clickbench_sf20_metrics_summary_20260316_083859.csv
maximus,clickbench,5,q0,gpu,100,0.0,175.9,96.9,15691.0,21,0.0,0.0,109.7,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q1,gpu,1000,0.008,180.9,93.9,40766.0,181,1.4468,1.4472,0.0,0.0,0.0,1.4468,OK,maximus_clickbench_sf5_metrics_summary_20260316_083648.csv
maximus,clickbench,5,q10,gpu,2500,0.004,165.6,96.0,15691.0,680,0.7,0.6624,110.6,0.4,0.4424,1.1,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q11,gpu,1667,0.006,161.8,96.4,15691.0,481,1.0,0.9708,110.7,0.7,0.6642,1.7,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q12,gpu,556,0.017,125.4,55.3,15697.0,277,2.1,2.1318,110.5,1.9,1.8785,4.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q13,gpu,223,0.045,132.1,73.3,15693.0,188,5.9,5.9445,110.9,5.0,4.9905,10.9,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q14,gpu,527,0.018,116.4,47.0,15697.0,299,2.1,2.0952,110.7,2.0,1.9926,4.1,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q15,gpu,5000,0.002,179.1,96.8,15697.0,1204,0.4,0.3582,111.0,0.2,0.222,0.6,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q16,gpu,477,0.021,122.5,52.8,15697.0,231,2.6,2.5725,111.4,2.3,2.3394,4.9,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q17,gpu,477,0.021,121.1,55.6,15697.0,244,2.5,2.5431,110.8,2.3,2.3268,4.8,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q19,gpu,100,0.0,99.7,40.8,15691.0,57,0.0,0.0,110.7,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q2,gpu,1429,0.007,147.9,90.3,15693.0,483,1.0,1.0353,110.0,0.8,0.77,1.8,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q20,gpu,163,0.069,218.6,98.4,40766.0,179,15.0805,15.0834,0.0,0.0,0.0,15.0805,OK,maximus_clickbench_sf5_metrics_summary_20260316_083648.csv
maximus,clickbench,5,q21,gpu,213,0.046,244.7,98.6,15695.0,175,11.3,11.2562,110.7,5.1,5.0922,16.4,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q22,gpu,228,0.044,227.0,96.7,15693.0,189,10.0,9.988,111.1,4.9,4.8884,14.9,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q23,gpu,218,0.046,215.8,82.4,15691.0,220,9.9,9.9268,111.0,5.1,5.106,15.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q24,gpu,417,0.023,114.2,48.3,15691.0,234,2.6,2.6266,110.9,2.6,2.5507,5.2,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q25,gpu,218,0.045,121.2,68.0,15691.0,188,5.5,5.454,110.8,5.0,4.986,10.5,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q26,gpu,304,0.033,116.2,55.3,15691.0,210,3.8,3.8346,110.7,3.7,3.6531,7.5,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q29,gpu,3334,0.003,154.1,80.0,15693.0,945,0.5,0.4623,-3272.2,-9.8,-9.8166,-9.3,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q3,gpu,1667,0.006,154.4,97.1,15693.0,499,0.9,0.9264,110.3,0.7,0.6618,1.6,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q30,gpu,1667,0.006,173.1,95.5,15699.0,492,1.0,1.0386,111.0,0.7,0.666,1.7,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q31,gpu,910,0.01,172.0,95.4,15699.0,327,1.7,1.72,110.9,1.1,1.109,2.8,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q32,gpu,99,0.085,145.7,68.4,15697.0,124,12.4,12.3845,110.9,9.4,9.4265,21.8,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q33,gpu,110,0.091,84.6,27.8,15697.0,157,7.7,7.6986,110.4,10.1,10.0464,17.8,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q34,gpu,112,0.091,83.6,25.6,15697.0,151,7.6,7.6076,110.4,10.0,10.0464,17.6,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q35,gpu,5000,0.002,181.0,97.0,15697.0,1173,0.4,0.362,110.8,0.2,0.2216,0.6,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q36,gpu,10000,0.001,183.6,97.0,15691.0,2227,0.2,0.1836,110.5,0.1,0.1105,0.3,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q37,gpu,10000,0.001,184.0,97.0,15691.0,2225,0.2,0.184,110.6,0.1,0.1106,0.3,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q38,gpu,100,0.0,102.6,45.6,15691.0,57,0.0,0.0,110.6,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q39,gpu,100,0.0,173.0,95.9,15691.0,22,0.0,0.0,111.3,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q4,gpu,10000,0.001,184.5,96.4,15693.0,2273,0.2,0.1845,110.5,0.1,0.1105,0.3,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q40,gpu,100,0.0,107.0,66.9,15691.0,61,0.0,0.0,110.3,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q41,gpu,100,0.0,107.3,45.3,15691.0,60,0.0,0.0,110.5,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q5,gpu,10000,0.0,184.4,96.0,15693.0,2220,0.0,0.0,110.6,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q6,gpu,1000,0.008,161.5,96.1,40768.0,218,1.2922,1.292,0.0,0.0,0.0,1.2922,OK,maximus_clickbench_sf5_metrics_summary_20260316_083648.csv
maximus,clickbench,5,q7,gpu,100,0.0,155.7,86.3,15695.0,27,0.0,0.0,111.5,0.0,0.0,0.0,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q8,gpu,271,0.036,190.3,99.0,15691.0,192,6.9,6.8508,110.9,4.0,3.9924,10.9,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
maximus,clickbench,5,q9,gpu,271,0.037,191.4,99.0,15693.0,192,7.1,7.0818,111.0,4.1,4.107,11.2,OK,maximus_clickbench_sf5_metrics_summary_20260304_001509.csv
