run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,gpu,100,0,0.1,6.27,73,35,93.4,103.5,15691,97.7,100,0.0,107.0,1.8,0.0,OK
clickbench_sf5_q1,clickbench,5,q1,gpu,100,0,0.3,6.23,73,28,99.9,103.0,15693,96.9,98,0.0,105.6,1.8,0.0,OK
clickbench_sf5_q2,clickbench,5,q2,gpu,834,12,12.3,35.64,434,434,77.9,83.9,15693,90.3,99,0.9,106.4,1.8,1.3,OK
clickbench_sf5_q3,clickbench,5,q3,gpu,910,11,11.1,37.14,445,444,80.1,86.0,15693,92.5,99,0.9,106.6,1.8,1.2,OK
clickbench_sf5_q4,clickbench,5,q4,gpu,5000,2,2.2,143.11,1673,1627,105.5,108.0,15693,97.1,98,0.2,107.0,1.8,0.2,OK
clickbench_sf5_q5,clickbench,5,q5,gpu,10000,1,1.4,278.76,3234,3182,103.8,105.5,15693,97.0,98,0.1,-861.4,1.8,-0.9,OK
clickbench_sf5_q6,clickbench,5,q6,gpu,667,15,15.0,31.08,377,336,79.3,83.2,15693,97.8,99,1.2,107.2,1.8,1.6,OK
clickbench_sf5_q7,clickbench,5,q7,gpu,100,0,0.4,6.29,73,32,98.3,103.3,15695,93.4,98,0.0,106.6,1.8,0.0,OK
clickbench_sf5_q8,clickbench,5,q8,gpu,122,81,82.2,16.78,210,171,83.1,86.4,15691,99.6,100,6.7,107.3,1.8,8.7,OK
clickbench_sf5_q9,clickbench,5,q9,gpu,122,81,82.9,16.87,212,165,83.4,84.7,15693,99.1,100,6.8,107.7,1.8,8.7,OK
clickbench_sf5_q10,clickbench,5,q10,gpu,1000,9,10.0,39.35,472,428,88.1,89.3,15691,97.9,98,0.8,107.4,1.8,1.0,OK
clickbench_sf5_q11,clickbench,5,q11,gpu,770,13,13.8,34.39,427,382,84.0,85.7,15691,98.0,98,1.1,107.2,1.8,1.4,OK
clickbench_sf5_q12,clickbench,5,q12,gpu,527,19,19.5,28.24,341,299,78.4,82.2,15697,65.6,98,1.5,107.1,1.8,2.0,OK
clickbench_sf5_q13,clickbench,5,q13,gpu,122,82,82.6,17.09,214,167,65.4,74.2,15693,85.8,92,5.4,107.5,1.8,8.8,OK
clickbench_sf5_q14,clickbench,5,q14,gpu,500,20,20.5,27.44,332,292,77.6,80.2,15697,64.2,72,1.6,107.0,1.8,2.1,OK
clickbench_sf5_q15,clickbench,5,q15,gpu,3334,3,3.0,99.68,1155,1109,103.1,104.4,15697,97.9,98,0.3,107.3,1.8,0.3,OK
clickbench_sf5_q16,clickbench,5,q16,gpu,455,22,22.9,25.98,315,277,77.0,79.5,15697,63.5,99,1.7,106.9,1.8,2.4,OK
clickbench_sf5_q17,clickbench,5,q17,gpu,455,22,23.0,25.96,315,276,77.0,81.2,15697,63.5,98,1.7,106.8,1.8,2.3,OK
clickbench_sf5_q19,clickbench,5,q19,gpu,100,0,0.0,6.27,72,34,97.4,105.2,15691,98.2,99,0.0,106.9,1.8,0.0,OK
clickbench_sf5_q20,clickbench,5,q20,gpu,96,104,105.3,16.18,204,204,79.9,90.3,15691,84.1,100,8.3,106.7,1.8,11.1,OK
clickbench_sf5_q21,clickbench,5,q21,gpu,95,105,106.2,16.15,204,204,79.5,90.2,15695,81.8,100,8.3,106.5,1.8,11.2,OK
