run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf1gb_q1,1gb,q1,27,39.37,3.0,15.0,109.6,1.9
h2o_sf1gb_q1,1gb,q1,119,39.39,3.0,16.0,104.8,1.8
h2o_sf1gb_q1,1gb,q1,219,39.91,3.0,33.0,102.3,1.8
h2o_sf1gb_q1,1gb,q1,295,39.91,3.0,3395.0,106.7,1.9
h2o_sf1gb_q1,1gb,q1,371,39.45,3.0,3395.0,107.6,1.8
h2o_sf1gb_q1,1gb,q1,446,39.08,3.0,3395.0,108.0,1.8
h2o_sf1gb_q1,1gb,q1,520,36.13,3.0,3395.0,110.2,1.9
h2o_sf1gb_q1,1gb,q1,595,36.13,3.0,3395.0,107.3,1.8
h2o_sf1gb_q1,1gb,q1,670,34.66,0.0,3395.0,107.7,1.8
h2o_sf1gb_q1,1gb,q1,745,34.65,0.0,3395.0,105.8,1.8
h2o_sf1gb_q1,1gb,q1,820,34.61,0.0,3395.0,109.3,1.9
h2o_sf1gb_q1,1gb,q1,895,34.61,0.0,3395.0,105.1,1.8
h2o_sf1gb_q1,1gb,q1,969,34.62,0.0,3395.0,108.2,1.8
h2o_sf1gb_q1,1gb,q1,1044,34.63,0.0,3395.0,107.1,1.8
h2o_sf1gb_q1,1gb,q1,1119,34.61,0.0,3395.0,107.5,1.8
h2o_sf1gb_q1,1gb,q1,1228,34.6,0.0,3403.0,107.6,2.1
h2o_sf1gb_q1,1gb,q1,1324,34.59,0.0,3453.0,105.3,1.8
h2o_sf1gb_q1,1gb,q1,1420,34.61,0.0,3647.0,105.1,1.9
h2o_sf1gb_q1,1gb,q1,1499,34.61,0.0,3437.0,109.0,1.8
h2o_sf1gb_q1,1gb,q1,1576,34.63,0.0,3437.0,107.4,1.8
h2o_sf1gb_q1,1gb,q1,1653,34.62,0.0,3437.0,108.6,1.8
h2o_sf1gb_q1,1gb,q1,1753,34.62,0.0,3437.0,107.2,1.8
h2o_sf1gb_q1,1gb,q1,1847,34.62,0.0,3437.0,104.2,1.8
h2o_sf1gb_q1,1gb,q1,1924,34.62,0.0,3437.0,104.6,1.9
h2o_sf1gb_q1,1gb,q1,2002,34.79,0.0,3441.0,102.0,1.9
h2o_sf1gb_q1,1gb,q1,2079,34.79,0.0,3447.0,104.5,1.9
h2o_sf1gb_q1,1gb,q1,2161,37.08,41.0,3447.0,107.5,1.8
h2o_sf1gb_q1,1gb,q1,2241,43.05,41.0,3447.0,104.5,1.8
h2o_sf1gb_q1,1gb,q1,2323,47.76,41.0,3447.0,106.8,1.8
h2o_sf1gb_q1,1gb,q1,2405,55.09,41.0,3447.0,106.5,1.8
h2o_sf1gb_q1,1gb,q1,2487,55.09,41.0,3447.0,104.9,1.8
h2o_sf1gb_q1,1gb,q1,2565,61.15,41.0,3447.0,106.4,1.8
h2o_sf1gb_q1,1gb,q1,2648,67.23,97.0,3447.0,106.3,1.8
h2o_sf1gb_q1,1gb,q1,2730,73.32,97.0,3447.0,107.5,1.8
