run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf2_q1,tpch,2,q1,gpu,1000,10,10.0,22.24,274,238,120.9,124.9,12789,96.5,97,1.2,106.7,1.8,1.1,OK
tpch_sf2_q2,tpch,2,q2,gpu,2500,4,4.0,20.11,262,220,62.9,67.0,6563,69.8,70,0.3,106.6,1.8,0.4,OK
tpch_sf2_q3,tpch,2,q3,gpu,2000,5,5.0,35.68,435,387,108.9,110.3,12789,95.7,96,0.5,106.9,1.8,0.5,OK
tpch_sf2_q4,tpch,2,q4,gpu,3334,3,3.0,50.47,592,554,116.4,117.8,12787,96.0,96,0.3,106.9,1.8,0.3,OK
tpch_sf2_q5,tpch,2,q5,gpu,1667,6,6.0,32.08,389,354,113.7,115.4,12787,93.9,94,0.7,106.6,1.8,0.6,OK
tpch_sf2_q6,tpch,2,q6,gpu,5000,1,1.1,56.48,667,628,119.3,121.0,12785,96.4,97,0.1,107.3,1.8,0.1,OK
tpch_sf2_q7,tpch,2,q7,gpu,2500,4,4.0,43.92,535,531,103.9,109.7,12787,88.2,91,0.4,106.9,1.8,0.4,OK
tpch_sf2_q8,tpch,2,q8,gpu,2500,4,4.0,44.86,539,495,110.2,111.5,12787,91.1,92,0.4,106.8,1.8,0.4,OK
tpch_sf2_q9,tpch,2,q9,gpu,1112,9,9.1,27.23,336,297,113.3,114.9,12789,94.9,95,1.0,107.5,1.8,1.0,OK
tpch_sf2_q10,tpch,2,q10,gpu,2500,3,3.5,40.92,490,452,110.5,111.8,12789,91.6,92,0.3,107.1,1.8,0.3,OK
tpch_sf2_q11,tpch,2,q11,gpu,2000,5,5.1,16.91,218,188,106.0,109.9,6565,84.1,85,0.5,107.1,1.8,0.5,OK
tpch_sf2_q12,tpch,2,q12,gpu,3334,3,3.1,52.36,629,590,112.8,114.1,12787,92.0,93,0.3,107.3,1.8,0.3,OK
tpch_sf2_q13,tpch,2,q13,gpu,250,39,40.1,13.60,175,132,119.3,120.6,6565,98.2,99,4.7,107.0,1.8,4.2,OK
tpch_sf2_q14,tpch,2,q14,gpu,5000,2,2.0,63.30,751,707,110.7,112.2,12783,91.6,92,0.2,107.2,1.8,0.2,OK
tpch_sf2_q15,tpch,2,q15,gpu,5000,2,2.2,61.07,751,715,111.1,113.1,12791,89.3,90,0.2,106.8,1.8,0.2,OK
tpch_sf2_q16,tpch,2,q16,gpu,313,31,32.1,13.75,179,139,67.7,70.9,6561,96.3,97,2.1,107.4,1.8,3.3,OK
tpch_sf2_q17,tpch,2,q17,gpu,2000,5,5.1,32.36,394,393,96.9,104.1,12791,79.9,96,0.5,106.8,1.8,0.5,OK
tpch_sf2_q18,tpch,2,q18,gpu,1429,7,7.0,29.69,361,319,115.1,116.5,12789,95.0,95,0.8,106.5,1.8,0.7,OK
tpch_sf2_q19,tpch,2,q19,gpu,218,46,46.3,15.37,196,149,121.9,122.8,12785,95.9,97,5.6,107.2,1.8,4.9,OK
tpch_sf2_q20,tpch,2,q20,gpu,1667,6,6.0,31.21,381,338,104.7,106.0,12787,89.3,90,0.6,107.1,1.8,0.6,OK
tpch_sf2_q21,tpch,2,q21,gpu,65,154,156.8,13.96,177,141,117.9,121.7,14347,96.7,99,18.2,107.4,1.8,16.5,OK
tpch_sf2_q22,tpch,2,q22,gpu,3334,2,3.1,24.70,314,283,74.4,76.4,6565,60.0,61,0.1,106.7,1.8,0.2,OK
