run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf10_q0,clickbench,10,q0,0,,,,0,0,,,,,,,,,,OK
clickbench_sf10_q1,clickbench,10,q1,60000,0.0000,0.0010,65.32,870,821,66.8,68.1,15841,9.4,10,0.00,109.0,1.8,0.00,OK
clickbench_sf10_q10,clickbench,10,q10,17144,0.0010,0.0033,64.59,849,784,102.0,107.5,15841,59.7,75,0.10,113.6,1.8,0.11,OK
clickbench_sf10_q11,clickbench,10,q11,15000,0.0010,0.0036,62.17,818,765,106.6,113.8,15841,61.1,79,0.11,114.1,1.8,0.11,OK
clickbench_sf10_q12,clickbench,10,q12,24000,0.0010,0.0028,74.85,971,923,130.3,139.1,15841,55.8,64,0.13,114.8,2.0,0.11,OK
clickbench_sf10_q13,clickbench,10,q13,3915,0.0010,0.0131,63.12,822,762,148.6,168.0,15841,78.4,96,0.15,115.1,1.8,0.12,OK
clickbench_sf10_q14,clickbench,10,q14,24000,0.0010,0.0030,80.44,1042,985,133.1,142.4,15841,55.7,68,0.13,115.4,2.0,0.12,OK
clickbench_sf10_q15,clickbench,10,q15,240000,0.0040,0.0047,62.30,753,670,58.1,75.4,15833,3.9,72,0.23,109.9,1.8,0.44,OK
clickbench_sf10_q16,clickbench,10,q16,100005,0.0080,0.0088,63.03,770,762,62.1,97.4,15837,6.6,84,0.50,110.4,1.9,0.88,OK
clickbench_sf10_q17,clickbench,10,q17,150000,0.0060,0.0066,61.86,759,718,61.3,89.8,15841,5.3,79,0.37,110.6,1.8,0.66,OK
clickbench_sf10_q18,clickbench,10,q18,49420,0.0170,0.0173,63.83,783,778,69.4,135.0,15841,7.3,90,1.18,109.8,1.9,1.87,OK
clickbench_sf10_q19,clickbench,10,q19,60000,0.0000,0.0010,66.24,872,824,94.0,95.3,15841,26.7,28,0.00,109.1,1.8,0.00,OK
clickbench_sf10_q2,clickbench,10,q2,960000,0.0010,0.0014,60.83,743,701,52.0,55.0,15841,1.8,29,0.05,109.9,1.8,0.11,OK
clickbench_sf10_q20,clickbench,10,q20,7500,0.0070,0.0079,63.90,818,763,205.3,208.6,15841,87.5,89,1.44,110.8,1.8,0.78,OK
clickbench_sf10_q21,clickbench,10,q21,12000,0.0080,0.0090,117.09,1519,1460,196.2,205.3,15841,81.0,87,1.57,110.8,1.8,0.89,OK
clickbench_sf10_q22,clickbench,10,q22,5000,0.0160,0.0184,102.40,1327,1256,196.6,212.3,15841,85.7,93,3.15,110.9,1.8,1.78,OK
clickbench_sf10_q23,clickbench,10,q23,6667,0.0070,0.0085,61.70,802,729,202.3,205.8,15841,83.8,87,1.42,111.2,1.8,0.78,OK
clickbench_sf10_q24,clickbench,10,q24,40000,0.0010,0.0024,102.84,1349,1301,112.0,117.1,15841,38.5,45,0.11,112.0,1.8,0.11,OK
clickbench_sf10_q25,clickbench,10,q25,6488,0.0010,0.0095,77.41,1001,945,143.3,165.5,15841,75.0,96,0.14,115.6,1.9,0.12,OK
clickbench_sf10_q26,clickbench,10,q26,11250,0.0010,0.0046,63.13,818,759,124.2,141.2,15841,68.2,91,0.12,115.3,1.9,0.12,OK
clickbench_sf10_q27,clickbench,10,q27,9232,0.0030,0.0060,64.39,823,760,162.3,175.2,15841,72.0,85,0.49,114.7,1.8,0.34,OK
clickbench_sf10_q28,clickbench,10,q28,0,,,,0,0,,,,,,,,,,FALLBACK
clickbench_sf10_q29,clickbench,10,q29,36526,0.0210,0.0226,63.51,785,738,53.7,60.7,15841,3.8,23,1.13,111.0,1.8,2.33,OK
clickbench_sf10_q3,clickbench,10,q3,960000,0.0010,0.0013,60.09,724,685,52.2,55.4,15719,1.0,18,0.05,111.6,1.8,0.11,OK
clickbench_sf10_q30,clickbench,10,q30,40000,0.0010,0.0025,109.03,1427,1366,112.3,118.6,15841,40.0,45,0.11,112.5,1.8,0.11,OK
clickbench_sf10_q31,clickbench,10,q31,40000,0.0010,0.0026,110.60,1447,1399,118.4,126.0,15841,42.4,48,0.12,112.6,1.8,0.11,OK
