run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
clickbench_sf20_q1,20,q1,29,69.53,0.0,15.0,104.1,1.9
clickbench_sf20_q1,20,q1,140,68.27,0.0,16.0,111.3,1.8
clickbench_sf20_q1,20,q1,247,54.74,0.0,18.0,114.1,1.8
clickbench_sf20_q1,20,q1,326,53.98,0.0,283.0,114.0,1.9
clickbench_sf20_q1,20,q1,402,53.98,0.0,283.0,118.4,1.8
clickbench_sf20_q1,20,q1,477,54.03,0.0,283.0,119.8,1.8
clickbench_sf20_q1,20,q1,554,54.03,0.0,283.0,118.7,1.9
clickbench_sf20_q1,20,q1,631,54.06,0.0,283.0,120.5,1.9
clickbench_sf20_q1,20,q1,707,54.06,0.0,283.0,118.9,1.8
clickbench_sf20_q1,20,q1,783,54.32,0.0,283.0,118.4,1.8
clickbench_sf20_q1,20,q1,859,54.4,0.0,283.0,119.3,1.8
clickbench_sf20_q1,20,q1,935,54.23,0.0,283.0,118.2,1.8
clickbench_sf20_q1,20,q1,1012,54.23,0.0,283.0,120.0,1.8
clickbench_sf20_q1,20,q1,1088,53.61,0.0,283.0,116.3,1.8
clickbench_sf20_q1,20,q1,1165,53.04,0.0,283.0,118.0,1.8
clickbench_sf20_q1,20,q1,1242,52.76,0.0,283.0,118.4,1.8
clickbench_sf20_q1,20,q1,1318,52.76,0.0,283.0,116.8,1.8
clickbench_sf20_q1,20,q1,1394,52.16,0.0,283.0,120.7,1.9
clickbench_sf20_q1,20,q1,1469,51.92,0.0,283.0,118.0,1.8
clickbench_sf20_q1,20,q1,1546,51.77,0.0,283.0,118.9,1.9
clickbench_sf20_q1,20,q1,1622,51.68,0.0,283.0,118.7,1.8
clickbench_sf20_q1,20,q1,1698,51.68,0.0,283.0,119.6,1.9
clickbench_sf20_q1,20,q1,1775,51.53,0.0,283.0,119.1,1.8
clickbench_sf20_q1,20,q1,1851,51.35,0.0,283.0,117.7,1.8
clickbench_sf20_q1,20,q1,1927,51.06,0.0,283.0,117.6,1.8
clickbench_sf20_q1,20,q1,2003,51.06,0.0,283.0,119.0,1.8
clickbench_sf20_q1,20,q1,2079,51.05,0.0,283.0,118.9,1.8
clickbench_sf20_q1,20,q1,2155,50.88,0.0,283.0,117.2,1.8
clickbench_sf20_q1,20,q1,2236,50.87,0.0,283.0,120.3,1.8
clickbench_sf20_q1,20,q1,2312,50.87,0.0,283.0,119.0,1.8
clickbench_sf20_q1,20,q1,2388,50.89,0.0,283.0,118.8,1.8
clickbench_sf20_q1,20,q1,2464,50.9,0.0,283.0,118.2,1.8
clickbench_sf20_q1,20,q1,2540,50.91,0.0,283.0,115.4,1.8
clickbench_sf20_q1,20,q1,2705,50.92,0.0,303.0,119.4,2.2
clickbench_sf20_q1,20,q1,2783,50.97,0.0,15669.0,118.7,2.0
clickbench_sf20_q1,20,q1,2861,51.27,0.0,15801.0,108.4,1.8
clickbench_sf20_q1,20,q1,2938,54.2,0.0,15841.0,109.4,1.8
clickbench_sf20_q1,20,q1,3013,54.2,0.0,15841.0,111.9,1.8
clickbench_sf20_q1,20,q1,3089,56.73,0.0,15841.0,109.2,1.8
clickbench_sf20_q1,20,q1,3164,60.54,0.0,15841.0,109.8,1.8
clickbench_sf20_q1,20,q1,3239,63.8,0.0,15841.0,110.3,1.8
clickbench_sf20_q1,20,q1,3315,63.8,0.0,15841.0,109.9,1.8
clickbench_sf20_q1,20,q1,3389,65.51,0.0,15841.0,112.3,1.8
clickbench_sf20_q1,20,q1,3465,68.47,0.0,15841.0,111.0,1.8
clickbench_sf20_q1,20,q1,3540,73.52,0.0,15841.0,109.6,1.8
clickbench_sf20_q1,20,q1,3616,73.52,0.0,15841.0,110.7,1.8
clickbench_sf20_q1,20,q1,3691,76.74,19.0,15841.0,111.9,1.8
clickbench_sf20_q1,20,q1,3769,79.93,19.0,15841.0,110.3,1.8
clickbench_sf20_q1,20,q1,3844,80.18,19.0,15841.0,112.3,1.9
clickbench_sf20_q1,20,q1,3919,82.91,19.0,15841.0,112.7,1.8
