run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf3gb_q1,3gb,q1,26,54.56,9.0,15.0,108.0,1.9
h2o_sf3gb_q1,3gb,q1,128,55.11,9.0,16.0,103.6,1.8
h2o_sf3gb_q1,3gb,q1,229,55.11,9.0,18.0,104.3,1.8
h2o_sf3gb_q1,3gb,q1,308,54.98,9.0,283.0,106.6,1.9
h2o_sf3gb_q1,3gb,q1,384,54.01,9.0,283.0,105.8,1.8
h2o_sf3gb_q1,3gb,q1,460,53.88,0.0,283.0,109.5,1.9
h2o_sf3gb_q1,3gb,q1,535,53.74,0.0,283.0,110.1,1.9
h2o_sf3gb_q1,3gb,q1,611,53.74,0.0,283.0,111.5,1.8
h2o_sf3gb_q1,3gb,q1,687,53.67,0.0,283.0,110.0,1.8
h2o_sf3gb_q1,3gb,q1,762,53.51,0.0,283.0,109.1,1.8
h2o_sf3gb_q1,3gb,q1,838,53.29,0.0,283.0,108.4,1.8
h2o_sf3gb_q1,3gb,q1,914,53.29,0.0,283.0,108.6,1.8
h2o_sf3gb_q1,3gb,q1,992,53.16,0.0,283.0,109.1,1.8
h2o_sf3gb_q1,3gb,q1,1067,52.02,0.0,283.0,109.4,1.8
h2o_sf3gb_q1,3gb,q1,1142,51.91,0.0,283.0,109.1,1.9
h2o_sf3gb_q1,3gb,q1,1218,51.18,0.0,283.0,104.7,1.8
h2o_sf3gb_q1,3gb,q1,1294,51.18,0.0,283.0,106.8,1.8
h2o_sf3gb_q1,3gb,q1,1370,50.9,0.0,283.0,107.7,1.8
h2o_sf3gb_q1,3gb,q1,1445,50.88,0.0,283.0,111.7,1.9
h2o_sf3gb_q1,3gb,q1,1518,50.88,0.0,283.0,108.1,1.8
h2o_sf3gb_q1,3gb,q1,1591,50.88,0.0,283.0,105.4,1.7
h2o_sf3gb_q1,3gb,q1,1665,50.88,0.0,283.0,110.1,1.8
h2o_sf3gb_q1,3gb,q1,1739,50.86,0.0,283.0,112.6,1.9
h2o_sf3gb_q1,3gb,q1,1812,50.86,0.0,283.0,109.2,1.8
h2o_sf3gb_q1,3gb,q1,1886,50.87,0.0,283.0,109.9,1.8
h2o_sf3gb_q1,3gb,q1,1960,50.85,0.0,283.0,107.7,1.8
h2o_sf3gb_q1,3gb,q1,2034,50.86,0.0,283.0,109.9,1.8
h2o_sf3gb_q1,3gb,q1,2108,50.86,0.0,283.0,109.2,1.8
h2o_sf3gb_q1,3gb,q1,2182,50.88,0.0,283.0,109.2,1.8
