run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf3gb_q1,h2o,3gb,q1,37896,0.0190,0.0194,64.15,801,681,74.4,169.3,15841,13.3,94,1.41,112.8,1.9,2.14,OK
h2o_sf3gb_q10,h2o,3gb,q10,0,,,,0,0,,,,,,,,,,FALLBACK
h2o_sf3gb_q2,h2o,3gb,q2,17150,0.0320,0.0339,65.91,822,747,94.8,273.6,15841,18.3,100,3.03,112.8,1.9,3.61,OK
h2o_sf3gb_q3,h2o,3gb,q3,1060,0.2180,0.2483,60.43,776,686,100.9,141.8,15841,39.0,100,22.00,112.1,2.1,24.44,OK
h2o_sf3gb_q4,h2o,3gb,q4,42360,0.0170,0.0174,65.36,815,753,72.1,159.9,15841,10.6,94,1.23,110.0,1.9,1.87,OK
h2o_sf3gb_q5,h2o,3gb,q5,24453,0.0270,0.0276,63.79,792,725,88.6,253.7,15841,16.0,94,2.39,111.1,1.9,3.00,OK
h2o_sf3gb_q6,h2o,3gb,q6,11540,0.0520,0.0527,66.10,824,772,106.1,233.8,15841,28.4,98,5.51,111.1,1.9,5.78,OK
h2o_sf3gb_q7,h2o,3gb,q7,1360,0.2210,0.2339,70.31,898,822,104.4,140.8,15841,53.5,100,23.06,111.8,2.0,24.72,OK
h2o_sf3gb_q8,h2o,3gb,q8,21296,0.0310,0.0318,63.65,795,742,98.2,273.2,15841,17.3,95,3.04,110.8,1.9,3.43,OK
h2o_sf3gb_q9,h2o,3gb,q9,0,,,,0,0,,,,,,,,,,FALLBACK
