run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf2_q01,tpch,2,q01,9000,0.0010,0.0068,73.04,925,874,98.0,111.1,15841,67.3,87,0.10,113.2,1.8,0.11,OK
tpch_sf2_q02,tpch,2,q02,12000,0.0050,0.0074,97.08,1286,1230,43.3,46.8,15841,24.7,43,0.22,110.4,1.8,0.55,OK
tpch_sf2_q03,tpch,2,q03,17144,0.0020,0.0047,88.19,1143,1083,59.8,62.1,15841,46.8,55,0.12,112.0,1.8,0.22,OK
tpch_sf2_q04,tpch,2,q04,20000,0.0020,0.0042,92.19,1191,1184,67.3,71.4,15841,43.4,52,0.13,111.2,1.8,0.22,OK
tpch_sf2_q05,tpch,2,q05,15000,0.0020,0.0053,86.94,1127,1033,55.8,60.8,15841,31.3,43,0.11,111.5,1.8,0.22,OK
tpch_sf2_q06,tpch,2,q06,20000,0.0030,0.0037,76.98,996,946,90.4,91.6,15841,61.6,64,0.27,110.2,1.8,0.33,OK
tpch_sf2_q07,tpch,2,q07,13334,0.0040,0.0066,96.56,1254,1203,53.9,56.1,15841,29.9,37,0.22,110.6,1.8,0.44,OK
tpch_sf2_q08,tpch,2,q08,13334,0.0040,0.0064,93.37,1213,1138,52.2,56.4,15841,24.8,35,0.21,110.8,1.8,0.44,OK
tpch_sf2_q09,tpch,2,q09,10000,0.0030,0.0063,71.04,917,866,68.6,73.2,15841,42.3,53,0.21,111.4,1.8,0.33,OK
tpch_sf2_q10,tpch,2,q10,12000,0.0030,0.0056,74.90,965,914,61.0,63.8,15841,38.0,47,0.18,111.7,1.8,0.34,OK
tpch_sf2_q11,tpch,2,q11,30000,0.0010,0.0023,140.29,1845,1791,43.7,44.9,15841,16.8,21,0.04,110.8,1.8,0.11,OK
tpch_sf2_q12,tpch,2,q12,17144,0.0020,0.0047,89.36,1158,1103,69.5,71.8,15841,43.8,49,0.14,112.0,1.8,0.22,OK
tpch_sf2_q13,tpch,2,q13,100005,0.0090,0.0097,60.27,724,679,38.9,47.6,15841,8.1,78,0.35,110.2,1.8,0.99,OK
tpch_sf2_q14,tpch,2,q14,20000,0.0010,0.0028,60.74,794,740,58.9,59.5,15841,32.8,39,0.06,111.5,1.8,0.11,OK
tpch_sf2_q15,tpch,2,q15,24000,0.0020,0.0036,93.58,1216,1171,54.8,56.1,15841,27.5,30,0.11,111.5,1.8,0.22,OK
tpch_sf2_q16,tpch,2,q16,6000,0.0020,0.0095,68.29,883,836,50.4,53.5,15841,65.8,88,0.10,113.3,1.8,0.23,OK
tpch_sf2_q17,tpch,2,q17,13848,0.0010,0.0054,86.93,1123,1080,67.1,74.3,15841,54.2,77,0.07,112.3,1.8,0.11,OK
tpch_sf2_q18,tpch,2,q18,9232,0.0070,0.0094,94.08,1210,1164,98.8,104.5,15841,67.9,74,0.69,109.8,1.8,0.77,OK
tpch_sf2_q19,tpch,2,q19,17144,0.0020,0.0048,91.57,1183,1126,67.2,70.2,15841,39.6,46,0.13,113.2,1.8,0.23,OK
tpch_sf2_q20,tpch,2,q20,12000,0.0030,0.0061,80.88,1050,986,49.8,52.5,15841,36.4,46,0.15,111.5,1.8,0.33,OK
tpch_sf2_q21,tpch,2,q21,7500,0.0050,0.0097,84.91,1086,1038,66.9,72.4,15841,52.3,74,0.33,112.8,1.8,0.56,OK
tpch_sf2_q22,tpch,2,q22,20000,0.0020,0.0042,92.20,1202,1125,44.5,46.0,15841,23.7,30,0.09,111.4,1.8,0.22,OK
