power_limit_w,sm_clock_mhz,engine,benchmark,sf,query,min_ms,avg_power_w,max_power_w,energy_j,cpu_energy_j,avg_gpu_util,status
250,1800,maximus,h2o,1gb,q1,1,113.1,116.0,0.1,0.1,95.9,OK
250,1800,maximus,h2o,1gb,q2,3,111.6,112.8,0.3,0.3,96.0,OK
250,1800,maximus,h2o,1gb,q3,4,112.8,114.6,0.5,0.4,97.0,OK
250,1800,maximus,h2o,1gb,q4,2,106.0,114.8,0.2,0.2,91.6,OK
250,1800,maximus,h2o,1gb,q5,3,115.7,117.5,0.3,0.3,98.0,OK
250,1800,maximus,h2o,1gb,q6,191,104.2,105.5,19.9,20.5,100.0,OK
250,1800,maximus,h2o,1gb,q7,2,128.7,130.5,0.3,0.2,95.9,OK
250,1800,maximus,h2o,1gb,q9,4,112.2,114.2,0.4,0.4,94.9,OK
250,1800,maximus,h2o,1gb,q10,8,113.8,116.3,0.9,0.9,97.0,OK
250,1800,maximus,h2o,2gb,q1,3,116.0,117.5,0.3,0.3,98.0,OK
250,1800,maximus,h2o,2gb,q2,5,104.4,115.0,0.5,0.5,90.1,OK
250,1800,maximus,h2o,2gb,q3,7,115.1,116.5,0.8,0.8,98.3,OK
250,1800,maximus,h2o,2gb,q4,4,114.3,116.3,0.5,0.4,98.3,OK
250,1800,maximus,h2o,2gb,q5,6,103.4,114.9,0.6,0.7,87.6,OK
250,1800,maximus,h2o,2gb,q6,391,106.1,108.0,41.5,42.3,100.0,OK
250,1800,maximus,h2o,2gb,q7,5,132.6,134.1,0.7,0.5,98.0,OK
250,1800,maximus,h2o,2gb,q9,8,115.8,117.3,0.9,0.9,97.0,OK
250,1800,maximus,h2o,2gb,q10,15,118.8,119.8,1.8,1.6,98.2,OK
250,1800,maximus,tpch,1,q1,5,116.4,117.4,0.6,0.5,93.7,OK
250,1800,maximus,tpch,1,q2,3,49.9,57.7,0.1,0.3,55.2,OK
250,1800,maximus,tpch,1,q3,3,97.8,98.8,0.3,0.3,92.0,OK
250,1800,maximus,tpch,1,q4,2,107.1,114.6,0.2,0.2,88.5,OK
250,1800,maximus,tpch,1,q5,3,106.0,107.9,0.3,0.3,88.8,OK
250,1800,maximus,tpch,1,q6,1,115.0,116.8,0.1,0.1,91.3,OK
250,1800,maximus,tpch,1,q7,3,98.0,99.8,0.3,0.3,83.6,OK
250,1800,maximus,tpch,1,q8,2,100.8,102.3,0.2,-10.3,85.2,OK
250,1800,maximus,tpch,1,q9,5,105.8,107.2,0.5,0.5,91.3,OK
250,1800,maximus,tpch,1,q10,2,101.3,103.2,0.2,0.2,85.5,OK
250,1800,maximus,tpch,1,q11,3,84.8,94.0,0.3,0.3,69.9,OK
250,1800,maximus,tpch,1,q12,2,104.9,106.1,0.2,0.2,85.7,OK
250,1800,maximus,tpch,1,q13,20,113.5,115.8,2.3,2.1,96.9,OK
250,1800,maximus,tpch,1,q14,2,96.5,102.3,0.2,0.2,79.2,OK
250,1800,maximus,tpch,1,q15,1,102.5,104.1,0.1,0.1,81.8,OK
250,1800,maximus,tpch,1,q16,28,54.8,55.3,1.5,3.0,95.8,OK
250,1800,maximus,tpch,1,q17,3,86.6,92.2,0.3,0.3,73.9,OK
250,1800,maximus,tpch,1,q18,4,109.6,110.7,0.4,0.4,91.0,OK
250,1800,maximus,tpch,1,q19,24,115.5,117.2,2.8,2.6,92.9,OK
250,1800,maximus,tpch,1,q20,4,92.5,93.8,0.4,0.4,82.6,OK
250,1800,maximus,tpch,1,q21,79,114.1,115.8,9.0,8.6,96.9,OK
250,1800,maximus,tpch,1,q22,2,60.2,72.0,0.1,0.2,45.7,OK
250,1800,maximus,tpch,2,q1,10,120.7,125.6,1.2,1.1,96.5,OK
250,1800,maximus,tpch,2,q2,4,62.9,66.4,0.3,0.4,70.0,OK
250,1800,maximus,tpch,2,q3,5,108.5,109.8,0.5,0.5,95.7,OK
250,1800,maximus,tpch,2,q4,3,116.4,117.7,0.3,0.3,96.0,OK
250,1800,maximus,tpch,2,q5,6,113.6,115.4,0.7,0.6,93.9,OK
250,1800,maximus,tpch,2,q6,1,115.2,121.0,0.1,0.1,92.3,OK
250,1800,maximus,tpch,2,q7,4,108.0,109.8,0.4,0.4,90.3,OK
250,1800,maximus,tpch,2,q8,4,110.1,111.8,0.4,0.4,91.2,OK
250,1800,maximus,tpch,2,q9,9,113.6,114.7,1.0,1.0,95.0,OK
250,1800,maximus,tpch,2,q10,3,110.5,111.9,0.3,0.3,91.4,OK
250,1800,maximus,tpch,2,q11,5,108.9,109.7,0.5,0.5,83.5,OK
250,1800,maximus,tpch,2,q12,3,113.3,114.7,0.3,0.3,91.9,OK
250,1800,maximus,tpch,2,q13,39,119.1,120.8,4.6,4.2,98.1,OK
250,1800,maximus,tpch,2,q14,2,107.7,112.2,0.2,0.2,88.3,OK
250,1800,maximus,tpch,2,q15,2,111.2,113.2,0.2,0.2,89.3,OK
250,1800,maximus,tpch,2,q16,31,62.3,70.8,1.9,3.4,75.6,OK
250,1800,maximus,tpch,2,q17,5,102.7,104.3,0.5,0.5,86.7,OK
250,1800,maximus,tpch,2,q18,7,115.3,116.4,0.8,0.8,94.9,OK
250,1800,maximus,tpch,2,q19,46,121.9,123.6,5.6,5.0,96.1,OK
250,1800,maximus,tpch,2,q20,6,104.5,106.2,0.6,0.6,89.1,OK
250,1800,maximus,tpch,2,q21,155,120.2,122.6,18.6,16.8,98.0,OK
250,1800,maximus,tpch,2,q22,2,71.5,80.5,0.1,0.2,53.5,OK
250,1800,sirius,h2o,1gb,q1,3.0,37.9,44.2,0.11,0.33,3.4,OK
250,1800,sirius,h2o,1gb,q10,9.0,42.7,65.7,0.38,0.98,5.6,OK
250,1800,sirius,h2o,1gb,q2,4.0,38.5,46.8,0.15,0.44,4.3,OK
250,1800,sirius,h2o,1gb,q3,5.0,39.7,50.5,0.20,0.56,7.3,OK
250,1800,sirius,h2o,1gb,q4,3.0,37.9,45.6,0.11,0.32,7.3,OK
250,1800,sirius,h2o,1gb,q5,5.0,39.6,50.0,0.20,0.56,4.8,OK
250,1800,sirius,h2o,1gb,q6,5.0,39.5,50.8,0.20,0.55,4.3,OK
250,1800,sirius,h2o,1gb,q7,3.0,39.2,48.9,0.12,0.33,5.0,OK
250,1800,sirius,h2o,1gb,q8,10.0,40.9,56.0,0.41,1.12,7.1,OK
250,1800,sirius,h2o,1gb,q9,12.0,44.0,68.1,0.53,1.33,10.9,OK
250,1800,sirius,h2o,2gb,q1,4.0,39.0,49.4,0.16,0.44,11.2,OK
250,1800,sirius,h2o,2gb,q10,17.0,48.1,93.0,0.82,1.93,15.0,OK
250,1800,sirius,h2o,2gb,q2,7.0,41.2,55.6,0.29,0.76,10.6,OK
250,1800,sirius,h2o,2gb,q3,11.0,42.6,65.0,0.47,1.19,12.8,OK
250,1800,sirius,h2o,2gb,q4,5.0,38.8,50.0,0.19,0.56,4.0,OK
250,1800,sirius,h2o,2gb,q5,9.0,42.3,62.2,0.38,0.98,10.3,OK
250,1800,sirius,h2o,2gb,q6,10.0,43.5,64.0,0.43,1.09,8.7,OK
250,1800,sirius,h2o,2gb,q7,6.0,41.2,60.2,0.25,0.66,7.2,OK
250,1800,sirius,h2o,2gb,q8,15.0,44.3,70.9,0.66,1.65,21.2,OK
250,1800,sirius,h2o,2gb,q9,22.0,49.2,98.6,1.08,2.41,12.2,OK
250,1800,sirius,tpch,1,q01,1.0,77.1,91.0,0.08,0.11,48.5,OK
250,1800,sirius,tpch,1,q02,5.0,38.5,39.8,0.19,0.56,18.2,OK
250,1800,sirius,tpch,1,q03,2.0,47.4,50.2,0.09,0.22,31.0,OK
250,1800,sirius,tpch,1,q04,1.0,51.9,55.7,0.05,0.11,30.0,OK
250,1800,sirius,tpch,1,q05,2.0,44.1,47.9,0.09,0.22,19.5,OK
250,1800,sirius,tpch,1,q06,2.0,68.4,69.0,0.14,0.22,43.2,OK
250,1800,sirius,tpch,1,q07,4.0,43.3,45.7,0.17,0.44,19.5,OK
