run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf2_q1,2,q1,25,47.67,0.0,15.0,102.4,1.7
tpch_sf2_q1,2,q1,135,47.67,0.0,18.0,104.1,1.8
tpch_sf2_q1,2,q1,220,47.73,0.0,49.0,103.9,1.8
tpch_sf2_q1,2,q1,295,46.64,1.0,3395.0,106.7,1.8
tpch_sf2_q1,2,q1,370,40.73,1.0,3395.0,108.9,1.8
tpch_sf2_q1,2,q1,444,35.93,1.0,3395.0,107.1,1.8
tpch_sf2_q1,2,q1,518,35.83,1.0,3395.0,107.1,1.8
tpch_sf2_q1,2,q1,592,35.83,1.0,3395.0,108.9,1.8
tpch_sf2_q1,2,q1,665,35.17,1.0,3395.0,108.5,1.8
tpch_sf2_q1,2,q1,738,35.17,1.0,3395.0,106.7,1.8
tpch_sf2_q1,2,q1,812,35.17,1.0,3395.0,107.2,1.8
tpch_sf2_q1,2,q1,885,35.1,1.0,3395.0,106.5,1.8
tpch_sf2_q1,2,q1,959,35.09,1.0,3395.0,108.6,1.9
tpch_sf2_q1,2,q1,1033,35.1,1.0,3395.0,106.0,1.8
tpch_sf2_q1,2,q1,1106,35.1,1.0,3395.0,106.6,1.8
tpch_sf2_q1,2,q1,1197,35.04,1.0,3403.0,106.9,2.1
tpch_sf2_q1,2,q1,1281,35.03,1.0,3453.0,104.7,1.8
tpch_sf2_q1,2,q1,1355,35.04,1.0,3437.0,103.8,1.9
tpch_sf2_q1,2,q1,1428,35.11,1.0,3437.0,108.5,1.8
tpch_sf2_q1,2,q1,1502,35.11,1.0,3437.0,106.1,1.8
tpch_sf2_q1,2,q1,1576,35.1,1.0,3437.0,106.3,1.8
tpch_sf2_q1,2,q1,1655,35.11,1.0,3437.0,106.2,1.8
tpch_sf2_q1,2,q1,1751,35.11,1.0,3437.0,101.0,1.8
tpch_sf2_q1,2,q1,1828,35.12,0.0,3437.0,105.3,1.9
tpch_sf2_q1,2,q1,1904,35.12,0.0,3441.0,102.4,1.9
tpch_sf2_q1,2,q1,1979,35.28,0.0,3441.0,103.1,2.1
tpch_sf2_q1,2,q1,2056,35.83,0.0,3441.0,101.8,2.0
tpch_sf2_q1,2,q1,2132,36.65,0.0,3441.0,103.7,2.0
tpch_sf2_q1,2,q1,2207,36.65,0.0,6553.0,105.6,1.8
tpch_sf2_q1,2,q1,2286,41.68,0.0,6555.0,112.4,2.2
tpch_sf2_q1,2,q1,2366,46.09,0.0,12783.0,111.5,2.1
tpch_sf2_q1,2,q1,2448,51.11,0.0,12789.0,108.3,1.8
tpch_sf2_q1,2,q1,2528,59.73,0.0,12789.0,106.8,1.8
tpch_sf2_q1,2,q1,2610,59.73,0.0,12789.0,108.8,1.8
tpch_sf2_q1,2,q1,2688,68.26,0.0,12789.0,107.2,1.8
tpch_sf2_q1,2,q1,2766,76.81,0.0,12789.0,108.2,1.8
tpch_sf2_q1,2,q1,2847,80.8,97.0,12789.0,108.3,1.8
tpch_sf2_q1,2,q1,2926,93.86,97.0,12789.0,109.9,1.8
tpch_sf2_q1,2,q1,3005,93.86,97.0,12789.0,110.0,1.8
tpch_sf2_q1,2,q1,3087,101.75,97.0,12789.0,106.7,1.8
tpch_sf2_q1,2,q1,3165,103.46,97.0,12789.0,106.2,1.8
tpch_sf2_q1,2,q1,3242,110.6,97.0,12789.0,106.6,1.8
