run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_q1,h2o,2gb,q1,25000,0.0030,0.0042,20.46,249,249,46.5,57.5,15829,5.0,69,0.14,108.8,1.8,0.33,OK
h2o_sf2gb_q10,h2o,2gb,q10,7695,0.0130,0.0139,24.48,305,305,56.2,107.4,15841,6.7,86,0.73,111.2,1.9,1.45,OK
h2o_sf2gb_q2,h2o,2gb,q2,16670,0.0050,0.0061,21.36,262,262,48.0,65.8,15821,9.6,79,0.24,109.4,1.9,0.55,OK
h2o_sf2gb_q3,h2o,2gb,q3,12500,0.0080,0.0090,22.02,269,263,49.7,74.3,15821,6.4,86,0.40,114.0,1.9,0.91,OK
h2o_sf2gb_q4,h2o,2gb,q4,20000,0.0040,0.0047,20.79,253,168,47.4,59.0,15801,5.1,56,0.19,109.1,1.9,0.44,OK
h2o_sf2gb_q5,h2o,2gb,q5,12500,0.0070,0.0078,21.33,262,172,50.9,74.3,15841,10.5,83,0.36,109.1,1.9,0.76,OK
h2o_sf2gb_q6,h2o,2gb,q6,11115,0.0080,0.0088,21.36,261,213,51.0,75.0,15835,6.3,82,0.41,-16105.3,1.9,-128.84,OK
h2o_sf2gb_q7,h2o,2gb,q7,20000,0.0050,0.0055,20.89,259,221,49.7,68.5,15839,7.7,76,0.25,110.0,1.9,0.55,OK
h2o_sf2gb_q8,h2o,2gb,q8,8335,0.0120,0.0125,21.99,268,264,51.8,82.5,15837,9.2,89,0.62,111.5,1.9,1.34,OK
h2o_sf2gb_q9,h2o,2gb,q9,5000,0.0200,0.0205,23.76,293,254,59.9,112.1,15841,8.3,86,1.20,110.1,1.8,2.20,OK
