run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf2gb_q1,2gb,q1,24,70.36,0.0,15.0,112.3,1.9
h2o_sf2gb_q1,2gb,q1,127,70.76,0.0,18.0,105.6,1.8
h2o_sf2gb_q1,2gb,q1,202,69.78,0.0,3395.0,107.3,1.8
h2o_sf2gb_q1,2gb,q1,275,69.78,0.0,3395.0,107.8,1.8
h2o_sf2gb_q1,2gb,q1,348,69.69,0.0,3395.0,111.1,1.9
h2o_sf2gb_q1,2gb,q1,421,68.36,0.0,3395.0,107.0,1.8
h2o_sf2gb_q1,2gb,q1,495,61.45,0.0,3395.0,111.3,1.9
h2o_sf2gb_q1,2gb,q1,568,61.45,0.0,3395.0,109.0,1.8
h2o_sf2gb_q1,2gb,q1,642,55.93,0.0,3395.0,109.4,1.8
h2o_sf2gb_q1,2gb,q1,715,55.87,0.0,3395.0,111.5,1.9
h2o_sf2gb_q1,2gb,q1,788,55.77,0.0,3395.0,108.7,1.8
h2o_sf2gb_q1,2gb,q1,860,55.77,0.0,3395.0,111.6,1.9
h2o_sf2gb_q1,2gb,q1,933,55.77,0.0,3395.0,109.1,1.8
h2o_sf2gb_q1,2gb,q1,1006,55.73,0.0,3395.0,110.7,1.8
h2o_sf2gb_q1,2gb,q1,1079,55.85,0.0,3395.0,107.8,1.8
h2o_sf2gb_q1,2gb,q1,1196,55.08,0.0,3403.0,109.6,2.0
h2o_sf2gb_q1,2gb,q1,1273,55.08,0.0,3465.0,107.7,1.8
h2o_sf2gb_q1,2gb,q1,1346,55.48,6.0,3437.0,106.5,1.9
h2o_sf2gb_q1,2gb,q1,1419,55.85,6.0,3437.0,109.3,1.8
h2o_sf2gb_q1,2gb,q1,1491,55.89,6.0,3437.0,108.0,1.8
h2o_sf2gb_q1,2gb,q1,1563,55.89,6.0,3437.0,107.7,1.8
h2o_sf2gb_q1,2gb,q1,1640,55.83,6.0,3437.0,107.4,1.8
h2o_sf2gb_q1,2gb,q1,1735,55.77,6.0,3437.0,101.4,1.8
h2o_sf2gb_q1,2gb,q1,1817,55.75,6.0,3437.0,110.1,2.0
h2o_sf2gb_q1,2gb,q1,1893,55.82,6.0,3441.0,104.9,1.9
h2o_sf2gb_q1,2gb,q1,1969,55.82,6.0,3441.0,106.5,2.0
h2o_sf2gb_q1,2gb,q1,2046,56.88,6.0,3441.0,106.3,2.0
h2o_sf2gb_q1,2gb,q1,2131,63.24,6.0,6559.0,107.4,1.8
h2o_sf2gb_q1,2gb,q1,2213,71.72,6.0,6559.0,107.9,1.8
h2o_sf2gb_q1,2gb,q1,2293,87.01,6.0,6559.0,107.0,1.8
h2o_sf2gb_q1,2gb,q1,2374,87.01,98.0,6559.0,108.1,1.8
h2o_sf2gb_q1,2gb,q1,2454,100.68,98.0,6559.0,109.1,1.8
h2o_sf2gb_q1,2gb,q1,2531,114.86,98.0,6559.0,108.6,1.8
h2o_sf2gb_q1,2gb,q1,2609,128.98,98.0,6559.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,2690,143.17,98.0,6559.0,110.1,1.8
h2o_sf2gb_q1,2gb,q1,2766,143.17,98.0,6559.0,112.8,1.8
h2o_sf2gb_q1,2gb,q1,2844,148.0,98.0,6559.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,2924,171.5,98.0,6559.0,108.0,1.8
h2o_sf2gb_q1,2gb,q1,3007,184.47,98.0,6559.0,109.3,1.8
h2o_sf2gb_q1,2gb,q1,3092,192.53,98.0,6559.0,109.1,1.8
h2o_sf2gb_q1,2gb,q1,3169,192.53,98.0,6559.0,106.5,1.8
h2o_sf2gb_q1,2gb,q1,3252,196.53,98.0,6559.0,108.1,1.8
h2o_sf2gb_q1,2gb,q1,3330,196.56,98.0,6559.0,107.5,1.8
h2o_sf2gb_q1,2gb,q1,3411,196.64,98.0,6559.0,106.5,1.8
h2o_sf2gb_q1,2gb,q1,3490,196.64,98.0,6559.0,109.1,1.8
h2o_sf2gb_q1,2gb,q1,3573,196.64,98.0,6559.0,108.9,1.8
h2o_sf2gb_q1,2gb,q1,3652,196.68,98.0,6559.0,110.1,1.8
h2o_sf2gb_q1,2gb,q1,3733,196.72,98.0,6559.0,109.5,1.8
h2o_sf2gb_q1,2gb,q1,3811,196.78,98.0,6559.0,109.4,1.8
h2o_sf2gb_q1,2gb,q1,3893,196.87,98.0,6559.0,108.1,1.8
h2o_sf2gb_q1,2gb,q1,3973,196.87,98.0,6559.0,110.1,1.8
h2o_sf2gb_q1,2gb,q1,4053,196.91,98.0,6559.0,107.7,1.8
h2o_sf2gb_q1,2gb,q1,4132,196.9,98.0,6559.0,107.2,1.8
h2o_sf2gb_q1,2gb,q1,4213,196.96,98.0,6559.0,107.0,1.8
h2o_sf2gb_q1,2gb,q1,4296,196.95,98.0,6559.0,108.1,1.8
h2o_sf2gb_q1,2gb,q1,4376,196.95,98.0,6559.0,106.2,1.8
h2o_sf2gb_q1,2gb,q1,4455,196.94,98.0,6559.0,107.4,1.8
h2o_sf2gb_q1,2gb,q1,4535,196.99,98.0,6559.0,109.6,1.8
h2o_sf2gb_q1,2gb,q1,4612,196.99,98.0,6559.0,106.8,1.8
h2o_sf2gb_q1,2gb,q1,4690,196.99,98.0,6559.0,110.7,1.8
h2o_sf2gb_q1,2gb,q1,4771,196.99,98.0,6559.0,109.8,1.8
h2o_sf2gb_q1,2gb,q1,4850,197.11,98.0,6559.0,107.4,1.7
h2o_sf2gb_q1,2gb,q1,4930,197.15,98.0,6559.0,111.1,1.8
h2o_sf2gb_q1,2gb,q1,5008,197.07,98.0,6559.0,108.6,1.8
h2o_sf2gb_q1,2gb,q1,5085,197.04,98.0,6559.0,107.1,1.7
h2o_sf2gb_q1,2gb,q1,5161,197.04,98.0,6559.0,107.9,1.8
h2o_sf2gb_q1,2gb,q1,5238,197.06,98.0,6559.0,107.5,1.8
