run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf2_q1,tpch,2,q1,gpu,1250,8,8.0,23.64,286,243,200.1,201.8,12789,96.0,96,1.6,108.8,1.8,0.9,OK
tpch_sf2_q2,tpch,2,q2,gpu,3334,3,3.0,21.48,278,231,105.2,106.3,6563,63.3,64,0.3,108.5,1.8,0.3,OK
tpch_sf2_q3,tpch,2,q3,gpu,3334,3,3.0,50.54,591,551,176.1,177.8,12789,95.0,95,0.5,109.0,1.8,0.3,OK
tpch_sf2_q4,tpch,2,q4,gpu,5000,2,2.0,66.72,773,737,186.4,188.7,12787,96.0,96,0.4,108.5,1.8,0.2,OK
tpch_sf2_q5,tpch,2,q5,gpu,2500,4,4.0,40.68,476,440,192.3,195.0,12787,93.2,94,0.8,108.3,1.8,0.4,OK
tpch_sf2_q6,tpch,2,q6,gpu,10000,1,1.1,100.96,1241,1236,186.2,191.6,12785,92.8,97,0.2,108.5,1.8,0.1,OK
tpch_sf2_q7,tpch,2,q7,gpu,3334,3,3.0,51.42,594,590,169.5,177.7,12787,85.2,92,0.5,108.8,1.8,0.3,OK
tpch_sf2_q8,tpch,2,q8,gpu,3334,3,3.0,51.98,607,567,181.7,183.7,12787,90.7,91,0.5,109.0,1.8,0.3,OK
tpch_sf2_q9,tpch,2,q9,gpu,1667,6,6.0,33.34,404,366,198.2,200.5,12789,94.7,95,1.2,108.7,1.8,0.7,OK
tpch_sf2_q10,tpch,2,q10,gpu,3334,2,3.0,48.58,589,542,176.2,177.5,12789,90.7,91,0.4,108.9,1.8,0.2,OK
tpch_sf2_q11,tpch,2,q11,gpu,3334,3,3.1,21.33,275,237,203.6,207.0,6565,80.4,81,0.6,109.5,1.8,0.3,OK
tpch_sf2_q12,tpch,2,q12,gpu,5000,2,2.0,69.38,833,801,181.4,183.4,12787,91.2,92,0.4,108.6,1.8,0.2,OK
tpch_sf2_q13,tpch,2,q13,gpu,371,27,27.2,14.30,186,185,220.0,264.7,6565,86.8,98,5.9,108.8,1.8,2.9,OK
tpch_sf2_q14,tpch,2,q14,gpu,5000,2,2.1,58.11,699,657,174.5,176.3,12785,89.9,91,0.3,108.9,1.8,0.2,OK
tpch_sf2_q15,tpch,2,q15,gpu,10000,1,1.3,108.58,1286,1250,175.4,177.2,12789,89.7,91,0.2,108.6,1.8,0.1,OK
tpch_sf2_q16,tpch,2,q16,gpu,500,20,20.4,14.44,189,189,121.1,136.6,6561,83.9,94,2.4,108.5,1.8,2.2,OK
tpch_sf2_q17,tpch,2,q17,gpu,2500,3,4.0,35.36,429,427,159.8,169.8,12791,79.3,93,0.5,108.9,1.8,0.3,OK
tpch_sf2_q18,tpch,2,q18,gpu,1667,6,6.0,31.55,379,332,181.4,182.4,12789,95.1,96,1.1,109.3,1.8,0.7,OK
tpch_sf2_q19,tpch,2,q19,gpu,313,32,32.2,16.23,207,169,239.8,244.3,12785,95.0,96,7.7,108.7,1.8,3.5,OK
tpch_sf2_q20,tpch,2,q20,gpu,2500,4,4.0,40.83,492,448,168.0,169.5,12787,87.9,89,0.7,108.7,1.8,0.4,OK
tpch_sf2_q21,tpch,2,q21,gpu,87,115,116.8,14.11,180,136,229.4,231.8,14347,98.2,99,26.4,109.2,1.8,12.6,OK
tpch_sf2_q22,tpch,2,q22,gpu,5000,2,2.1,31.55,410,381,120.9,123.3,6565,56.0,57,0.2,108.4,1.8,0.2,OK
