run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf1gb_q1,1gb,q1,27,58.88,0.0,15.0,106.1,1.8
h2o_sf1gb_q1,1gb,q1,135,57.89,1.0,16.0,107.5,1.9
h2o_sf1gb_q1,1gb,q1,232,57.9,1.0,18.0,103.7,1.8
h2o_sf1gb_q1,1gb,q1,310,54.28,1.0,283.0,105.5,1.9
h2o_sf1gb_q1,1gb,q1,386,54.83,1.0,283.0,108.0,1.8
h2o_sf1gb_q1,1gb,q1,462,54.67,1.0,283.0,108.1,1.8
h2o_sf1gb_q1,1gb,q1,544,54.73,1.0,283.0,108.5,1.8
h2o_sf1gb_q1,1gb,q1,621,54.73,0.0,283.0,109.8,1.9
h2o_sf1gb_q1,1gb,q1,696,54.79,0.0,283.0,106.7,1.8
h2o_sf1gb_q1,1gb,q1,772,54.86,0.0,283.0,107.2,1.8
h2o_sf1gb_q1,1gb,q1,848,54.94,0.0,283.0,109.7,1.9
h2o_sf1gb_q1,1gb,q1,923,54.94,0.0,283.0,108.0,1.8
h2o_sf1gb_q1,1gb,q1,998,54.45,0.0,283.0,105.8,1.8
h2o_sf1gb_q1,1gb,q1,1073,54.35,0.0,283.0,109.8,1.8
h2o_sf1gb_q1,1gb,q1,1150,54.12,0.0,283.0,109.7,1.9
h2o_sf1gb_q1,1gb,q1,1225,54.12,0.0,283.0,106.3,1.8
h2o_sf1gb_q1,1gb,q1,1300,53.8,0.0,283.0,106.2,1.8
h2o_sf1gb_q1,1gb,q1,1375,53.3,0.0,283.0,106.6,1.8
h2o_sf1gb_q1,1gb,q1,1449,53.29,0.0,283.0,108.1,1.8
h2o_sf1gb_q1,1gb,q1,1525,53.29,0.0,283.0,108.6,1.8
h2o_sf1gb_q1,1gb,q1,1601,53.36,0.0,283.0,109.4,1.9
h2o_sf1gb_q1,1gb,q1,1676,53.37,0.0,283.0,106.3,1.8
h2o_sf1gb_q1,1gb,q1,1751,53.36,0.0,283.0,107.1,1.8
h2o_sf1gb_q1,1gb,q1,1826,53.36,0.0,283.0,107.4,1.8
h2o_sf1gb_q1,1gb,q1,1901,53.38,0.0,283.0,107.8,1.8
h2o_sf1gb_q1,1gb,q1,1976,53.37,0.0,283.0,104.7,1.8
