run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q01,tpch,1,q01,4000,0.0010,0.0040,24.03,306,262,120.8,144.4,15841,45.9,72,0.12,113.8,1.8,0.11,OK
tpch_sf1_q02,tpch,1,q02,5000,0.0040,0.0063,39.20,520,466,62.8,65.2,15841,12.8,17,0.25,113.1,1.8,0.45,OK
tpch_sf1_q03,tpch,1,q03,5000,0.0020,0.0034,20.75,272,217,80.6,82.5,15841,29.2,32,0.16,112.9,1.8,0.23,OK
tpch_sf1_q04,tpch,1,q04,10000,0.0010,0.0028,36.20,474,419,84.5,91.3,15841,25.7,37,0.08,111.7,1.8,0.11,OK
tpch_sf1_q05,tpch,1,q05,6668,0.0020,0.0042,35.83,470,420,72.3,80.7,15841,14.7,21,0.14,111.4,1.8,0.22,OK
tpch_sf1_q06,tpch,1,q06,10000,0.0010,0.0020,24.15,320,266,109.2,110.8,15841,38.3,39,0.11,110.9,1.8,0.11,OK
tpch_sf1_q07,tpch,1,q07,5716,0.0030,0.0052,37.70,494,488,68.5,74.3,15841,15.3,23,0.21,110.9,1.8,0.33,OK
tpch_sf1_q08,tpch,1,q08,5716,0.0030,0.0051,37.22,488,440,66.3,71.5,15841,11.0,16,0.20,111.8,1.8,0.34,OK
tpch_sf1_q09,tpch,1,q09,5000,0.0030,0.0047,31.18,410,362,86.4,96.5,15841,21.4,28,0.26,111.7,1.8,0.33,OK
tpch_sf1_q10,tpch,1,q10,5716,0.0020,0.0044,32.79,426,381,75.0,80.7,15841,20.8,36,0.15,111.6,1.8,0.22,OK
tpch_sf1_q11,tpch,1,q11,10000,0.0010,0.0019,42.02,562,556,59.5,61.6,15841,7.0,36,0.06,110.7,1.8,0.11,OK
tpch_sf1_q12,tpch,1,q12,8000,0.0020,0.0032,33.34,436,378,80.1,85.7,15841,21.1,30,0.16,112.7,1.8,0.23,OK
tpch_sf1_q13,tpch,1,q13,24000,0.0040,0.0052,23.51,292,292,55.3,62.9,15829,3.9,38,0.22,112.6,1.9,0.45,OK
tpch_sf1_q14,tpch,1,q14,13334,0.0010,0.0021,35.12,460,455,66.3,70.6,15841,11.6,38,0.07,110.6,1.8,0.11,OK
tpch_sf1_q15,tpch,1,q15,10000,0.0010,0.0028,35.45,467,423,65.7,68.6,15841,12.1,15,0.07,111.2,1.8,0.11,OK
tpch_sf1_q16,tpch,1,q16,2000,0.0020,0.0063,20.27,265,217,68.7,76.7,15841,50.8,82,0.14,113.1,1.8,0.23,OK
tpch_sf1_q17,tpch,1,q17,6668,0.0010,0.0036,31.83,417,368,93.5,108.6,15841,32.4,44,0.09,112.8,1.8,0.11,OK
tpch_sf1_q18,tpch,1,q18,2858,0.0040,0.0058,20.32,266,204,127.4,128.6,15841,52.8,54,0.51,111.3,1.8,0.45,OK
tpch_sf1_q19,tpch,1,q19,6668,0.0020,0.0035,31.13,405,353,79.4,85.2,15841,20.3,26,0.16,112.9,1.8,0.23,OK
tpch_sf1_q20,tpch,1,q20,5716,0.0030,0.0047,34.63,454,387,66.5,68.9,15841,21.0,30,0.20,111.3,1.8,0.33,OK
tpch_sf1_q21,tpch,1,q21,2858,0.0030,0.0064,26.03,338,287,88.7,99.3,15841,34.7,51,0.27,113.3,1.8,0.34,OK
tpch_sf1_q22,tpch,1,q22,8000,0.0020,0.0035,35.75,472,424,63.5,67.0,15841,12.5,30,0.13,110.9,1.8,0.22,OK
