power_limit_w,sm_clock_mhz,engine,benchmark,sf,query,min_ms,avg_power_w,max_power_w,energy_j,cpu_energy_j,avg_gpu_util,status
250,1800,maximus,h2o,1gb,q1,12,36.9,37.3,0.4,1.3,4.1,OK
250,1800,maximus,h2o,1gb,q2,20,37.9,38.4,0.8,2.2,6.7,OK
250,1800,maximus,h2o,1gb,q3,23,38.9,39.5,0.9,2.5,8.9,OK
250,1800,maximus,h2o,1gb,q4,19,37.1,37.5,0.7,2.1,6.0,OK
250,1800,maximus,h2o,1gb,q5,21,38.6,39.2,0.8,2.3,8.0,OK
250,1800,maximus,h2o,1gb,q6,208,75.1,80.2,15.6,22.5,64.5,OK
250,1800,maximus,h2o,1gb,q7,17,38.5,39.0,0.7,1.9,5.9,OK
250,1800,maximus,h2o,1gb,q9,21,38.9,39.5,0.8,2.3,8.0,OK
250,1800,maximus,h2o,1gb,q10,50,40.6,41.8,2.0,5.5,12.2,OK
250,1800,maximus,h2o,2gb,q1,23,37.0,37.8,0.9,2.5,3.2,OK
250,1800,maximus,h2o,2gb,q2,39,37.4,38.5,1.5,-149.5,5.7,OK
250,1800,maximus,h2o,2gb,q3,44,38.1,39.3,1.7,4.8,5.6,OK
250,1800,maximus,h2o,2gb,q4,38,36.8,37.4,1.4,4.2,5.0,OK
250,1800,maximus,h2o,2gb,q5,42,38.0,39.0,1.6,4.6,7.4,OK
250,1800,maximus,h2o,2gb,q6,420,71.8,89.5,30.1,46.2,62.4,OK
250,1800,maximus,h2o,2gb,q7,33,38.0,39.1,1.3,3.6,4.6,OK
250,1800,maximus,h2o,2gb,q9,42,38.2,39.3,1.6,4.6,5.2,OK
250,1800,maximus,h2o,2gb,q10,98,40.3,41.6,3.9,10.8,10.7,OK
250,1800,maximus,tpch,1,q1,29,37.4,38.4,1.1,3.2,5.7,OK
250,1800,maximus,tpch,1,q2,6,35.5,36.7,0.2,0.7,8.0,OK
250,1800,maximus,tpch,1,q3,21,35.8,36.4,0.8,2.3,3.6,OK
250,1800,maximus,tpch,1,q4,13,35.7,36.1,0.5,1.4,2.1,OK
250,1800,maximus,tpch,1,q5,22,36.0,36.5,0.8,2.4,3.3,OK
250,1800,maximus,tpch,1,q6,15,35.5,35.9,0.5,1.6,2.1,OK
250,1800,maximus,tpch,1,q7,23,35.7,36.3,0.8,2.5,3.0,OK
250,1800,maximus,tpch,1,q8,26,35.8,36.3,0.9,2.8,3.0,OK
250,1800,maximus,tpch,1,q9,34,36.4,37.0,1.2,3.7,4.0,OK
250,1800,maximus,tpch,1,q10,22,35.7,36.2,0.8,2.4,3.2,OK
250,1800,maximus,tpch,1,q11,14,40.9,41.5,0.6,1.5,14.3,OK
250,1800,maximus,tpch,1,q12,89,35.9,38.4,3.2,9.8,7.4,OK
250,1800,maximus,tpch,1,q13,38,53.8,57.2,2.0,4.1,28.7,OK
250,1800,maximus,tpch,1,q14,76,35.8,44.7,2.7,8.4,6.5,OK
250,1800,maximus,tpch,1,q15,73,36.0,36.3,2.6,8.0,7.2,OK
250,1800,maximus,tpch,1,q16,42,41.8,42.9,1.8,4.6,41.0,OK
250,1800,maximus,tpch,1,q17,78,36.1,36.5,2.8,8.5,6.9,OK
250,1800,maximus,tpch,1,q18,93,36.6,37.4,3.4,10.1,7.8,OK
250,1800,maximus,tpch,1,q19,98,42.8,44.0,4.2,10.8,14.5,OK
250,1800,maximus,tpch,1,q20,89,36.2,36.9,3.2,9.8,8.2,OK
250,1800,maximus,tpch,1,q21,166,51.8,55.5,8.6,18.2,17.8,OK
250,1800,maximus,tpch,1,q22,20,36.3,36.6,0.7,2.2,7.5,OK
250,1800,maximus,tpch,2,q1,59,37.9,39.2,2.2,6.4,5.6,OK
250,1800,maximus,tpch,2,q2,9,35.7,36.1,0.3,1.0,5.6,OK
250,1800,maximus,tpch,2,q3,40,35.9,36.5,1.4,4.4,1.6,OK
250,1800,maximus,tpch,2,q4,26,35.8,36.3,0.9,2.8,1.6,OK
250,1800,maximus,tpch,2,q5,45,36.3,37.0,1.6,4.9,3.6,OK
250,1800,maximus,tpch,2,q6,30,35.8,36.4,1.1,3.3,2.6,OK
250,1800,maximus,tpch,2,q7,46,36.1,36.6,1.7,5.0,2.8,OK
250,1800,maximus,tpch,2,q8,52,36.2,36.7,1.9,5.7,2.5,OK
250,1800,maximus,tpch,2,q9,66,36.7,37.4,2.4,7.2,4.1,OK
250,1800,maximus,tpch,2,q10,42,36.0,36.5,1.5,4.6,3.1,OK
250,1800,maximus,tpch,2,q11,27,41.5,42.4,1.1,3.0,12.9,OK
250,1800,maximus,tpch,2,q12,178,36.3,36.9,6.5,19.4,6.2,OK
250,1800,maximus,tpch,2,q13,75,54.5,60.1,4.1,8.2,28.2,OK
250,1800,maximus,tpch,2,q14,152,36.4,37.0,5.5,16.7,6.8,OK
250,1800,maximus,tpch,2,q15,146,36.3,36.8,5.3,16.1,13.1,OK
250,1800,maximus,tpch,2,q16,58,42.8,44.8,2.5,6.3,23.4,OK
250,1800,maximus,tpch,2,q17,168,36.4,36.8,6.1,18.5,8.3,OK
250,1800,maximus,tpch,2,q18,202,36.7,37.7,7.4,22.1,5.4,OK
250,1800,maximus,tpch,2,q19,211,42.4,44.8,8.9,23.0,31.5,OK
250,1800,maximus,tpch,2,q20,177,36.4,37.0,6.4,19.3,7.3,OK
