run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q1,tpch,1,q1,cpu,371,28,28.2,78.94,1057,848,62.1,64.2,3445,6.0,9,1.7,109.2,3.1,3.1,OK
tpch_sf1_q2,tpch,1,q2,cpu,1667,5,5.9,63.22,833,772,60.0,60.7,3445,5.8,7,0.3,-4413.3,3.3,-22.1,OK
tpch_sf1_q3,tpch,1,q3,cpu,500,20,20.3,114.37,1534,1406,60.5,61.7,3445,2.5,6,1.2,109.6,3.3,2.2,OK
tpch_sf1_q4,tpch,1,q4,cpu,834,12,13.1,169.45,2274,2274,61.0,62.2,3445,2.0,4,0.7,109.6,3.3,1.3,OK
tpch_sf1_q5,tpch,1,q5,cpu,455,21,22.2,107.50,1443,1306,62.2,63.2,3445,2.9,6,1.3,109.4,3.2,2.3,OK
tpch_sf1_q6,tpch,1,q6,cpu,667,15,15.2,132.37,1777,1614,61.5,62.2,3441,2.4,4,0.9,109.3,3.0,1.6,OK
tpch_sf1_q7,tpch,1,q7,cpu,435,23,23.5,104.23,1395,1151,62.2,63.1,3445,2.9,6,1.4,109.7,3.2,2.5,OK
tpch_sf1_q8,tpch,1,q8,cpu,385,26,26.7,101.55,1365,1274,62.5,63.3,3445,2.7,7,1.6,109.6,3.1,2.9,OK
tpch_sf1_q9,tpch,1,q9,cpu,313,32,33.0,91.80,1230,1118,63.7,64.8,3447,4.5,10,2.0,109.4,3.1,3.5,OK
tpch_sf1_q10,tpch,1,q10,cpu,477,21,22.2,107.60,1445,1347,62.2,62.9,3447,3.0,6,1.3,109.8,3.3,2.3,OK
tpch_sf1_q11,tpch,1,q11,cpu,715,13,14.1,30.47,396,327,71.0,72.2,3447,12.0,13,0.9,110.8,3.4,1.4,OK
tpch_sf1_q12,tpch,1,q12,cpu,113,90,91.6,38.87,517,437,63.1,63.6,3445,10.2,21,5.7,110.4,3.2,9.9,OK
tpch_sf1_q13,tpch,1,q13,cpu,313,32,32.6,30.08,394,344,98.3,107.6,3447,19.7,34,3.1,110.0,3.0,3.5,OK
tpch_sf1_q14,tpch,1,q14,cpu,129,76,78.7,40.47,541,290,58.5,60.3,3441,9.2,17,4.4,109.5,3.1,8.3,OK
tpch_sf1_q15,tpch,1,q15,cpu,134,74,76.0,41.13,547,472,56.0,58.1,3449,8.1,17,4.1,110.3,3.0,8.2,OK
tpch_sf1_q16,tpch,1,q16,cpu,304,31,32.2,24.59,321,189,67.5,69.5,3441,33.0,40,2.1,111.0,2.9,3.4,OK
tpch_sf1_q17,tpch,1,q17,cpu,127,78,80.5,40.40,539,382,54.8,60.0,3447,8.3,32,4.3,110.6,2.9,8.6,OK
tpch_sf1_q18,tpch,1,q18,cpu,108,94,96.1,39.38,526,331,55.4,56.8,3447,8.7,23,5.2,110.2,3.2,10.4,OK
tpch_sf1_q19,tpch,1,q19,cpu,108,91,93.0,35.75,474,322,65.7,68.4,3443,15.3,32,6.0,109.5,3.0,10.0,OK
tpch_sf1_q20,tpch,1,q20,cpu,110,89,91.7,39.11,522,321,54.6,56.0,3445,8.2,21,4.9,110.1,3.1,9.8,OK
tpch_sf1_q21,tpch,1,q21,cpu,68,146,149.0,31.12,411,287,80.4,89.9,6561,31.4,64,11.7,109.3,2.9,16.0,OK
tpch_sf1_q22,tpch,1,q22,cpu,500,20,20.7,38.58,507,364,55.1,56.3,3447,8.5,10,1.1,110.0,3.3,2.2,OK
