run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf2_q1,2,q1,27,71.97,24.0,741.0,116.6,1.8
tpch_sf2_q1,2,q1,166,71.38,0.0,765.0,106.6,1.8
tpch_sf2_q1,2,q1,251,68.5,0.0,879.0,110.5,1.8
tpch_sf2_q1,2,q1,328,68.5,0.0,4093.0,117.8,1.9
tpch_sf2_q1,2,q1,406,67.88,0.0,4159.0,117.7,1.8
tpch_sf2_q1,2,q1,497,67.53,0.0,4217.0,117.4,1.8
tpch_sf2_q1,2,q1,603,66.57,20.0,4237.0,115.2,1.8
tpch_sf2_q1,2,q1,681,65.22,20.0,4273.0,123.5,2.6
tpch_sf2_q1,2,q1,759,64.42,20.0,4273.0,117.7,1.8
tpch_sf2_q1,2,q1,836,64.42,20.0,4273.0,120.0,1.9
tpch_sf2_q1,2,q1,914,66.37,20.0,4273.0,118.5,1.9
tpch_sf2_q1,2,q1,991,67.21,20.0,4273.0,119.3,1.9
tpch_sf2_q1,2,q1,1068,69.96,23.0,4273.0,118.8,1.8
tpch_sf2_q1,2,q1,1146,71.52,23.0,4273.0,118.4,1.8
tpch_sf2_q1,2,q1,1264,71.76,23.0,4273.0,119.2,2.1
tpch_sf2_q1,2,q1,1342,71.76,23.0,4307.0,115.2,1.8
tpch_sf2_q1,2,q1,1420,72.54,23.0,4103.0,115.6,1.9
tpch_sf2_q1,2,q1,1498,72.25,23.0,4011.0,116.8,1.9
tpch_sf2_q1,2,q1,1575,73.02,16.0,4063.0,116.3,1.8
tpch_sf2_q1,2,q1,1758,74.04,16.0,4125.0,112.9,1.8
tpch_sf2_q1,2,q1,1836,72.4,16.0,4179.0,114.0,1.8
tpch_sf2_q1,2,q1,1913,72.02,16.0,4245.0,117.7,1.9
tpch_sf2_q1,2,q1,1990,71.5,16.0,4321.0,126.3,1.8
tpch_sf2_q1,2,q1,2067,71.2,19.0,4321.0,129.1,1.8
tpch_sf2_q1,2,q1,2144,71.19,19.0,4321.0,125.9,1.8
tpch_sf2_q1,2,q1,2221,71.19,19.0,4321.0,128.0,1.8
tpch_sf2_q1,2,q1,2298,71.31,19.0,4321.0,127.5,1.8
tpch_sf2_q1,2,q1,2375,71.23,19.0,4321.0,126.8,1.8
tpch_sf2_q1,2,q1,2452,71.61,19.0,4321.0,128.5,1.8
tpch_sf2_q1,2,q1,2530,71.61,19.0,4321.0,129.9,2.0
tpch_sf2_q1,2,q1,2614,72.12,19.0,4321.0,228.9,4.9
tpch_sf2_q1,2,q1,2691,71.96,19.0,4321.0,147.5,2.6
tpch_sf2_q1,2,q1,2769,73.92,19.0,4321.0,118.8,1.8
tpch_sf2_q1,2,q1,2908,73.19,19.0,4067.0,114.0,1.8
tpch_sf2_q1,2,q1,2985,72.4,19.0,4011.0,117.9,1.8
tpch_sf2_q1,2,q1,3061,72.19,8.0,4067.0,117.2,1.8
tpch_sf2_q1,2,q1,3138,72.19,8.0,4137.0,117.8,1.8
tpch_sf2_q1,2,q1,3216,72.04,8.0,4197.0,117.6,1.8
tpch_sf2_q1,2,q1,3293,72.14,8.0,4263.0,118.0,1.8
tpch_sf2_q1,2,q1,3375,71.65,8.0,4313.0,206.9,4.4
tpch_sf2_q1,2,q1,3460,71.04,8.0,4313.0,227.9,5.7
tpch_sf2_q1,2,q1,3540,71.04,18.0,4313.0,209.1,5.0
tpch_sf2_q1,2,q1,3617,70.81,18.0,4313.0,138.6,2.9
tpch_sf2_q1,2,q1,3693,71.07,18.0,4313.0,115.5,1.8
tpch_sf2_q1,2,q1,3771,71.07,18.0,4313.0,119.6,1.9
tpch_sf2_q1,2,q1,3848,72.14,18.0,4313.0,120.0,1.8
tpch_sf2_q1,2,q1,3931,72.14,18.0,4313.0,123.7,1.8
tpch_sf2_q1,2,q1,4051,73.71,18.0,4313.0,123.5,1.8
tpch_sf2_q1,2,q1,4128,73.71,18.0,4313.0,118.0,1.8
tpch_sf2_q1,2,q1,4207,73.79,18.0,3987.0,164.6,3.1
tpch_sf2_q1,2,q1,4284,73.37,18.0,4027.0,129.8,2.5
tpch_sf2_q1,2,q1,4360,73.31,18.0,4091.0,123.0,1.9
tpch_sf2_q1,2,q1,4437,73.31,18.0,4143.0,122.9,2.0
tpch_sf2_q1,2,q1,4513,73.66,18.0,4199.0,114.9,1.9
tpch_sf2_q1,2,q1,4589,73.6,18.0,4263.0,115.7,1.8
tpch_sf2_q1,2,q1,4663,73.55,18.0,4317.0,117.0,1.8
tpch_sf2_q1,2,q1,4742,73.55,18.0,4317.0,117.7,1.8
tpch_sf2_q1,2,q1,4818,73.42,18.0,4317.0,135.5,2.6
tpch_sf2_q1,2,q1,4894,73.36,18.0,4317.0,116.6,1.8
tpch_sf2_q1,2,q1,4969,73.27,18.0,4317.0,117.1,1.8
tpch_sf2_q1,2,q1,5044,72.9,23.0,4317.0,116.6,1.9
tpch_sf2_q1,2,q1,5146,72.91,23.0,4317.0,119.0,1.8
tpch_sf2_q1,2,q1,5221,72.91,23.0,4317.0,117.0,1.8
tpch_sf2_q1,2,q1,5298,73.61,23.0,4317.0,116.0,1.8
tpch_sf2_q1,2,q1,5373,73.86,23.0,4317.0,115.5,1.8
tpch_sf2_q1,2,q1,5447,73.78,23.0,4357.0,117.7,1.8
tpch_sf2_q1,2,q1,5523,73.78,23.0,3995.0,116.6,1.8
tpch_sf2_q1,2,q1,5598,73.93,20.0,4055.0,117.2,1.8
tpch_sf2_q1,2,q1,5673,74.02,20.0,4113.0,116.0,1.9
tpch_sf2_q1,2,q1,5749,73.95,20.0,4179.0,115.3,1.8
tpch_sf2_q1,2,q1,5824,73.95,20.0,4237.0,116.8,1.8
tpch_sf2_q1,2,q1,5901,73.92,20.0,4307.0,119.2,1.9
tpch_sf2_q1,2,q1,5975,73.61,20.0,4307.0,114.5,1.8
tpch_sf2_q1,2,q1,6050,73.71,21.0,4307.0,118.0,1.9
tpch_sf2_q1,2,q1,6125,73.71,21.0,4307.0,115.8,1.8
tpch_sf2_q1,2,q1,6245,73.78,21.0,4307.0,117.5,1.8
tpch_sf2_q1,2,q1,6321,73.71,21.0,4307.0,117.9,1.9
tpch_sf2_q1,2,q1,6396,73.71,21.0,4307.0,114.7,1.8
tpch_sf2_q1,2,q1,6471,73.78,21.0,4307.0,117.7,1.9
tpch_sf2_q1,2,q1,6546,74.01,21.0,4307.0,117.2,1.8
tpch_sf2_q1,2,q1,6622,74.01,21.0,4307.0,117.0,1.8
tpch_sf2_q1,2,q1,6698,74.24,21.0,3997.0,115.6,1.8
tpch_sf2_q1,2,q1,6774,73.89,21.0,4021.0,116.4,1.8
tpch_sf2_q1,2,q1,6849,73.84,21.0,4083.0,118.0,1.9
tpch_sf2_q1,2,q1,6925,73.84,21.0,4145.0,117.0,2.5
tpch_sf2_q1,2,q1,7000,73.78,21.0,4215.0,121.8,3.7
tpch_sf2_q1,2,q1,7077,73.78,21.0,4277.0,120.7,3.3
tpch_sf2_q1,2,q1,7154,75.67,21.0,4319.0,117.6,2.6
tpch_sf2_q1,2,q1,7230,75.67,21.0,4319.0,121.1,3.7
tpch_sf2_q1,2,q1,7340,75.6,21.0,4319.0,123.3,3.7
tpch_sf2_q1,2,q1,7417,75.65,21.0,4319.0,121.0,3.6
tpch_sf2_q1,2,q1,7493,76.26,21.0,4319.0,119.6,3.2
tpch_sf2_q1,2,q1,7568,77.35,21.0,4319.0,119.1,3.6
tpch_sf2_q1,2,q1,7645,77.51,21.0,4319.0,120.8,3.7
tpch_sf2_q1,2,q1,7721,77.51,21.0,4319.0,119.4,3.6
tpch_sf2_q1,2,q1,7798,77.45,21.0,4319.0,120.7,3.2
tpch_sf2_q1,2,q1,7874,79.52,21.0,4359.0,118.5,3.7
tpch_sf2_q1,2,q1,7950,80.05,21.0,4011.0,120.1,3.7
tpch_sf2_q1,2,q1,8026,80.05,21.0,4067.0,119.2,3.7
tpch_sf2_q1,2,q1,8101,80.01,21.0,4125.0,119.2,3.2
tpch_sf2_q1,2,q1,8177,79.79,21.0,4187.0,120.3,3.7
tpch_sf2_q1,2,q1,8253,79.16,21.0,4245.0,119.4,3.7
tpch_sf2_q1,2,q1,8328,79.16,21.0,4309.0,118.3,3.6
tpch_sf2_q1,2,q1,8438,78.8,21.0,4309.0,123.8,3.3
tpch_sf2_q1,2,q1,8514,80.29,21.0,4309.0,117.9,3.3
tpch_sf2_q1,2,q1,8590,79.76,21.0,4309.0,114.8,1.8
tpch_sf2_q1,2,q1,8665,78.88,21.0,4309.0,119.7,2.9
tpch_sf2_q1,2,q1,8746,78.88,21.0,4309.0,119.1,3.6
tpch_sf2_q1,2,q1,8824,78.53,21.0,4309.0,120.1,3.1
tpch_sf2_q1,2,q1,8899,78.86,21.0,4309.0,120.4,3.3
tpch_sf2_q1,2,q1,8974,78.56,21.0,4309.0,116.0,2.1
tpch_sf2_q1,2,q1,9048,78.99,24.0,4309.0,118.0,2.6
tpch_sf2_q1,2,q1,9124,78.99,24.0,4349.0,119.7,3.4
tpch_sf2_q1,2,q1,9198,77.63,24.0,4015.0,115.9,1.9
tpch_sf2_q1,2,q1,9277,77.93,24.0,4071.0,124.6,3.2
tpch_sf2_q1,2,q1,9353,79.91,24.0,4133.0,118.8,3.3
tpch_sf2_q1,2,q1,9428,79.91,24.0,4195.0,116.5,2.1
tpch_sf2_q1,2,q1,9536,77.94,24.0,4231.0,114.0,2.3
tpch_sf2_q1,2,q1,9611,76.64,19.0,4295.0,121.1,3.6
tpch_sf2_q1,2,q1,9689,76.5,19.0,4323.0,120.0,3.2
tpch_sf2_q1,2,q1,9766,78.79,19.0,4323.0,118.3,3.2
tpch_sf2_q1,2,q1,9840,78.38,19.0,4323.0,118.5,3.0
tpch_sf2_q1,2,q1,9916,78.38,19.0,4323.0,117.6,2.0
tpch_sf2_q1,2,q1,9991,76.66,19.0,4323.0,117.6,3.6
tpch_sf2_q1,2,q1,10067,76.73,22.0,4323.0,119.4,3.6
tpch_sf2_q1,2,q1,10143,79.01,22.0,4323.0,119.6,3.1
tpch_sf2_q1,2,q1,10219,79.01,22.0,4323.0,119.2,3.1
tpch_sf2_q1,2,q1,10296,78.69,22.0,4323.0,116.8,2.0
tpch_sf2_q1,2,q1,10372,77.53,22.0,4323.0,117.7,3.2
tpch_sf2_q1,2,q1,10448,76.88,22.0,4003.0,120.4,3.6
tpch_sf2_q1,2,q1,10523,76.88,22.0,4037.0,122.2,3.2
tpch_sf2_q1,2,q1,10642,80.19,22.0,4091.0,116.4,3.2
tpch_sf2_q1,2,q1,10717,79.24,22.0,4151.0,117.9,2.7
tpch_sf2_q1,2,q1,10794,78.71,22.0,4213.0,122.3,2.6
tpch_sf2_q1,2,q1,10870,76.95,22.0,4271.0,116.4,1.9
tpch_sf2_q1,2,q1,10946,76.82,22.0,4333.0,114.2,1.8
tpch_sf2_q1,2,q1,11020,76.82,22.0,4333.0,116.5,1.8
tpch_sf2_q1,2,q1,11096,76.61,22.0,4333.0,117.1,1.9
tpch_sf2_q1,2,q1,11173,76.84,22.0,4333.0,118.4,3.1
tpch_sf2_q1,2,q1,11249,76.57,22.0,4333.0,121.1,3.7
tpch_sf2_q1,2,q1,11325,76.57,22.0,4333.0,117.8,2.2
tpch_sf2_q1,2,q1,11402,76.41,22.0,4333.0,119.2,2.9
tpch_sf2_q1,2,q1,11478,76.44,22.0,4333.0,121.8,2.9
tpch_sf2_q1,2,q1,11553,76.96,24.0,4333.0,116.8,1.9
tpch_sf2_q1,2,q1,11628,76.96,24.0,4333.0,117.4,1.8
tpch_sf2_q1,2,q1,11739,76.51,24.0,4373.0,120.6,2.6
tpch_sf2_q1,2,q1,11815,76.18,24.0,4005.0,119.0,3.1
tpch_sf2_q1,2,q1,11890,77.34,24.0,4059.0,116.5,2.5
tpch_sf2_q1,2,q1,11965,77.4,24.0,4125.0,116.8,1.9
tpch_sf2_q1,2,q1,12040,77.4,24.0,4185.0,117.9,2.9
tpch_sf2_q1,2,q1,12116,77.74,24.0,4251.0,120.5,3.3
tpch_sf2_q1,2,q1,12192,77.32,24.0,4313.0,116.6,2.4
tpch_sf2_q1,2,q1,12268,76.57,24.0,4331.0,121.4,3.1
tpch_sf2_q1,2,q1,12343,77.37,24.0,4331.0,120.2,3.5
tpch_sf2_q1,2,q1,12419,77.37,24.0,4331.0,116.2,2.0
tpch_sf2_q1,2,q1,12495,77.32,24.0,4331.0,120.1,3.2
tpch_sf2_q1,2,q1,12570,77.17,24.0,4331.0,117.9,3.0
tpch_sf2_q1,2,q1,12645,77.27,24.0,4331.0,122.9,2.1
tpch_sf2_q1,2,q1,12721,77.27,24.0,4331.0,120.1,3.1
tpch_sf2_q1,2,q1,12834,79.4,24.0,4331.0,124.5,3.4
tpch_sf2_q1,2,q1,12909,78.54,24.0,4331.0,115.0,1.8
