run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf1gb_q1,1gb,q1,137,67.05,9.0,701.0,108.7,1.8
h2o_sf1gb_q1,1gb,q1,251,66.04,9.0,655.0,106.0,1.8
h2o_sf1gb_q1,1gb,q1,329,64.79,2.0,3895.0,116.2,1.9
h2o_sf1gb_q1,1gb,q1,404,63.54,2.0,3927.0,119.1,1.8
h2o_sf1gb_q1,1gb,q1,478,63.54,2.0,3957.0,119.7,1.9
h2o_sf1gb_q1,1gb,q1,552,63.54,2.0,3957.0,121.6,1.8
h2o_sf1gb_q1,1gb,q1,628,62.59,2.0,3957.0,119.0,1.8
h2o_sf1gb_q1,1gb,q1,702,63.26,2.0,3957.0,117.6,1.9
h2o_sf1gb_q1,1gb,q1,777,63.48,19.0,3957.0,119.5,1.8
h2o_sf1gb_q1,1gb,q1,851,63.48,19.0,3977.0,118.4,1.8
h2o_sf1gb_q1,1gb,q1,925,63.13,19.0,3899.0,117.7,1.8
h2o_sf1gb_q1,1gb,q1,999,63.17,19.0,3917.0,119.0,1.9
h2o_sf1gb_q1,1gb,q1,1073,62.95,19.0,3951.0,118.8,1.9
h2o_sf1gb_q1,1gb,q1,1186,62.95,19.0,3959.0,121.3,1.9
h2o_sf1gb_q1,1gb,q1,1312,63.88,17.0,3959.0,117.9,2.1
h2o_sf1gb_q1,1gb,q1,1387,65.11,17.0,3997.0,115.3,1.8
h2o_sf1gb_q1,1gb,q1,1462,65.11,17.0,3997.0,117.4,1.9
h2o_sf1gb_q1,1gb,q1,1536,65.25,17.0,3945.0,115.2,1.8
h2o_sf1gb_q1,1gb,q1,1610,65.02,17.0,3945.0,118.1,1.8
h2o_sf1gb_q1,1gb,q1,1684,64.94,17.0,3971.0,118.3,1.8
h2o_sf1gb_q1,1gb,q1,1759,64.94,15.0,4001.0,120.2,1.8
h2o_sf1gb_q1,1gb,q1,1833,64.86,15.0,4001.0,117.8,1.8
h2o_sf1gb_q1,1gb,q1,1906,64.93,15.0,4001.0,118.9,1.8
h2o_sf1gb_q1,1gb,q1,1980,65.03,15.0,4001.0,118.7,1.8
h2o_sf1gb_q1,1gb,q1,2056,65.03,15.0,4001.0,116.8,1.8
h2o_sf1gb_q1,1gb,q1,2130,65.44,15.0,4001.0,116.5,1.8
h2o_sf1gb_q1,1gb,q1,2205,65.36,15.0,3941.0,121.1,1.8
h2o_sf1gb_q1,1gb,q1,2302,65.24,14.0,3941.0,183.5,3.2
h2o_sf1gb_q1,1gb,q1,2378,64.78,14.0,3977.0,155.4,3.2
h2o_sf1gb_q1,1gb,q1,2452,64.78,14.0,3999.0,121.4,1.9
h2o_sf1gb_q1,1gb,q1,2527,64.87,14.0,3999.0,114.7,1.8
h2o_sf1gb_q1,1gb,q1,2601,64.92,14.0,3999.0,118.0,1.9
h2o_sf1gb_q1,1gb,q1,2676,65.38,14.0,3999.0,115.4,1.8
h2o_sf1gb_q1,1gb,q1,2750,65.38,14.0,3999.0,116.1,1.8
h2o_sf1gb_q1,1gb,q1,2826,65.6,14.0,4019.0,115.5,1.8
h2o_sf1gb_q1,1gb,q1,2901,65.46,14.0,3947.0,116.8,1.8
h2o_sf1gb_q1,1gb,q1,2976,65.38,14.0,3973.0,115.6,1.8
h2o_sf1gb_q1,1gb,q1,3051,65.38,14.0,4001.0,116.0,1.9
h2o_sf1gb_q1,1gb,q1,3125,65.37,14.0,4001.0,117.0,2.1
h2o_sf1gb_q1,1gb,q1,3201,65.43,14.0,4007.0,118.7,2.8
h2o_sf1gb_q1,1gb,q1,3276,66.01,20.0,4007.0,119.5,3.6
h2o_sf1gb_q1,1gb,q1,3397,66.48,20.0,4007.0,121.2,3.6
h2o_sf1gb_q1,1gb,q1,3473,67.23,20.0,3951.0,118.3,3.6
h2o_sf1gb_q1,1gb,q1,3549,67.23,20.0,3955.0,119.3,2.8
h2o_sf1gb_q1,1gb,q1,3625,67.35,20.0,3987.0,117.8,3.6
h2o_sf1gb_q1,1gb,q1,3700,67.41,20.0,4007.0,119.8,3.5
h2o_sf1gb_q1,1gb,q1,3775,67.64,20.0,4007.0,116.7,2.1
h2o_sf1gb_q1,1gb,q1,3851,67.64,20.0,4007.0,119.0,3.6
h2o_sf1gb_q1,1gb,q1,3926,67.86,20.0,4007.0,116.9,2.9
h2o_sf1gb_q1,1gb,q1,4002,68.69,20.0,4007.0,120.5,3.3
h2o_sf1gb_q1,1gb,q1,4077,68.82,20.0,4027.0,120.4,3.2
h2o_sf1gb_q1,1gb,q1,4153,68.82,20.0,3953.0,117.2,2.7
h2o_sf1gb_q1,1gb,q1,4228,69.15,20.0,3971.0,115.3,2.8
h2o_sf1gb_q1,1gb,q1,4304,68.55,20.0,4001.0,120.8,3.7
h2o_sf1gb_q1,1gb,q1,4379,68.61,20.0,4007.0,117.7,3.6
h2o_sf1gb_q1,1gb,q1,4494,68.47,20.0,4007.0,120.9,2.9
h2o_sf1gb_q1,1gb,q1,4569,68.64,20.0,4007.0,118.6,3.6
h2o_sf1gb_q1,1gb,q1,4645,68.64,20.0,4007.0,122.0,3.7
h2o_sf1gb_q1,1gb,q1,4721,68.93,20.0,4027.0,118.6,3.7
h2o_sf1gb_q1,1gb,q1,4797,68.82,20.0,3955.0,119.1,3.6
h2o_sf1gb_q1,1gb,q1,4872,68.62,20.0,3967.0,119.0,3.6
h2o_sf1gb_q1,1gb,q1,4947,68.62,20.0,4001.0,119.1,3.5
h2o_sf1gb_q1,1gb,q1,5023,68.36,20.0,4003.0,117.5,3.0
h2o_sf1gb_q1,1gb,q1,5099,68.04,20.0,4003.0,145.5,3.7
h2o_sf1gb_q1,1gb,q1,5174,68.08,20.0,4003.0,125.5,2.8
h2o_sf1gb_q1,1gb,q1,5250,68.08,20.0,4003.0,118.3,3.3
h2o_sf1gb_q1,1gb,q1,5327,68.62,20.0,4003.0,120.6,3.6
h2o_sf1gb_q1,1gb,q1,5404,68.49,20.0,3947.0,117.8,3.1
h2o_sf1gb_q1,1gb,q1,5479,68.12,20.0,3955.0,119.1,3.6
h2o_sf1gb_q1,1gb,q1,5592,67.73,20.0,3975.0,115.5,2.8
h2o_sf1gb_q1,1gb,q1,5668,66.86,20.0,4007.0,118.6,3.3
h2o_sf1gb_q1,1gb,q1,5743,66.86,20.0,4007.0,139.2,3.3
h2o_sf1gb_q1,1gb,q1,5819,66.8,20.0,4007.0,124.7,3.6
h2o_sf1gb_q1,1gb,q1,5896,67.12,20.0,4007.0,135.9,3.5
h2o_sf1gb_q1,1gb,q1,5973,66.95,20.0,4007.0,171.8,3.6
h2o_sf1gb_q1,1gb,q1,6049,66.95,20.0,4007.0,166.9,3.7
h2o_sf1gb_q1,1gb,q1,6125,67.32,20.0,3951.0,153.2,3.6
h2o_sf1gb_q1,1gb,q1,6201,66.79,20.0,3959.0,156.2,3.6
h2o_sf1gb_q1,1gb,q1,6280,66.69,16.0,3987.0,164.7,3.6
h2o_sf1gb_q1,1gb,q1,6361,66.69,16.0,4005.0,128.0,3.6
h2o_sf1gb_q1,1gb,q1,6437,66.37,16.0,4005.0,150.4,3.7
h2o_sf1gb_q1,1gb,q1,6512,66.51,16.0,4005.0,133.3,3.0
h2o_sf1gb_q1,1gb,q1,6588,67.04,16.0,4005.0,125.7,3.5
h2o_sf1gb_q1,1gb,q1,6689,67.43,16.0,4005.0,123.7,3.6
h2o_sf1gb_q1,1gb,q1,6764,67.36,16.0,3951.0,116.6,2.7
h2o_sf1gb_q1,1gb,q1,6840,67.36,16.0,3951.0,122.8,3.7
h2o_sf1gb_q1,1gb,q1,6917,67.42,16.0,3983.0,120.2,3.6
h2o_sf1gb_q1,1gb,q1,6993,67.18,16.0,3999.0,122.6,3.7
h2o_sf1gb_q1,1gb,q1,7069,66.92,16.0,3999.0,119.4,3.6
h2o_sf1gb_q1,1gb,q1,7144,66.92,16.0,3999.0,121.2,2.7
h2o_sf1gb_q1,1gb,q1,7219,67.04,16.0,3999.0,119.9,3.3
h2o_sf1gb_q1,1gb,q1,7296,67.54,16.0,3999.0,120.9,3.6
h2o_sf1gb_q1,1gb,q1,7372,67.53,16.0,3943.0,119.7,3.7
h2o_sf1gb_q1,1gb,q1,7447,67.53,16.0,3947.0,121.1,2.8
h2o_sf1gb_q1,1gb,q1,7526,67.41,16.0,3981.0,119.0,3.3
h2o_sf1gb_q1,1gb,q1,7602,67.28,16.0,3999.0,120.3,3.6
h2o_sf1gb_q1,1gb,q1,7678,67.08,16.0,3999.0,119.7,3.7
h2o_sf1gb_q1,1gb,q1,7786,67.28,16.0,3999.0,122.1,3.0
h2o_sf1gb_q1,1gb,q1,7862,67.28,16.0,3999.0,124.1,3.6
h2o_sf1gb_q1,1gb,q1,7937,67.41,16.0,3999.0,120.8,3.2
h2o_sf1gb_q1,1gb,q1,8012,67.55,16.0,3951.0,119.2,3.0
h2o_sf1gb_q1,1gb,q1,8087,67.46,16.0,3951.0,122.3,3.7
h2o_sf1gb_q1,1gb,q1,8163,67.46,16.0,3981.0,117.8,2.8
h2o_sf1gb_q1,1gb,q1,8239,67.24,16.0,4005.0,120.4,3.4
h2o_sf1gb_q1,1gb,q1,8316,67.23,16.0,4005.0,120.2,3.6
h2o_sf1gb_q1,1gb,q1,8392,67.25,16.0,4005.0,119.1,3.2
h2o_sf1gb_q1,1gb,q1,8467,67.5,16.0,4005.0,118.5,2.8
h2o_sf1gb_q1,1gb,q1,8543,67.5,16.0,4005.0,119.4,3.4
h2o_sf1gb_q1,1gb,q1,8618,67.86,16.0,4025.0,120.4,2.6
h2o_sf1gb_q1,1gb,q1,8693,67.75,16.0,3941.0,120.2,3.6
h2o_sf1gb_q1,1gb,q1,8771,67.69,19.0,3967.0,120.2,3.6
h2o_sf1gb_q1,1gb,q1,8885,66.85,19.0,3989.0,118.9,3.4
h2o_sf1gb_q1,1gb,q1,8960,66.85,19.0,4003.0,120.4,3.6
h2o_sf1gb_q1,1gb,q1,9036,66.7,19.0,4003.0,118.2,2.8
h2o_sf1gb_q1,1gb,q1,9111,66.81,19.0,4003.0,118.8,3.3
h2o_sf1gb_q1,1gb,q1,9186,67.12,19.0,4003.0,118.9,2.6
h2o_sf1gb_q1,1gb,q1,9262,67.12,19.0,4003.0,120.9,3.3
h2o_sf1gb_q1,1gb,q1,9338,67.28,19.0,3951.0,117.4,2.1
h2o_sf1gb_q1,1gb,q1,9413,66.78,19.0,3951.0,120.1,3.5
h2o_sf1gb_q1,1gb,q1,9489,66.81,19.0,3979.0,116.7,2.8
h2o_sf1gb_q1,1gb,q1,9565,66.66,19.0,4001.0,120.8,3.6
h2o_sf1gb_q1,1gb,q1,9641,66.66,19.0,4001.0,119.8,3.6
h2o_sf1gb_q1,1gb,q1,9716,66.68,19.0,4001.0,119.6,3.6
h2o_sf1gb_q1,1gb,q1,9793,66.88,19.0,4001.0,121.9,3.4
h2o_sf1gb_q1,1gb,q1,9868,67.0,19.0,4001.0,118.0,2.8
h2o_sf1gb_q1,1gb,q1,9981,67.21,19.0,3951.0,120.1,3.0
h2o_sf1gb_q1,1gb,q1,10056,67.21,19.0,3951.0,118.8,2.9
h2o_sf1gb_q1,1gb,q1,10131,67.14,19.0,3973.0,119.8,3.6
h2o_sf1gb_q1,1gb,q1,10206,67.09,19.0,4003.0,118.1,2.8
h2o_sf1gb_q1,1gb,q1,10283,66.88,19.0,4003.0,119.1,2.8
h2o_sf1gb_q1,1gb,q1,10359,66.88,19.0,4003.0,118.2,2.9
h2o_sf1gb_q1,1gb,q1,10434,66.81,19.0,4003.0,117.9,3.2
h2o_sf1gb_q1,1gb,q1,10510,67.33,19.0,4003.0,120.3,3.6
h2o_sf1gb_q1,1gb,q1,10586,67.79,19.0,4023.0,119.8,3.6
h2o_sf1gb_q1,1gb,q1,10661,67.79,19.0,3951.0,121.8,3.6
h2o_sf1gb_q1,1gb,q1,10737,67.65,19.0,3961.0,120.8,3.6
h2o_sf1gb_q1,1gb,q1,10814,67.5,19.0,3989.0,118.0,3.6
h2o_sf1gb_q1,1gb,q1,10889,66.54,19.0,3989.0,116.4,3.6
h2o_sf1gb_q1,1gb,q1,10965,66.05,19.0,4001.0,117.9,2.6
h2o_sf1gb_q1,1gb,q1,11076,66.3,19.0,3997.0,121.9,3.0
h2o_sf1gb_q1,1gb,q1,11151,66.3,19.0,3997.0,118.4,2.6
h2o_sf1gb_q1,1gb,q1,11226,66.31,19.0,3997.0,122.8,3.6
h2o_sf1gb_q1,1gb,q1,11302,66.64,19.0,3997.0,119.8,3.2
h2o_sf1gb_q1,1gb,q1,11378,66.38,19.0,3943.0,118.4,2.5
