config,engine,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
baseline,sirius_gpu,47,14.24,0.0,15.0,217.0,101.7,1.8
baseline,sirius_gpu,242,14.24,0.0,15.0,217.0,99.2,1.8
baseline,sirius_gpu,334,14.57,0.0,32.0,217.0,102.7,1.8
baseline,sirius_gpu,408,15.38,0.0,283.0,217.0,107.0,1.9
baseline,sirius_gpu,483,17.17,0.0,283.0,217.0,108.9,1.9
baseline,sirius_gpu,558,22.8,0.0,283.0,217.0,109.3,1.9
baseline,sirius_gpu,632,22.8,0.0,283.0,217.0,108.2,1.8
baseline,sirius_gpu,707,25.05,0.0,283.0,217.0,108.1,1.8
baseline,sirius_gpu,780,26.94,0.0,283.0,217.0,107.9,1.9
baseline,sirius_gpu,854,28.57,0.0,283.0,217.0,109.2,1.9
baseline,sirius_gpu,928,28.57,0.0,283.0,217.0,109.5,1.9
baseline,sirius_gpu,1002,29.98,0.0,283.0,217.0,108.7,1.8
baseline,sirius_gpu,1076,31.21,0.0,283.0,217.0,108.4,1.8
baseline,sirius_gpu,1149,31.21,0.0,283.0,217.0,107.6,1.8
baseline,sirius_gpu,1225,32.3,0.0,283.0,217.0,107.7,1.8
baseline,sirius_gpu,1299,46.96,0.0,283.0,217.0,110.9,1.9
baseline,sirius_gpu,1373,48.04,0.0,283.0,217.0,109.9,1.8
baseline,sirius_gpu,1447,48.04,0.0,283.0,217.0,109.6,1.9
baseline,sirius_gpu,1521,49.69,0.0,283.0,217.0,108.9,1.9
baseline,sirius_gpu,1595,49.68,0.0,283.0,217.0,107.3,1.8
baseline,sirius_gpu,1672,49.65,0.0,283.0,217.0,106.3,1.8
baseline,sirius_gpu,1747,49.65,0.0,283.0,217.0,106.7,1.9
baseline,sirius_gpu,1820,49.65,0.0,283.0,217.0,106.9,1.8
baseline,sirius_gpu,1895,49.64,0.0,283.0,217.0,110.0,1.9
baseline,sirius_gpu,1968,49.65,0.0,283.0,217.0,104.9,1.8
baseline,sirius_gpu,2041,49.65,0.0,283.0,217.0,106.8,1.9
baseline,sirius_gpu,2115,49.66,0.0,283.0,217.0,107.7,1.9
baseline,sirius_gpu,2189,49.65,0.0,283.0,217.0,108.3,1.8
baseline,sirius_gpu,2263,49.62,0.0,283.0,217.0,110.3,1.8
baseline,sirius_gpu,2337,49.62,0.0,283.0,217.0,109.5,1.9
baseline,sirius_gpu,2410,49.64,0.0,283.0,217.0,106.1,1.8
baseline,sirius_gpu,2485,49.63,0.0,283.0,217.0,111.8,1.9
baseline,sirius_gpu,2559,49.63,0.0,283.0,217.0,110.8,1.8
baseline,sirius_gpu,2632,49.63,0.0,283.0,217.0,107.7,1.8
baseline,sirius_gpu,2793,49.64,0.0,303.0,217.0,113.2,2.3
baseline,sirius_gpu,2868,49.81,0.0,15669.0,2722.0,109.8,1.8
baseline,sirius_gpu,2943,49.81,0.0,15669.0,2722.0,108.5,1.8
baseline,sirius_gpu,3018,49.79,0.0,15669.0,2722.0,112.5,2.1
baseline,sirius_gpu,3092,49.78,0.0,15669.0,2722.0,108.7,1.8
baseline,sirius_gpu,3169,49.79,0.0,15669.0,2722.0,108.1,1.8
baseline,sirius_gpu,3243,49.79,0.0,15669.0,2722.0,111.1,1.9
baseline,sirius_gpu,3317,49.79,0.0,15669.0,2722.0,109.4,1.8
baseline,sirius_gpu,3390,49.79,0.0,15669.0,2722.0,108.9,1.8
baseline,sirius_gpu,3485,49.79,0.0,15669.0,2722.0,184.6,2.9
baseline,sirius_gpu,3567,50.49,0.0,15669.0,2722.0,121.8,3.2
baseline,sirius_gpu,3642,50.49,0.0,15691.0,2722.0,107.2,1.9
baseline,sirius_gpu,3722,57.13,0.0,15701.0,2722.0,109.7,1.8
baseline,sirius_gpu,3801,68.42,0.0,15709.0,2722.0,107.5,1.8
baseline,sirius_gpu,3880,82.81,77.0,15719.0,2722.0,107.3,1.8
baseline,sirius_gpu,3959,97.49,77.0,15727.0,2722.0,113.3,1.8
baseline,sirius_gpu,4038,97.49,77.0,15735.0,2722.0,108.7,1.8
baseline,sirius_gpu,4117,111.99,77.0,15745.0,2722.0,113.6,1.8
baseline,sirius_gpu,4196,126.42,77.0,15753.0,2722.0,115.7,1.8
baseline,sirius_gpu,4275,140.15,77.0,15761.0,2722.0,114.4,1.8
baseline,sirius_gpu,4355,140.15,86.0,15771.0,2722.0,114.1,1.8
baseline,sirius_gpu,4434,154.16,86.0,15779.0,2722.0,113.6,1.8
baseline,sirius_gpu,4515,168.28,86.0,15789.0,2722.0,112.8,1.8
baseline,sirius_gpu,4595,181.46,86.0,15797.0,2722.0,116.2,1.8
baseline,sirius_gpu,4678,188.98,86.0,15805.0,2722.0,119.3,1.9
baseline,sirius_gpu,4758,191.52,86.0,15815.0,2722.0,121.2,2.0
baseline,sirius_gpu,4838,191.52,86.0,15823.0,2722.0,119.6,2.0
baseline,sirius_gpu,5040,191.39,87.0,5565.0,2722.0,112.7,2.1
baseline,sirius_gpu,5115,168.49,87.0,5565.0,2722.0,116.6,2.6
baseline,sirius_gpu,5191,155.49,87.0,5565.0,2722.0,117.5,2.7
baseline,sirius_gpu,5267,138.1,87.0,5565.0,2722.0,116.7,2.4
baseline,sirius_gpu,5342,138.1,87.0,5565.0,2722.0,116.1,2.4
baseline,sirius_gpu,5417,130.31,0.0,5565.0,2910.0,115.5,2.3
baseline,sirius_gpu,5492,117.75,0.0,5565.0,2910.0,114.4,2.1
baseline,sirius_gpu,5566,105.11,0.0,5565.0,2910.0,106.0,1.8
baseline,sirius_gpu,5639,105.11,0.0,5565.0,2910.0,107.3,1.8
baseline,sirius_gpu,5714,92.73,0.0,5565.0,2910.0,109.7,1.8
baseline,sirius_gpu,5862,80.64,0.0,441.0,2910.0,104.5,1.9
baseline,maximus_gpu,26,56.47,9.0,15.0,2910.0,112.0,1.9
baseline,maximus_gpu,201,56.38,9.0,18.0,2910.0,101.2,1.8
baseline,maximus_gpu,282,53.3,9.0,283.0,2910.0,107.4,1.9
baseline,maximus_gpu,359,53.65,9.0,3395.0,2910.0,106.9,1.8
baseline,maximus_gpu,435,53.67,9.0,3395.0,2910.0,110.8,2.0
baseline,maximus_gpu,511,53.79,0.0,3395.0,2910.0,107.1,1.8
baseline,maximus_gpu,587,53.79,0.0,3395.0,2910.0,110.0,1.9
baseline,maximus_gpu,662,53.6,0.0,3395.0,2910.0,108.3,1.8
baseline,maximus_gpu,737,53.83,0.0,3395.0,2910.0,105.8,1.8
baseline,maximus_gpu,813,53.63,0.0,3395.0,2910.0,108.5,1.8
baseline,maximus_gpu,888,53.63,0.0,3395.0,2910.0,107.6,1.8
baseline,maximus_gpu,963,53.14,0.0,3395.0,2910.0,114.6,2.0
baseline,maximus_gpu,1039,52.85,0.0,3395.0,2910.0,109.3,1.8
baseline,maximus_gpu,1114,52.02,0.0,3395.0,2910.0,104.4,1.8
baseline,maximus_gpu,1189,51.76,0.0,3395.0,2910.0,105.9,1.8
baseline,maximus_gpu,1265,51.76,0.0,3437.0,2910.0,107.8,2.1
baseline,maximus_gpu,1341,51.08,0.0,3437.0,2910.0,102.7,1.8
baseline,maximus_gpu,1417,50.89,0.0,3437.0,2910.0,109.6,1.9
