config,engine,cpu_perf_pct,gpu_clk_mhz,n_reps,status,min_s,avg_s,elapsed_s,avg_gpu_w,max_gpu_w,avg_util,avg_clk,avg_cpu_w,avg_dram_w,gpu_energy_j,cpu_energy_j,max_mem_mb
baseline,sirius_gpu,100,auto,30,OK,0.0390,0.0401,5.7,151.7,193.9,74,225,109.6,1.8,5.91,4.28,15823
baseline,maximus_gpu,100,auto,30,OK,0.1410,0.1442,48.0,53.5,58.2,5,225,109.0,2.8,7.55,15.37,6557
baseline,maximus_cpu,100,auto,10,OK,0.0730,0.0763,24.2,50.5,50.7,2,225,107.2,1.8,3.68,7.82,3395
cpu_low,sirius_gpu,18,auto,30,OK,0.0460,0.0474,17.0,79.2,173.9,22,2826,53.9,1.8,3.64,2.48,15823
cpu_low,maximus_gpu,18,auto,30,OK,0.2420,0.2502,143.5,45.2,54.6,1,2305,60.0,1.9,10.93,14.51,6557
cpu_low,maximus_cpu,18,auto,10,OK,0.2840,0.3020,80.8,25.4,50.8,0,949,55.2,1.9,7.21,15.67,3437
gpu_low,sirius_gpu,100,180,30,OK,0.7250,0.7268,27.9,32.7,33.3,100,180,107.2,1.8,23.72,77.69,15823
gpu_low,maximus_gpu,100,180,30,OK,0.6700,0.6715,75.7,19.1,27.4,26,180,107.7,2.3,12.76,72.19,6557
gpu_low,maximus_cpu,100,180,10,OK,0.0720,0.0778,24.8,16.2,16.6,4,180,104.3,1.8,1.16,7.51,3437
both_low,sirius_gpu,18,180,30,OK,0.7300,0.7328,38.7,31.7,33.1,98,180,51.4,1.8,23.12,37.52,15823
both_low,maximus_gpu,18,180,30,OK,0.7010,0.7092,211.7,16.7,27.5,5,180,55.5,1.9,11.72,38.88,6557
both_low,maximus_cpu,18,180,10,OK,0.2880,0.3068,81.4,15.1,18.1,0,180,55.5,1.9,4.34,15.99,3437
