config,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
baseline,27,82.33,0.0,15.0,2910.0,108.2,1.8
baseline,140,69.46,1.0,16.0,2910.0,102.2,1.8
baseline,243,56.43,1.0,18.0,2910.0,101.8,1.8
baseline,321,54.0,1.0,283.0,2910.0,106.3,1.9
baseline,397,54.0,1.0,283.0,2910.0,107.2,1.9
baseline,472,53.92,1.0,283.0,2910.0,106.5,1.8
baseline,547,53.9,1.0,283.0,2910.0,108.6,1.9
baseline,623,53.86,0.0,283.0,2910.0,107.7,1.8
baseline,698,53.86,0.0,283.0,2910.0,109.9,1.9
baseline,775,53.88,0.0,283.0,2910.0,108.7,1.8
baseline,850,54.08,0.0,283.0,2910.0,107.1,1.9
baseline,925,53.31,0.0,283.0,2910.0,110.3,1.9
baseline,1000,53.31,0.0,283.0,2910.0,107.8,1.8
baseline,1075,53.05,0.0,283.0,2910.0,105.6,1.8
baseline,1151,52.58,0.0,283.0,2910.0,107.7,1.9
baseline,1227,52.33,0.0,283.0,2910.0,108.1,1.9
baseline,1303,52.33,0.0,283.0,2910.0,106.7,1.8
baseline,1378,52.01,0.0,283.0,2910.0,106.5,1.9
baseline,1453,51.43,0.0,283.0,2910.0,106.7,1.8
baseline,1529,51.14,0.0,283.0,2910.0,109.3,1.9
baseline,1604,51.14,0.0,283.0,2910.0,107.2,1.8
baseline,1683,50.97,0.0,283.0,2910.0,106.6,1.8
baseline,1757,50.61,0.0,283.0,2910.0,107.3,1.9
baseline,1831,50.56,0.0,283.0,2910.0,104.8,1.8
baseline,1905,50.56,0.0,283.0,2910.0,109.4,1.9
baseline,1979,50.38,0.0,283.0,2910.0,106.2,1.8
baseline,2053,50.18,0.0,283.0,2910.0,112.2,2.1
baseline,2128,49.92,0.0,283.0,2910.0,107.3,1.8
baseline,2202,49.92,0.0,283.0,2910.0,106.0,1.9
baseline,2276,49.94,0.0,283.0,2910.0,110.3,1.8
baseline,2350,49.93,0.0,283.0,2910.0,107.9,1.8
baseline,2423,49.92,0.0,283.0,2910.0,107.0,1.8
baseline,2497,49.92,0.0,283.0,2910.0,106.8,1.8
baseline,2677,49.9,0.0,303.0,2910.0,109.3,2.2
baseline,2752,50.0,0.0,15669.0,2910.0,109.0,1.8
baseline,2826,50.1,0.0,15669.0,2910.0,106.9,1.8
baseline,2899,50.1,0.0,15669.0,2910.0,104.5,1.8
baseline,2973,50.1,0.0,15669.0,2910.0,108.3,1.8
baseline,3046,50.09,0.0,15669.0,2910.0,106.1,1.8
baseline,3120,50.09,0.0,15669.0,2910.0,107.5,1.8
baseline,3194,50.09,0.0,15669.0,2910.0,104.2,1.8
baseline,3268,50.12,0.0,15669.0,2910.0,108.3,1.9
baseline,3354,50.13,0.0,15669.0,2910.0,197.1,3.1
baseline,3437,50.56,0.0,15669.0,2910.0,118.1,3.0
baseline,3512,57.01,0.0,15691.0,2910.0,106.8,1.9
baseline,3592,57.01,50.0,15705.0,2910.0,110.8,1.8
baseline,3671,67.67,50.0,15713.0,2910.0,109.1,1.8
baseline,3752,82.06,50.0,15723.0,2910.0,109.8,1.8
baseline,3832,96.59,50.0,15731.0,2910.0,110.1,1.8
