run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,gpu,100,0,0.1,5.04,61,23,165.1,177.4,15691,96.3,97,0.0,107.9,1.8,0.0,OK
clickbench_sf5_q1,clickbench,5,q1,gpu,100,0,0.2,5.07,62,61,103.5,181.4,15693,38.5,96,0.0,107.5,1.8,0.0,OK
clickbench_sf5_q2,clickbench,5,q2,gpu,1429,7,7.1,39.79,494,455,145.6,157.7,15693,97.3,98,1.0,107.4,1.8,0.8,OK
clickbench_sf5_q3,clickbench,5,q3,gpu,1667,6,6.2,44.45,542,502,149.3,156.9,15693,97.3,98,0.9,107.2,1.8,0.6,OK
clickbench_sf5_q4,clickbench,5,q4,gpu,10000,1,1.1,197.89,2351,2307,183.4,185.6,15693,96.6,97,0.2,107.9,1.8,0.1,OK
clickbench_sf5_q5,clickbench,5,q5,gpu,10000,0,1.0,194.39,2298,2294,183.3,187.3,15693,95.2,97,0.0,107.9,1.8,0.0,OK
clickbench_sf5_q6,clickbench,5,q6,gpu,1250,8,8.0,36.37,456,410,146.9,162.7,15693,97.9,98,1.2,108.0,1.8,0.9,OK
clickbench_sf5_q7,clickbench,5,q7,gpu,100,0,0.4,5.11,62,23,169.0,182.3,15695,97.0,97,0.0,108.2,1.8,0.0,OK
clickbench_sf5_q8,clickbench,5,q8,gpu,271,36,37.1,18.21,234,233,171.4,194.7,15691,88.7,99,6.2,108.1,1.8,3.9,OK
clickbench_sf5_q9,clickbench,5,q9,gpu,271,37,37.3,18.35,235,194,192.3,194.9,15693,99.0,99,7.1,108.4,1.8,4.0,OK
clickbench_sf5_q10,clickbench,5,q10,gpu,2500,4,4.0,60.08,731,726,161.5,172.1,15691,91.4,99,0.6,108.2,1.8,0.4,OK
clickbench_sf5_q11,clickbench,5,q11,gpu,1667,6,6.0,44.03,531,485,163.1,168.6,15691,96.5,97,1.0,108.5,1.8,0.7,OK
clickbench_sf5_q12,clickbench,5,q12,gpu,556,17,18.1,24.15,316,315,119.3,142.3,15697,46.7,87,2.0,108.2,1.8,1.8,OK
clickbench_sf5_q13,clickbench,5,q13,gpu,223,45,45.3,17.69,230,192,132.8,146.3,15693,75.1,87,6.0,108.2,1.8,4.9,OK
clickbench_sf5_q14,clickbench,5,q14,gpu,527,18,18.6,23.50,302,299,117.1,141.6,15697,52.1,62,2.1,108.0,1.8,1.9,OK
clickbench_sf5_q15,clickbench,5,q15,gpu,5000,2,2.0,105.85,1272,1235,179.8,182.6,15697,96.9,97,0.4,108.7,1.8,0.2,OK
clickbench_sf5_q16,clickbench,5,q16,gpu,477,21,21.2,22.31,279,239,123.6,138.9,15697,55.1,63,2.6,108.2,1.8,2.3,OK
clickbench_sf5_q17,clickbench,5,q17,gpu,477,20,21.2,22.33,278,263,114.4,138.7,15697,49.1,61,2.3,108.1,1.8,2.2,OK
clickbench_sf5_q19,clickbench,5,q19,gpu,100,0,0.0,5.12,60,23,168.5,186.7,15691,97.5,98,0.0,109.3,1.8,0.0,OK
clickbench_sf5_q20,clickbench,5,q20,gpu,218,46,46.1,17.29,225,222,212.6,247.7,15693,84.2,99,9.8,107.9,1.8,5.0,OK
clickbench_sf5_q21,clickbench,5,q21,gpu,218,46,46.6,17.42,226,192,239.3,248.4,15695,97.2,99,11.0,108.3,1.8,5.0,OK
clickbench_sf5_q22,clickbench,5,q22,gpu,228,44,44.3,17.56,227,225,203.2,235.3,15693,83.2,98,8.9,107.8,1.8,4.7,OK
clickbench_sf5_q23,clickbench,5,q23,gpu,218,46,46.1,17.29,225,183,246.9,250.7,15691,99.0,99,11.4,108.3,1.8,5.0,OK
clickbench_sf5_q24,clickbench,5,q24,gpu,435,23,24.1,22.42,283,243,115.0,134.3,15691,46.6,54,2.6,107.9,1.8,2.5,OK
clickbench_sf5_q25,clickbench,5,q25,gpu,223,45,45.7,17.82,231,191,122.2,141.0,15691,63.9,75,5.5,108.1,1.8,4.9,OK
clickbench_sf5_q26,clickbench,5,q26,gpu,304,32,33.1,19.25,247,206,117.3,137.8,15691,57.2,59,3.8,108.1,1.8,3.5,OK
clickbench_sf5_q29,clickbench,5,q29,gpu,3334,3,3.0,81.06,991,956,154.4,165.3,15693,80.5,82,0.5,108.2,1.8,0.3,OK
clickbench_sf5_q30,clickbench,5,q30,gpu,1667,6,6.0,45.00,544,503,173.8,175.4,15699,95.4,96,1.0,108.5,1.8,0.7,OK
clickbench_sf5_q31,clickbench,5,q31,gpu,1000,10,10.1,32.41,402,398,163.2,175.8,15699,89.5,96,1.6,108.5,1.8,1.1,OK
clickbench_sf5_q32,clickbench,5,q32,gpu,100,85,87.0,13.83,177,141,144.9,152.4,15697,66.9,72,12.3,107.7,1.8,9.2,OK
clickbench_sf5_q33,clickbench,5,q33,gpu,113,89,90.9,15.55,204,204,81.9,115.2,15697,21.8,68,7.3,107.7,1.8,9.6,OK
clickbench_sf5_q34,clickbench,5,q34,gpu,113,89,90.6,15.55,204,171,85.6,113.1,15697,31.8,81,7.6,107.4,1.8,9.6,OK
clickbench_sf5_q35,clickbench,5,q35,gpu,5000,2,2.0,103.37,1230,1190,182.0,184.4,15697,97.0,97,0.4,108.1,1.8,0.2,OK
clickbench_sf5_q36,clickbench,5,q36,gpu,10000,1,1.0,195.10,2301,2260,184.3,186.3,15691,97.0,97,0.2,107.9,1.8,0.1,OK
clickbench_sf5_q37,clickbench,5,q37,gpu,10000,1,1.0,195.12,2298,2258,184.8,186.5,15691,97.0,97,0.2,-1256.8,1.8,-1.3,OK
clickbench_sf5_q38,clickbench,5,q38,gpu,100,0,0.0,5.15,60,23,173.4,189.0,15691,97.0,97,0.0,107.3,1.8,0.0,OK
clickbench_sf5_q39,clickbench,5,q39,gpu,100,0,0.0,5.04,61,60,107.8,193.3,15691,37.6,97,0.0,107.7,1.8,0.0,OK
clickbench_sf5_q40,clickbench,5,q40,gpu,100,0,0.0,5.07,62,24,172.7,190.8,15691,97.0,97,0.0,108.2,1.8,0.0,OK
clickbench_sf5_q41,clickbench,5,q41,gpu,100,0,0.0,5.05,61,24,169.0,187.0,15691,96.2,97,0.0,107.1,1.8,0.0,OK
