run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf2gb_q1,2gb,q1,24,67.73,0.0,15.0,116.6,1.9
h2o_sf2gb_q1,2gb,q1,126,70.03,0.0,18.0,107.9,1.8
h2o_sf2gb_q1,2gb,q1,201,70.47,0.0,3395.0,105.4,1.8
h2o_sf2gb_q1,2gb,q1,274,70.47,0.0,3395.0,108.8,1.9
h2o_sf2gb_q1,2gb,q1,347,69.42,0.0,3395.0,109.0,1.8
h2o_sf2gb_q1,2gb,q1,421,68.1,0.0,3395.0,107.0,1.8
h2o_sf2gb_q1,2gb,q1,494,61.17,0.0,3395.0,110.6,1.9
h2o_sf2gb_q1,2gb,q1,567,61.17,0.0,3395.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,640,55.93,0.0,3395.0,108.2,1.8
h2o_sf2gb_q1,2gb,q1,714,55.84,0.0,3395.0,108.1,1.8
h2o_sf2gb_q1,2gb,q1,787,55.84,0.0,3395.0,106.6,1.8
h2o_sf2gb_q1,2gb,q1,860,55.63,0.0,3395.0,107.2,1.8
h2o_sf2gb_q1,2gb,q1,933,55.56,0.0,3395.0,109.7,1.8
h2o_sf2gb_q1,2gb,q1,1006,55.83,0.0,3395.0,108.7,1.8
h2o_sf2gb_q1,2gb,q1,1078,55.83,0.0,3395.0,108.4,1.8
h2o_sf2gb_q1,2gb,q1,1155,55.46,0.0,3403.0,108.1,2.1
h2o_sf2gb_q1,2gb,q1,1230,55.09,0.0,3465.0,107.1,1.8
h2o_sf2gb_q1,2gb,q1,1305,55.82,0.0,3437.0,105.9,1.9
h2o_sf2gb_q1,2gb,q1,1377,55.82,0.0,3437.0,110.5,1.8
h2o_sf2gb_q1,2gb,q1,1451,55.63,0.0,3437.0,110.5,1.8
h2o_sf2gb_q1,2gb,q1,1524,55.36,0.0,3437.0,109.7,1.8
h2o_sf2gb_q1,2gb,q1,1611,55.03,0.0,3437.0,109.1,1.8
h2o_sf2gb_q1,2gb,q1,1702,54.75,0.0,3437.0,103.7,1.8
h2o_sf2gb_q1,2gb,q1,1777,54.75,0.0,3437.0,109.6,1.9
h2o_sf2gb_q1,2gb,q1,1853,54.49,0.0,3441.0,103.0,1.9
h2o_sf2gb_q1,2gb,q1,1928,54.89,0.0,3441.0,104.4,2.0
h2o_sf2gb_q1,2gb,q1,2008,57.76,11.0,6553.0,106.0,1.9
h2o_sf2gb_q1,2gb,q1,2086,57.76,11.0,6559.0,110.4,1.9
h2o_sf2gb_q1,2gb,q1,2167,68.09,11.0,6559.0,110.7,1.8
h2o_sf2gb_q1,2gb,q1,2248,79.77,11.0,6559.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,2329,95.52,11.0,6559.0,111.1,1.8
h2o_sf2gb_q1,2gb,q1,2409,110.02,11.0,6559.0,107.4,1.8
h2o_sf2gb_q1,2gb,q1,2489,110.02,11.0,6559.0,110.9,1.8
h2o_sf2gb_q1,2gb,q1,2568,124.52,11.0,6559.0,106.9,1.8
h2o_sf2gb_q1,2gb,q1,2645,139.1,11.0,6559.0,107.2,1.8
h2o_sf2gb_q1,2gb,q1,2721,153.7,11.0,6559.0,108.0,1.8
h2o_sf2gb_q1,2gb,q1,2799,157.73,11.0,6559.0,106.9,1.8
h2o_sf2gb_q1,2gb,q1,2881,157.73,11.0,6559.0,106.9,1.8
h2o_sf2gb_q1,2gb,q1,2964,171.02,11.0,6559.0,108.0,1.8
h2o_sf2gb_q1,2gb,q1,3042,193.33,98.0,6559.0,108.7,1.8
h2o_sf2gb_q1,2gb,q1,3123,193.8,98.0,6559.0,108.6,1.8
h2o_sf2gb_q1,2gb,q1,3202,197.87,98.0,6559.0,107.6,1.8
h2o_sf2gb_q1,2gb,q1,3283,197.87,98.0,6559.0,108.0,1.8
h2o_sf2gb_q1,2gb,q1,3368,198.05,98.0,6559.0,110.8,1.8
h2o_sf2gb_q1,2gb,q1,3447,198.07,98.0,6559.0,108.8,1.8
h2o_sf2gb_q1,2gb,q1,3527,198.17,98.0,6559.0,108.7,1.8
h2o_sf2gb_q1,2gb,q1,3607,198.32,98.0,6559.0,109.8,1.8
h2o_sf2gb_q1,2gb,q1,3688,198.32,98.0,6559.0,107.9,1.8
h2o_sf2gb_q1,2gb,q1,3770,198.41,98.0,6559.0,108.3,1.8
h2o_sf2gb_q1,2gb,q1,3854,198.54,98.0,6559.0,107.5,1.8
h2o_sf2gb_q1,2gb,q1,3935,198.6,98.0,6559.0,109.6,1.8
h2o_sf2gb_q1,2gb,q1,4014,198.61,98.0,6559.0,110.6,1.7
h2o_sf2gb_q1,2gb,q1,4094,198.61,98.0,6559.0,107.9,1.8
h2o_sf2gb_q1,2gb,q1,4172,198.72,98.0,6559.0,111.3,1.8
h2o_sf2gb_q1,2gb,q1,4249,198.71,98.0,6559.0,111.5,1.8
h2o_sf2gb_q1,2gb,q1,4326,198.78,98.0,6559.0,111.1,1.8
h2o_sf2gb_q1,2gb,q1,4405,198.81,98.0,6559.0,106.5,1.8
h2o_sf2gb_q1,2gb,q1,4485,198.81,98.0,6559.0,110.9,1.8
h2o_sf2gb_q1,2gb,q1,4561,198.88,98.0,6559.0,110.3,1.8
h2o_sf2gb_q1,2gb,q1,4643,198.91,98.0,6559.0,108.9,1.8
h2o_sf2gb_q1,2gb,q1,4722,198.88,98.0,6559.0,108.9,1.8
h2o_sf2gb_q1,2gb,q1,4798,198.9,98.0,6559.0,108.4,1.8
h2o_sf2gb_q1,2gb,q1,4874,198.9,98.0,6559.0,106.7,1.8
h2o_sf2gb_q1,2gb,q1,4955,198.88,98.0,6559.0,108.6,1.8
h2o_sf2gb_q1,2gb,q1,5034,198.9,98.0,6559.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,5114,198.9,98.0,6559.0,106.6,1.8
h2o_sf2gb_q1,2gb,q1,5194,198.9,98.0,6559.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,5276,198.96,98.0,6559.0,109.2,1.8
h2o_sf2gb_q1,2gb,q1,5355,199.03,98.0,6559.0,109.6,1.8
h2o_sf2gb_q1,2gb,q1,5433,199.02,98.0,6559.0,108.3,1.8
h2o_sf2gb_q1,2gb,q1,5511,199.04,98.0,6559.0,109.7,1.8
h2o_sf2gb_q1,2gb,q1,5596,199.04,98.0,6559.0,107.4,1.7
h2o_sf2gb_q1,2gb,q1,5676,199.09,98.0,6559.0,108.6,1.8
h2o_sf2gb_q1,2gb,q1,5752,199.15,98.0,6559.0,110.2,1.8
h2o_sf2gb_q1,2gb,q1,5831,199.12,98.0,6559.0,107.5,1.7
h2o_sf2gb_q1,2gb,q1,5911,199.13,98.0,6559.0,110.3,1.8
h2o_sf2gb_q1,2gb,q1,5991,199.13,98.0,6559.0,107.1,1.8
h2o_sf2gb_q1,2gb,q1,6072,199.15,98.0,6559.0,107.8,1.8
h2o_sf2gb_q1,2gb,q1,6150,199.18,98.0,6559.0,108.7,1.8
h2o_sf2gb_q1,2gb,q1,6225,199.2,98.0,6559.0,109.0,1.8
h2o_sf2gb_q1,2gb,q1,6309,199.19,98.0,6559.0,111.5,1.8
h2o_sf2gb_q1,2gb,q1,6386,199.19,98.0,6559.0,107.4,1.8
h2o_sf2gb_q1,2gb,q1,6462,199.18,98.0,6559.0,107.1,1.8
h2o_sf2gb_q1,2gb,q1,6544,199.14,98.0,6559.0,106.3,1.8
h2o_sf2gb_q1,2gb,q1,6627,199.08,98.0,6559.0,106.5,1.8
h2o_sf2gb_q1,2gb,q1,6707,199.04,98.0,6559.0,107.1,1.8
h2o_sf2gb_q1,2gb,q1,6788,199.04,98.0,6559.0,105.5,1.8
h2o_sf2gb_q1,2gb,q1,6868,199.04,98.0,6559.0,106.1,1.8
h2o_sf2gb_q1,2gb,q1,6948,199.04,98.0,6559.0,107.7,1.8
h2o_sf2gb_q1,2gb,q1,7026,199.04,98.0,6559.0,107.5,1.8
h2o_sf2gb_q1,2gb,q1,7109,198.99,98.0,6559.0,105.5,1.8
h2o_sf2gb_q1,2gb,q1,7188,198.99,98.0,6559.0,105.8,1.8
h2o_sf2gb_q1,2gb,q1,7270,198.96,98.0,6559.0,106.8,1.8
h2o_sf2gb_q1,2gb,q1,7354,198.9,98.0,6559.0,106.8,1.8
h2o_sf2gb_q1,2gb,q1,7433,198.98,98.0,6559.0,106.8,1.8
h2o_sf2gb_q1,2gb,q1,7510,198.93,98.0,6559.0,106.7,1.8
h2o_sf2gb_q1,2gb,q1,7588,198.93,98.0,6559.0,107.4,1.8
h2o_sf2gb_q1,2gb,q1,7668,198.94,98.0,6559.0,105.4,1.8
h2o_sf2gb_q1,2gb,q1,7746,198.98,98.0,6559.0,105.6,1.8
h2o_sf2gb_q1,2gb,q1,7822,198.91,98.0,6559.0,106.0,1.8
h2o_sf2gb_q1,2gb,q1,7904,198.88,98.0,6559.0,105.3,1.8
h2o_sf2gb_q1,2gb,q1,7983,198.88,98.0,6559.0,105.5,1.8
h2o_sf2gb_q1,2gb,q1,8065,198.81,98.0,6559.0,106.9,1.8
h2o_sf2gb_q1,2gb,q1,8149,198.79,98.0,6559.0,106.9,1.8
h2o_sf2gb_q1,2gb,q1,8227,198.82,98.0,6559.0,105.5,1.8
h2o_sf2gb_q1,2gb,q1,8310,198.75,98.0,6559.0,109.1,1.8
h2o_sf2gb_q1,2gb,q1,8389,198.75,98.0,6559.0,111.9,1.8
h2o_sf2gb_q1,2gb,q1,8466,198.65,98.0,6559.0,107.1,1.8
h2o_sf2gb_q1,2gb,q1,8547,198.63,98.0,6559.0,107.6,1.8
h2o_sf2gb_q1,2gb,q1,8625,198.68,98.0,6559.0,105.5,1.8
h2o_sf2gb_q1,2gb,q1,8702,198.73,98.0,6559.0,104.5,1.8
h2o_sf2gb_q1,2gb,q1,8783,198.73,98.0,6559.0,105.1,1.8
h2o_sf2gb_q1,2gb,q1,8862,198.7,98.0,6559.0,107.0,1.8
h2o_sf2gb_q1,2gb,q1,8944,198.73,98.0,6559.0,105.5,1.8
h2o_sf2gb_q1,2gb,q1,9022,198.78,98.0,6559.0,107.6,1.8
h2o_sf2gb_q1,2gb,q1,9105,198.76,98.0,6559.0,106.1,1.8
h2o_sf2gb_q1,2gb,q1,9187,198.76,98.0,6559.0,105.9,1.8
h2o_sf2gb_q1,2gb,q1,9271,198.82,98.0,6559.0,106.2,1.8
h2o_sf2gb_q1,2gb,q1,9355,198.9,98.0,6559.0,109.4,1.8
