run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q1,tpch,1,q1,gpu,2500,4,4.0,24.18,308,271,194.9,197.7,6565,92.8,93,0.8,106.8,1.8,0.4,OK
tpch_sf1_q2,tpch,1,q2,gpu,5000,2,2.1,24.78,326,287,90.3,92.8,3451,54.2,55,0.2,107.1,1.8,0.2,OK
tpch_sf1_q3,tpch,1,q3,gpu,5000,2,2.0,42.24,527,492,164.7,166.7,6565,91.1,92,0.3,107.4,1.8,0.2,OK
tpch_sf1_q4,tpch,1,q4,gpu,10000,1,1.0,68.97,859,827,180.4,182.3,6563,92.0,92,0.2,107.6,1.8,0.1,OK
tpch_sf1_q5,tpch,1,q5,gpu,5000,2,2.0,43.18,532,497,179.9,182.0,6563,87.3,88,0.4,107.9,1.8,0.2,OK
tpch_sf1_q6,tpch,1,q6,gpu,100,0,0.3,3.18,37,12,95.9,130.9,6561,10.0,10,0.0,108.1,1.9,0.0,OK
tpch_sf1_q7,tpch,1,q7,gpu,5000,2,2.0,44.09,562,526,160.4,162.0,6563,81.9,83,0.3,107.6,1.8,0.2,OK
tpch_sf1_q8,tpch,1,q8,gpu,5000,2,2.0,43.73,547,544,159.8,167.9,6563,78.7,84,0.3,107.8,1.8,0.2,OK
tpch_sf1_q9,tpch,1,q9,gpu,3334,3,3.0,35.86,449,418,184.1,186.6,6565,90.0,90,0.6,107.9,1.8,0.3,OK
tpch_sf1_q10,tpch,1,q10,gpu,5000,2,2.0,40.94,522,482,162.9,164.5,6565,83.8,84,0.3,107.8,1.8,0.2,OK
tpch_sf1_q11,tpch,1,q11,gpu,5000,2,2.1,20.78,271,220,169.5,170.9,3453,67.4,68,0.3,108.1,1.8,0.2,OK
tpch_sf1_q12,tpch,1,q12,gpu,5000,1,2.0,39.76,494,464,168.2,170.7,6563,83.9,85,0.2,108.1,1.8,0.1,OK
tpch_sf1_q13,tpch,1,q13,gpu,715,14,14.1,13.82,180,146,251.4,255.6,3453,95.1,96,3.5,108.2,1.8,1.5,OK
tpch_sf1_q14,tpch,1,q14,gpu,10000,1,1.1,65.32,824,792,160.0,162.3,6561,81.8,83,0.2,107.8,1.8,0.1,OK
tpch_sf1_q15,tpch,1,q15,gpu,10000,1,1.1,62.41,796,764,161.9,164.0,6567,81.9,83,0.2,107.6,1.8,0.1,OK
tpch_sf1_q16,tpch,1,q16,gpu,556,18,18.1,13.69,179,119,104.4,105.0,3449,93.0,93,1.9,108.3,1.8,2.0,OK
tpch_sf1_q17,tpch,1,q17,gpu,3334,3,3.0,28.65,366,328,149.4,150.9,6565,75.9,76,0.4,108.1,1.8,0.3,OK
tpch_sf1_q18,tpch,1,q18,gpu,3334,3,3.0,32.88,402,358,174.5,175.6,6565,91.0,91,0.5,108.2,1.8,0.3,OK
tpch_sf1_q19,tpch,1,q19,gpu,625,16,16.9,16.67,215,186,225.8,232.4,6561,91.0,92,3.6,108.1,1.8,1.7,OK
tpch_sf1_q20,tpch,1,q20,gpu,3334,3,3.0,32.44,403,403,143.7,152.5,6563,76.7,90,0.4,107.9,1.8,0.3,OK
tpch_sf1_q21,tpch,1,q21,gpu,173,58,58.6,13.88,177,143,219.8,224.1,12791,96.3,97,12.7,108.0,1.8,6.3,OK
tpch_sf1_q22,tpch,1,q22,gpu,5000,2,2.0,24.87,327,325,97.8,133.4,3465,41.8,96,0.2,108.1,1.8,0.2,OK
