run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf2_q1,2,q1,25,75.02,3.0,15.0,105.4,1.8
tpch_sf2_q1,2,q1,128,74.34,0.0,18.0,104.3,1.8
tpch_sf2_q1,2,q1,202,74.1,0.0,3395.0,105.8,1.8
tpch_sf2_q1,2,q1,276,72.46,0.0,3395.0,110.5,1.9
tpch_sf2_q1,2,q1,349,72.46,0.0,3395.0,109.4,1.8
tpch_sf2_q1,2,q1,423,62.61,0.0,3395.0,107.8,1.8
tpch_sf2_q1,2,q1,495,55.21,0.0,3395.0,107.9,1.8
tpch_sf2_q1,2,q1,568,55.1,0.0,3395.0,108.1,1.8
tpch_sf2_q1,2,q1,641,55.1,0.0,3395.0,107.3,1.8
tpch_sf2_q1,2,q1,714,55.02,0.0,3395.0,110.2,1.8
tpch_sf2_q1,2,q1,788,55.02,0.0,3395.0,107.9,1.8
tpch_sf2_q1,2,q1,861,54.81,0.0,3395.0,112.2,1.9
tpch_sf2_q1,2,q1,934,54.81,0.0,3395.0,111.2,1.8
tpch_sf2_q1,2,q1,1007,54.75,0.0,3395.0,106.5,1.8
tpch_sf2_q1,2,q1,1080,54.85,0.0,3395.0,109.9,1.8
tpch_sf2_q1,2,q1,1157,54.85,0.0,3403.0,108.1,2.1
tpch_sf2_q1,2,q1,1234,54.84,0.0,3457.0,112.4,1.8
tpch_sf2_q1,2,q1,1308,54.43,0.0,3437.0,106.4,1.9
tpch_sf2_q1,2,q1,1381,54.25,0.0,3437.0,109.0,1.8
tpch_sf2_q1,2,q1,1454,54.25,0.0,3437.0,108.2,1.8
tpch_sf2_q1,2,q1,1529,54.07,0.0,3437.0,109.4,1.8
tpch_sf2_q1,2,q1,1619,53.87,0.0,3437.0,106.7,1.8
tpch_sf2_q1,2,q1,1710,53.7,0.0,3437.0,102.3,1.8
tpch_sf2_q1,2,q1,1786,53.47,0.0,3437.0,104.2,1.9
tpch_sf2_q1,2,q1,1862,53.44,0.0,3441.0,102.0,1.9
tpch_sf2_q1,2,q1,1937,53.44,0.0,3441.0,102.3,2.1
tpch_sf2_q1,2,q1,2011,54.24,0.0,3441.0,107.7,2.0
tpch_sf2_q1,2,q1,2089,55.04,16.0,6553.0,105.5,1.9
tpch_sf2_q1,2,q1,2163,65.54,16.0,6553.0,107.4,1.8
tpch_sf2_q1,2,q1,2239,65.54,16.0,6555.0,117.3,2.6
tpch_sf2_q1,2,q1,2322,73.31,16.0,12789.0,109.2,1.8
tpch_sf2_q1,2,q1,2405,83.12,16.0,12789.0,108.3,1.8
tpch_sf2_q1,2,q1,2487,97.75,16.0,12789.0,106.4,1.8
tpch_sf2_q1,2,q1,2569,112.43,16.0,12789.0,106.5,1.8
tpch_sf2_q1,2,q1,2650,112.43,16.0,12789.0,107.7,1.8
tpch_sf2_q1,2,q1,2732,127.16,16.0,12789.0,108.1,1.8
tpch_sf2_q1,2,q1,2814,141.95,16.0,12789.0,107.5,1.8
tpch_sf2_q1,2,q1,2897,156.42,16.0,12789.0,109.8,1.8
tpch_sf2_q1,2,q1,2978,160.38,16.0,12789.0,106.1,1.8
tpch_sf2_q1,2,q1,3061,160.38,16.0,12789.0,108.0,1.8
tpch_sf2_q1,2,q1,3142,183.87,96.0,12789.0,107.4,1.8
tpch_sf2_q1,2,q1,3225,185.35,96.0,12789.0,108.1,1.8
tpch_sf2_q1,2,q1,3307,194.52,96.0,12789.0,114.8,1.8
tpch_sf2_q1,2,q1,3390,194.95,96.0,12789.0,106.0,1.7
tpch_sf2_q1,2,q1,3471,199.31,96.0,12789.0,108.5,1.8
tpch_sf2_q1,2,q1,3552,199.31,96.0,12789.0,106.4,1.8
tpch_sf2_q1,2,q1,3635,199.35,96.0,12789.0,106.5,1.8
tpch_sf2_q1,2,q1,3717,199.34,96.0,12789.0,108.2,1.8
tpch_sf2_q1,2,q1,3799,199.36,96.0,12789.0,108.9,1.8
