run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
clickbench_sf5_q1,5,q1,27,69.28,0.0,15.0,106.7,1.8
clickbench_sf5_q1,5,q1,132,69.54,0.0,16.0,103.6,1.8
clickbench_sf5_q1,5,q1,233,67.75,0.0,18.0,102.3,1.8
clickbench_sf5_q1,5,q1,311,55.53,0.0,283.0,105.3,1.9
clickbench_sf5_q1,5,q1,386,54.99,0.0,283.0,108.0,1.8
clickbench_sf5_q1,5,q1,461,54.94,0.0,283.0,108.8,1.9
clickbench_sf5_q1,5,q1,535,54.89,0.0,283.0,110.6,1.8
clickbench_sf5_q1,5,q1,610,54.89,0.0,283.0,108.8,1.8
clickbench_sf5_q1,5,q1,684,54.9,0.0,283.0,109.0,1.8
clickbench_sf5_q1,5,q1,758,55.09,0.0,283.0,106.8,1.8
clickbench_sf5_q1,5,q1,837,55.09,0.0,283.0,108.5,1.8
clickbench_sf5_q1,5,q1,911,54.9,0.0,283.0,109.4,1.8
clickbench_sf5_q1,5,q1,985,54.29,0.0,283.0,107.9,1.8
clickbench_sf5_q1,5,q1,1058,54.15,0.0,283.0,108.5,1.8
clickbench_sf5_q1,5,q1,1133,54.15,0.0,283.0,110.0,1.8
clickbench_sf5_q1,5,q1,1207,53.26,0.0,283.0,109.4,1.8
clickbench_sf5_q1,5,q1,1281,53.05,0.0,283.0,108.2,1.8
clickbench_sf5_q1,5,q1,1355,52.87,0.0,283.0,107.7,1.8
clickbench_sf5_q1,5,q1,1429,52.87,0.0,283.0,110.2,1.9
clickbench_sf5_q1,5,q1,1503,52.11,0.0,283.0,108.4,1.8
clickbench_sf5_q1,5,q1,1577,51.92,0.0,283.0,108.5,1.8
clickbench_sf5_q1,5,q1,1651,51.69,0.0,283.0,110.5,1.8
clickbench_sf5_q1,5,q1,1725,51.69,0.0,283.0,108.9,1.8
clickbench_sf5_q1,5,q1,1800,51.51,0.0,283.0,111.3,1.8
clickbench_sf5_q1,5,q1,1874,51.45,0.0,283.0,108.4,1.8
clickbench_sf5_q1,5,q1,1948,51.26,0.0,283.0,109.2,1.8
clickbench_sf5_q1,5,q1,2022,51.26,0.0,283.0,107.4,1.8
clickbench_sf5_q1,5,q1,2097,50.92,0.0,283.0,109.7,1.8
clickbench_sf5_q1,5,q1,2172,50.92,0.0,283.0,107.5,1.8
clickbench_sf5_q1,5,q1,2246,50.92,0.0,283.0,109.2,1.8
clickbench_sf5_q1,5,q1,2320,50.92,0.0,283.0,107.7,1.8
clickbench_sf5_q1,5,q1,2395,50.95,0.0,283.0,107.7,1.8
clickbench_sf5_q1,5,q1,2471,50.94,0.0,283.0,108.4,1.8
clickbench_sf5_q1,5,q1,2639,50.92,0.0,303.0,108.7,2.1
clickbench_sf5_q1,5,q1,2716,50.92,0.0,15669.0,114.6,1.9
clickbench_sf5_q1,5,q1,2792,51.19,12.0,15841.0,109.3,1.8
clickbench_sf5_q1,5,q1,2868,52.06,12.0,15841.0,109.1,1.8
clickbench_sf5_q1,5,q1,2943,52.73,12.0,15841.0,107.8,1.8
clickbench_sf5_q1,5,q1,3018,52.73,12.0,15841.0,110.4,1.8
clickbench_sf5_q1,5,q1,3093,53.49,12.0,15841.0,109.7,1.8
clickbench_sf5_q1,5,q1,3168,54.6,12.0,15841.0,109.5,1.8
clickbench_sf5_q1,5,q1,3243,55.03,12.0,15841.0,108.9,1.8
clickbench_sf5_q1,5,q1,3318,55.03,12.0,15841.0,109.0,1.8
clickbench_sf5_q1,5,q1,3394,55.83,12.0,15841.0,111.0,1.8
clickbench_sf5_q1,5,q1,3469,56.59,12.0,15841.0,110.7,1.8
clickbench_sf5_q1,5,q1,3545,57.36,12.0,15841.0,109.7,1.8
clickbench_sf5_q1,5,q1,3620,57.36,12.0,15841.0,108.7,1.8
clickbench_sf5_q1,5,q1,3695,58.11,12.0,15841.0,108.8,1.8
clickbench_sf5_q1,5,q1,3771,58.9,6.0,15841.0,109.2,1.8
clickbench_sf5_q1,5,q1,3847,59.41,6.0,15841.0,106.1,1.7
clickbench_sf5_q1,5,q1,3922,59.41,6.0,15841.0,109.4,1.8
clickbench_sf5_q1,5,q1,3997,59.39,6.0,15841.0,108.3,1.8
clickbench_sf5_q1,5,q1,4073,59.39,6.0,15841.0,107.7,1.8
clickbench_sf5_q1,5,q1,4147,59.4,6.0,15841.0,107.9,1.8
clickbench_sf5_q1,5,q1,4223,59.4,6.0,15841.0,109.4,1.8
clickbench_sf5_q1,5,q1,4298,59.37,6.0,15841.0,108.7,1.8
clickbench_sf5_q1,5,q1,4373,59.33,6.0,15841.0,107.3,1.8
clickbench_sf5_q1,5,q1,4449,59.33,6.0,15841.0,109.0,1.8
clickbench_sf5_q1,5,q1,4524,59.33,6.0,15841.0,109.2,1.8
clickbench_sf5_q1,5,q1,4600,59.33,6.0,15841.0,110.3,1.8
clickbench_sf5_q1,5,q1,4676,59.37,6.0,15841.0,109.3,1.8
clickbench_sf5_q1,5,q1,4752,59.35,6.0,15841.0,107.7,1.8
clickbench_sf5_q1,5,q1,4832,59.35,6.0,15841.0,108.4,1.8
clickbench_sf5_q1,5,q1,4907,59.4,6.0,15841.0,109.1,1.8
clickbench_sf5_q1,5,q1,4982,59.38,6.0,15841.0,107.8,1.8
clickbench_sf5_q1,5,q1,5055,59.39,6.0,15841.0,109.0,1.8
clickbench_sf5_q1,5,q1,5128,59.39,6.0,15841.0,108.9,1.8
clickbench_sf5_q1,5,q1,5201,59.45,6.0,15841.0,108.0,1.8
clickbench_sf5_q1,5,q1,5275,59.51,6.0,15841.0,109.2,1.8
clickbench_sf5_q1,5,q1,5349,59.54,6.0,15841.0,107.4,1.8
clickbench_sf5_q1,5,q1,5422,59.54,6.0,15841.0,109.0,1.8
clickbench_sf5_q1,5,q1,5496,59.63,6.0,15841.0,109.6,1.8
clickbench_sf5_q1,5,q1,5570,59.64,6.0,15841.0,109.1,1.8
clickbench_sf5_q1,5,q1,5644,59.65,6.0,15841.0,111.3,1.8
clickbench_sf5_q1,5,q1,5718,59.65,6.0,15841.0,107.3,1.8
clickbench_sf5_q1,5,q1,5791,59.68,6.0,15841.0,109.6,1.8
clickbench_sf5_q1,5,q1,5866,59.7,6.0,15841.0,106.9,1.8
clickbench_sf5_q1,5,q1,5939,59.78,6.0,15841.0,105.8,1.8
clickbench_sf5_q1,5,q1,6013,59.78,6.0,15841.0,107.2,1.8
clickbench_sf5_q1,5,q1,6086,59.82,6.0,15841.0,107.7,1.8
clickbench_sf5_q1,5,q1,6161,59.82,6.0,15841.0,108.9,1.8
clickbench_sf5_q1,5,q1,6235,59.85,6.0,15841.0,107.4,1.8
clickbench_sf5_q1,5,q1,6308,59.85,6.0,15841.0,108.2,1.8
clickbench_sf5_q1,5,q1,6382,59.86,6.0,15841.0,108.6,1.8
clickbench_sf5_q1,5,q1,6456,59.86,6.0,15841.0,109.6,1.8
clickbench_sf5_q1,5,q1,6531,59.86,6.0,15841.0,108.6,1.8
clickbench_sf5_q1,5,q1,6605,59.9,6.0,15841.0,108.7,1.8
clickbench_sf5_q1,5,q1,6678,59.92,6.0,15841.0,108.9,1.8
clickbench_sf5_q1,5,q1,6752,60.0,6.0,15841.0,108.8,1.8
clickbench_sf5_q1,5,q1,6829,60.0,6.0,15841.0,109.5,1.8
clickbench_sf5_q1,5,q1,6905,60.02,6.0,15841.0,109.8,1.8
clickbench_sf5_q1,5,q1,6979,59.94,6.0,15841.0,109.1,1.8
clickbench_sf5_q1,5,q1,7054,59.94,6.0,15841.0,107.7,1.8
clickbench_sf5_q1,5,q1,7128,59.94,6.0,15841.0,109.0,1.8
clickbench_sf5_q1,5,q1,7201,59.93,6.0,15841.0,110.3,1.8
clickbench_sf5_q1,5,q1,7275,59.84,6.0,15841.0,110.3,1.8
clickbench_sf5_q1,5,q1,7350,59.84,6.0,15841.0,108.0,1.8
clickbench_sf5_q1,5,q1,7424,59.84,6.0,15841.0,109.4,1.8
clickbench_sf5_q1,5,q1,7498,59.84,6.0,15841.0,108.8,1.9
clickbench_sf5_q1,5,q1,7572,59.84,6.0,15841.0,110.5,1.8
clickbench_sf5_q1,5,q1,7645,59.72,6.0,15841.0,108.8,1.8
clickbench_sf5_q1,5,q1,7719,59.72,6.0,15841.0,109.3,1.8
clickbench_sf5_q1,5,q1,7792,59.66,6.0,15841.0,109.1,1.8
clickbench_sf5_q1,5,q1,7867,59.69,6.0,15841.0,108.2,1.8
clickbench_sf5_q1,5,q1,7941,59.64,6.0,15841.0,108.6,1.8
clickbench_sf5_q1,5,q1,8014,59.64,6.0,15841.0,112.6,1.8
clickbench_sf5_q1,5,q1,8088,59.67,6.0,15841.0,109.0,1.8
clickbench_sf5_q1,5,q1,8162,59.66,6.0,15841.0,110.3,1.8
clickbench_sf5_q1,5,q1,8236,59.61,6.0,15841.0,109.6,1.8
clickbench_sf5_q1,5,q1,8310,59.61,6.0,15841.0,107.9,1.7
clickbench_sf5_q1,5,q1,8383,59.62,6.0,15841.0,109.7,1.8
clickbench_sf5_q1,5,q1,8458,59.53,6.0,15841.0,110.9,1.8
clickbench_sf5_q1,5,q1,8532,59.53,6.0,15841.0,109.1,1.8
clickbench_sf5_q1,5,q1,8607,59.5,6.0,15841.0,111.4,1.8
clickbench_sf5_q1,5,q1,8682,59.45,6.0,15841.0,110.1,1.8
clickbench_sf5_q1,5,q1,8755,59.39,6.0,15841.0,110.1,1.8
clickbench_sf5_q1,5,q1,8832,59.39,6.0,15841.0,108.4,1.8
clickbench_sf5_q1,5,q1,8906,59.39,6.0,15841.0,108.0,1.8
clickbench_sf5_q1,5,q1,8980,59.29,6.0,15841.0,107.0,1.8
clickbench_sf5_q1,5,q1,9054,59.25,6.0,15841.0,110.6,1.8
clickbench_sf5_q1,5,q1,9127,59.25,6.0,15841.0,107.5,1.8
clickbench_sf5_q1,5,q1,9201,59.18,6.0,15841.0,108.1,1.8
clickbench_sf5_q1,5,q1,9275,59.16,6.0,15841.0,110.0,1.8
clickbench_sf5_q1,5,q1,9349,59.16,6.0,15841.0,108.7,1.8
clickbench_sf5_q1,5,q1,9423,59.16,6.0,15841.0,108.4,1.8
clickbench_sf5_q1,5,q1,9498,59.16,6.0,15841.0,109.0,1.8
clickbench_sf5_q1,5,q1,9572,59.15,6.0,15841.0,106.7,1.7
clickbench_sf5_q1,5,q1,9646,59.15,6.0,15841.0,110.5,1.8
clickbench_sf5_q1,5,q1,9720,59.15,6.0,15841.0,107.4,1.8
clickbench_sf5_q1,5,q1,9793,59.15,6.0,15841.0,110.3,1.8
clickbench_sf5_q1,5,q1,9869,59.12,6.0,15841.0,108.4,1.8
clickbench_sf5_q1,5,q1,9942,59.1,6.0,15841.0,108.2,1.8
clickbench_sf5_q1,5,q1,10016,59.1,6.0,15841.0,107.0,1.8
clickbench_sf5_q1,5,q1,10089,59.1,6.0,15841.0,109.4,1.8
clickbench_sf5_q1,5,q1,10164,59.11,6.0,15841.0,106.9,1.8
clickbench_sf5_q1,5,q1,10237,59.1,6.0,15841.0,109.1,1.8
clickbench_sf5_q1,5,q1,10311,59.1,6.0,15841.0,109.2,1.8
clickbench_sf5_q1,5,q1,10385,59.11,6.0,15841.0,109.5,1.8
clickbench_sf5_q1,5,q1,10460,59.1,6.0,15841.0,108.6,1.8
clickbench_sf5_q1,5,q1,10533,59.1,6.0,15841.0,108.3,1.8
clickbench_sf5_q1,5,q1,10607,59.1,6.0,15841.0,108.6,1.8
clickbench_sf5_q1,5,q1,10682,59.1,6.0,15841.0,108.9,1.8
clickbench_sf5_q1,5,q1,10755,59.08,6.0,15841.0,108.4,1.8
clickbench_sf5_q1,5,q1,10832,59.08,6.0,15841.0,108.7,1.8
clickbench_sf5_q1,5,q1,10907,59.14,6.0,15841.0,110.3,1.8
clickbench_sf5_q1,5,q1,10980,59.17,6.0,15841.0,108.3,1.8
clickbench_sf5_q1,5,q1,11053,59.21,6.0,15841.0,107.5,1.8
