run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,0,,,,0,0,,,,,,,,,,OK
clickbench_sf5_q1,clickbench,5,q1,10000,0.0000,0.0010,13.26,175,134,59.0,60.1,15841,6.6,12,0.00,108.8,1.8,0.00,OK
clickbench_sf5_q10,clickbench,5,q10,3334,0.0010,0.0028,17.00,218,173,75.0,86.5,15841,39.6,64,0.08,111.7,1.8,0.11,OK
clickbench_sf5_q11,clickbench,5,q11,2858,0.0010,0.0032,16.73,215,168,77.3,90.2,15841,45.7,75,0.08,112.5,1.8,0.11,OK
clickbench_sf5_q12,clickbench,5,q12,5000,0.0010,0.0023,18.88,242,186,102.4,121.8,15841,34.0,53,0.10,114.3,2.0,0.11,OK
clickbench_sf5_q13,clickbench,5,q13,626,0.0010,0.0107,14.30,183,128,105.6,141.1,15841,51.3,94,0.11,111.6,1.8,0.11,OK
clickbench_sf5_q14,clickbench,5,q14,4000,0.0010,0.0024,17.23,220,173,100.0,123.5,15841,37.0,63,0.10,112.3,2.0,0.11,OK
clickbench_sf5_q15,clickbench,5,q15,10002,0.0030,0.0032,11.27,139,97,56.0,65.3,15817,2.5,22,0.17,107.7,1.8,0.32,OK
clickbench_sf5_q16,clickbench,5,q16,5001,0.0050,0.0061,11.94,148,105,60.6,79.9,15801,17.2,76,0.30,110.9,1.8,0.55,OK
clickbench_sf5_q17,clickbench,5,q17,7500,0.0040,0.0045,11.74,145,98,58.3,74.2,15841,6.6,68,0.23,107.9,1.8,0.43,OK
clickbench_sf5_q18,clickbench,5,q18,3000,0.0090,0.0098,12.43,155,106,63.7,96.0,15813,12.8,81,0.57,111.3,1.8,1.00,OK
clickbench_sf5_q19,clickbench,5,q19,10000,0.0000,0.0009,12.23,160,119,71.8,73.5,15841,12.6,13,0.00,107.8,1.8,0.00,OK
