run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf2gb_q1,2gb,q1,27,60.11,0.0,15.0,112.1,1.9
h2o_sf2gb_q1,2gb,q1,132,59.4,0.0,16.0,102.7,1.8
h2o_sf2gb_q1,2gb,q1,242,53.79,0.0,18.0,103.7,1.8
h2o_sf2gb_q1,2gb,q1,319,52.02,0.0,283.0,104.9,1.8
h2o_sf2gb_q1,2gb,q1,396,52.02,0.0,283.0,108.8,1.9
h2o_sf2gb_q1,2gb,q1,472,52.22,0.0,283.0,109.3,1.9
h2o_sf2gb_q1,2gb,q1,547,52.25,0.0,283.0,109.1,1.8
h2o_sf2gb_q1,2gb,q1,622,52.16,0.0,283.0,108.7,1.8
h2o_sf2gb_q1,2gb,q1,698,52.16,0.0,283.0,108.6,1.8
h2o_sf2gb_q1,2gb,q1,774,52.19,0.0,283.0,107.9,1.8
h2o_sf2gb_q1,2gb,q1,849,52.33,0.0,283.0,107.7,1.8
h2o_sf2gb_q1,2gb,q1,925,52.22,0.0,283.0,109.8,1.8
h2o_sf2gb_q1,2gb,q1,1001,52.22,0.0,283.0,109.5,1.8
h2o_sf2gb_q1,2gb,q1,1077,51.6,0.0,283.0,109.2,1.8
h2o_sf2gb_q1,2gb,q1,1152,51.49,0.0,283.0,107.3,1.8
h2o_sf2gb_q1,2gb,q1,1228,51.47,0.0,283.0,109.7,1.9
h2o_sf2gb_q1,2gb,q1,1304,51.47,0.0,283.0,112.5,1.8
h2o_sf2gb_q1,2gb,q1,1380,51.31,0.0,283.0,108.2,1.8
h2o_sf2gb_q1,2gb,q1,1456,51.22,0.0,283.0,109.9,1.8
h2o_sf2gb_q1,2gb,q1,1532,51.22,0.0,283.0,108.2,1.8
h2o_sf2gb_q1,2gb,q1,1608,51.22,0.0,283.0,106.4,1.8
h2o_sf2gb_q1,2gb,q1,1684,51.24,0.0,283.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,1759,51.26,0.0,283.0,109.0,1.8
h2o_sf2gb_q1,2gb,q1,1834,51.25,0.0,283.0,108.6,1.8
h2o_sf2gb_q1,2gb,q1,1910,51.28,0.0,283.0,106.4,1.8
h2o_sf2gb_q1,2gb,q1,1985,51.28,0.0,283.0,109.4,1.8
h2o_sf2gb_q1,2gb,q1,2062,51.29,0.0,283.0,108.4,1.8
h2o_sf2gb_q1,2gb,q1,2141,51.28,0.0,283.0,110.1,1.8
h2o_sf2gb_q1,2gb,q1,2217,51.28,0.0,283.0,108.1,1.8
h2o_sf2gb_q1,2gb,q1,2292,51.28,0.0,283.0,110.3,1.8
h2o_sf2gb_q1,2gb,q1,2368,51.29,0.0,283.0,107.6,1.8
h2o_sf2gb_q1,2gb,q1,2444,51.3,0.0,283.0,108.1,1.8
h2o_sf2gb_q1,2gb,q1,2519,51.31,0.0,283.0,107.5,1.9
h2o_sf2gb_q1,2gb,q1,2646,51.3,0.0,303.0,110.8,2.3
h2o_sf2gb_q1,2gb,q1,2721,51.42,0.0,15669.0,107.7,1.8
h2o_sf2gb_q1,2gb,q1,2795,51.42,0.0,15669.0,106.8,1.8
h2o_sf2gb_q1,2gb,q1,2874,51.43,0.0,15669.0,136.4,2.4
h2o_sf2gb_q1,2gb,q1,2950,52.1,0.0,15691.0,106.2,1.9
h2o_sf2gb_q1,2gb,q1,3025,58.13,0.0,15765.0,108.4,1.8
h2o_sf2gb_q1,2gb,q1,3102,58.13,0.0,5601.0,108.8,1.8
h2o_sf2gb_q1,2gb,q1,3223,70.18,0.0,5583.0,103.9,1.8
h2o_sf2gb_q1,2gb,q1,3297,70.18,0.0,5583.0,105.5,1.8
h2o_sf2gb_q1,2gb,q1,3370,70.23,0.0,5583.0,104.4,1.8
h2o_sf2gb_q1,2gb,q1,3445,70.26,0.0,5583.0,107.3,1.8
h2o_sf2gb_q1,2gb,q1,3519,70.23,0.0,5583.0,105.9,1.8
h2o_sf2gb_q1,2gb,q1,3593,70.23,0.0,5583.0,108.3,1.8
h2o_sf2gb_q1,2gb,q1,3668,70.24,0.0,5583.0,105.8,1.8
h2o_sf2gb_q1,2gb,q1,3741,70.06,0.0,5583.0,105.8,1.8
h2o_sf2gb_q1,2gb,q1,3814,70.01,0.0,5583.0,106.0,1.8
h2o_sf2gb_q1,2gb,q1,3961,70.01,0.0,459.0,104.6,1.9
h2o_sf2gb_q1,2gb,q1,4052,68.33,0.0,15.0,104.2,1.8
h2o_sf2gb_q1,2gb,q1,4208,63.0,0.0,18.0,101.4,1.8
h2o_sf2gb_q1,2gb,q1,4287,52.67,0.0,283.0,103.8,1.8
h2o_sf2gb_q1,2gb,q1,4363,52.18,0.0,283.0,106.1,1.8
h2o_sf2gb_q1,2gb,q1,4438,52.12,0.0,283.0,109.7,1.9
h2o_sf2gb_q1,2gb,q1,4514,52.1,0.0,283.0,108.4,1.9
h2o_sf2gb_q1,2gb,q1,4589,52.1,0.0,283.0,107.1,1.8
h2o_sf2gb_q1,2gb,q1,4665,52.08,0.0,283.0,107.5,1.8
h2o_sf2gb_q1,2gb,q1,4741,51.95,0.0,283.0,108.9,1.9
h2o_sf2gb_q1,2gb,q1,4816,52.01,0.0,283.0,108.0,1.8
h2o_sf2gb_q1,2gb,q1,4892,52.01,0.0,283.0,108.2,1.9
h2o_sf2gb_q1,2gb,q1,4967,51.35,0.0,283.0,108.2,1.8
h2o_sf2gb_q1,2gb,q1,5044,51.29,0.0,283.0,107.4,1.8
h2o_sf2gb_q1,2gb,q1,5120,50.98,0.0,283.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,5196,50.98,0.0,283.0,107.8,1.9
h2o_sf2gb_q1,2gb,q1,5273,51.03,0.0,283.0,111.2,1.9
h2o_sf2gb_q1,2gb,q1,5348,51.01,0.0,283.0,108.5,1.8
h2o_sf2gb_q1,2gb,q1,5423,50.78,0.0,283.0,107.0,1.8
h2o_sf2gb_q1,2gb,q1,5499,50.78,0.0,283.0,108.5,1.8
