run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_q1,h2o,2gb,q1,7500,0.0030,0.0038,11.94,147,147,55.9,70.6,15773,0.0,0,0.17,108.6,1.8,0.33,OK
h2o_sf2gb_q10,h2o,2gb,q10,2310,0.0120,0.0128,14.36,180,137,69.1,133.8,15837,12.0,85,0.83,111.1,1.9,1.33,OK
h2o_sf2gb_q2,h2o,2gb,q2,6000,0.0050,0.0055,12.49,154,54,60.5,81.9,15817,10.9,75,0.30,108.8,1.8,0.54,OK
h2o_sf2gb_q3,h2o,2gb,q3,3750,0.0070,0.0081,12.73,157,110,63.1,93.2,15835,10.7,85,0.44,108.3,1.8,0.76,OK
h2o_sf2gb_q4,h2o,2gb,q4,7500,0.0040,0.0043,12.09,151,106,58.0,73.2,15801,7.5,65,0.23,111.0,1.8,0.44,OK
h2o_sf2gb_q5,h2o,2gb,q5,4287,0.0070,0.0072,12.45,154,110,62.2,91.0,15841,5.0,49,0.44,108.2,1.8,0.76,OK
h2o_sf2gb_q6,h2o,2gb,q6,3750,0.0080,0.0082,12.55,155,110,63.2,93.8,15839,10.6,82,0.51,108.5,1.8,0.87,OK
h2o_sf2gb_q7,h2o,2gb,q7,6000,0.0050,0.0053,12.26,152,114,62.3,84.6,15841,4.1,25,0.31,108.4,1.8,0.54,OK
h2o_sf2gb_q8,h2o,2gb,q8,2730,0.0110,0.0113,12.73,158,152,62.9,104.5,15841,9.8,87,0.69,108.1,1.8,1.19,OK
h2o_sf2gb_q9,h2o,2gb,q9,1581,0.0190,0.0194,13.83,171,129,75.9,140.4,15841,14.0,86,1.44,111.2,1.8,2.11,OK
