run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q01,tpch,1,q01,2000,0.0010,0.0043,16.13,206,160,111.8,144.7,15841,41.0,75,0.11,112.9,1.8,0.11,OK
tpch_sf1_q02,tpch,1,q02,1250,0.0040,0.0066,11.95,158,80,63.1,63.7,15841,15.7,18,0.25,111.6,1.8,0.45,OK
tpch_sf1_q03,tpch,1,q03,2000,0.0020,0.0034,10.65,138,79,81.5,83.5,15841,28.8,33,0.16,112.4,1.8,0.22,OK
tpch_sf1_q04,tpch,1,q04,2500,0.0010,0.0030,11.25,145,98,88.1,91.8,15841,26.7,28,0.09,112.7,1.8,0.11,OK
tpch_sf1_q05,tpch,1,q05,2000,0.0020,0.0042,12.19,157,94,73.3,77.0,15841,16.8,33,0.15,111.4,1.8,0.22,OK
tpch_sf1_q06,tpch,1,q06,5000,0.0010,0.0021,14.03,183,179,95.7,111.0,15841,28.8,38,0.10,110.4,1.8,0.11,OK
tpch_sf1_q07,tpch,1,q07,1429,0.0030,0.0056,11.77,152,105,72.1,74.8,15841,18.7,21,0.22,112.2,1.8,0.34,OK
tpch_sf1_q08,tpch,1,q08,1429,0.0030,0.0052,11.20,147,106,67.3,71.5,15841,13.1,16,0.20,111.2,1.8,0.33,OK
tpch_sf1_q09,tpch,1,q09,1429,0.0030,0.0047,10.57,136,92,89.7,94.6,15841,26.7,30,0.27,110.7,1.8,0.33,OK
tpch_sf1_q10,tpch,1,q10,1429,0.0020,0.0046,10.38,134,94,76.4,80.2,15841,25.1,32,0.15,112.6,1.8,0.23,OK
tpch_sf1_q11,tpch,1,q11,5000,0.0010,0.0020,23.95,318,318,60.6,63.1,15841,8.5,32,0.06,110.5,1.8,0.11,OK
tpch_sf1_q12,tpch,1,q12,2000,0.0020,0.0033,10.38,134,125,73.6,86.3,15841,17.2,26,0.15,111.3,1.8,0.22,OK
tpch_sf1_q13,tpch,1,q13,6000,0.0040,0.0052,11.48,142,17,57.8,60.5,5583,60.0,60,0.23,110.4,1.8,0.44,OK
tpch_sf1_q14,tpch,1,q14,3334,0.0010,0.0021,10.80,140,79,69.7,70.4,15841,15.0,16,0.07,111.4,1.8,0.11,OK
tpch_sf1_q15,tpch,1,q15,2500,0.0010,0.0029,10.96,142,98,66.6,68.5,15841,13.3,14,0.07,111.9,1.8,0.11,OK
tpch_sf1_q16,tpch,1,q16,1054,0.0020,0.0073,15.12,195,149,67.5,77.0,15841,38.6,80,0.14,112.0,1.8,0.22,OK
tpch_sf1_q17,tpch,1,q17,2858,0.0010,0.0038,18.36,237,188,89.9,107.2,15841,28.3,44,0.09,111.8,1.8,0.11,OK
tpch_sf1_q18,tpch,1,q18,1250,0.0040,0.0059,11.07,143,98,123.8,129.2,15841,51.9,54,0.50,111.3,1.8,0.45,OK
tpch_sf1_q19,tpch,1,q19,2000,0.0020,0.0038,11.54,149,98,82.8,84.2,15841,24.7,26,0.17,112.7,1.8,0.23,OK
tpch_sf1_q20,tpch,1,q20,1667,0.0030,0.0049,11.90,155,106,67.9,68.7,15841,25.6,31,0.20,111.6,1.8,0.33,OK
tpch_sf1_q21,tpch,1,q21,1430,0.0030,0.0069,17.35,223,180,85.3,100.9,15841,32.3,55,0.26,111.0,1.8,0.33,OK
tpch_sf1_q22,tpch,1,q22,2500,0.0020,0.0036,12.85,169,121,65.5,67.1,15841,14.0,15,0.13,111.9,1.8,0.22,OK
