run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf2_q01,2,q01,27,53.99,0.0,15.0,107.5,1.9
tpch_sf2_q01,2,q01,134,53.91,0.0,16.0,110.0,1.8
tpch_sf2_q01,2,q01,232,53.92,0.0,18.0,112.0,1.8
tpch_sf2_q01,2,q01,310,52.72,0.0,283.0,113.9,1.8
tpch_sf2_q01,2,q01,388,52.72,0.0,283.0,116.3,1.8
tpch_sf2_q01,2,q01,463,52.84,0.0,283.0,118.0,1.8
tpch_sf2_q01,2,q01,539,52.86,0.0,283.0,120.1,1.8
tpch_sf2_q01,2,q01,614,52.87,0.0,283.0,118.1,1.8
tpch_sf2_q01,2,q01,690,52.89,0.0,283.0,116.8,1.8
tpch_sf2_q01,2,q01,765,52.89,0.0,283.0,118.4,1.8
tpch_sf2_q01,2,q01,847,52.78,0.0,283.0,118.2,1.8
tpch_sf2_q01,2,q01,923,52.31,0.0,283.0,118.0,1.8
tpch_sf2_q01,2,q01,998,52.22,0.0,283.0,118.3,1.9
tpch_sf2_q01,2,q01,1074,52.22,0.0,283.0,117.0,1.8
tpch_sf2_q01,2,q01,1150,52.05,0.0,283.0,120.3,1.8
tpch_sf2_q01,2,q01,1225,51.84,0.0,283.0,117.3,1.8
tpch_sf2_q01,2,q01,1301,51.63,0.0,283.0,116.6,1.8
tpch_sf2_q01,2,q01,1377,51.63,0.0,283.0,118.2,1.8
tpch_sf2_q01,2,q01,1452,51.62,0.0,283.0,117.3,1.8
tpch_sf2_q01,2,q01,1527,51.51,0.0,283.0,117.2,1.8
tpch_sf2_q01,2,q01,1602,51.48,0.0,283.0,118.0,1.9
tpch_sf2_q01,2,q01,1678,51.48,0.0,283.0,118.3,1.8
tpch_sf2_q01,2,q01,1753,51.45,0.0,283.0,117.6,1.8
tpch_sf2_q01,2,q01,1828,51.42,0.0,283.0,117.9,1.8
tpch_sf2_q01,2,q01,1904,51.42,0.0,283.0,116.2,1.8
tpch_sf2_q01,2,q01,1980,51.42,0.0,283.0,118.5,1.9
tpch_sf2_q01,2,q01,2055,51.4,0.0,283.0,117.1,1.8
tpch_sf2_q01,2,q01,2131,51.36,0.0,283.0,116.8,1.8
tpch_sf2_q01,2,q01,2206,51.31,0.0,283.0,116.3,1.8
tpch_sf2_q01,2,q01,2282,51.31,0.0,283.0,119.1,1.9
tpch_sf2_q01,2,q01,2357,51.3,0.0,283.0,116.2,1.8
tpch_sf2_q01,2,q01,2433,51.28,0.0,283.0,116.4,1.8
tpch_sf2_q01,2,q01,2508,51.21,0.0,283.0,116.5,1.8
tpch_sf2_q01,2,q01,2640,51.18,0.0,303.0,118.7,2.3
tpch_sf2_q01,2,q01,2717,51.3,0.0,15669.0,109.4,1.8
tpch_sf2_q01,2,q01,2792,51.24,0.0,15669.0,107.3,1.8
tpch_sf2_q01,2,q01,2868,51.24,0.0,15669.0,108.2,1.8
tpch_sf2_q01,2,q01,2955,51.2,0.0,15669.0,146.4,2.7
tpch_sf2_q01,2,q01,3034,52.04,0.0,15691.0,108.1,2.0
tpch_sf2_q01,2,q01,3116,57.22,0.0,15709.0,110.5,1.8
tpch_sf2_q01,2,q01,3195,70.2,0.0,15731.0,112.9,1.8
tpch_sf2_q01,2,q01,3276,70.2,0.0,15749.0,111.1,1.8
tpch_sf2_q01,2,q01,3357,83.06,86.0,15771.0,109.2,1.8
tpch_sf2_q01,2,q01,3437,95.95,86.0,15789.0,111.4,1.8
tpch_sf2_q01,2,q01,3516,109.06,86.0,15809.0,109.5,1.8
tpch_sf2_q01,2,q01,3598,121.94,86.0,15827.0,110.8,1.8
tpch_sf2_q01,2,q01,3675,121.94,86.0,15841.0,111.0,1.8
tpch_sf2_q01,2,q01,3754,126.63,86.0,15841.0,115.2,1.8
tpch_sf2_q01,2,q01,3833,143.36,86.0,15841.0,112.6,1.8
tpch_sf2_q01,2,q01,3913,154.15,86.0,15841.0,114.1,1.8
tpch_sf2_q01,2,q01,3992,162.12,86.0,15841.0,115.1,1.8
tpch_sf2_q01,2,q01,4070,162.12,86.0,15841.0,113.6,1.8
tpch_sf2_q01,2,q01,4150,167.71,86.0,15841.0,116.6,1.8
tpch_sf2_q01,2,q01,4229,166.66,86.0,15841.0,114.5,1.8
tpch_sf2_q01,2,q01,4308,165.3,86.0,15841.0,115.5,1.8
tpch_sf2_q01,2,q01,4389,165.3,74.0,15841.0,113.8,1.8
tpch_sf2_q01,2,q01,4468,161.18,74.0,15841.0,114.9,1.8
tpch_sf2_q01,2,q01,4546,160.94,74.0,15841.0,116.4,1.8
tpch_sf2_q01,2,q01,4625,156.69,74.0,15841.0,114.0,1.8
tpch_sf2_q01,2,q01,4702,157.31,74.0,15841.0,115.2,1.8
tpch_sf2_q01,2,q01,4782,157.31,74.0,15841.0,115.6,1.8
tpch_sf2_q01,2,q01,4863,156.44,72.0,15841.0,117.5,1.8
tpch_sf2_q01,2,q01,4943,158.27,72.0,15841.0,118.7,1.8
tpch_sf2_q01,2,q01,5022,158.85,72.0,15841.0,115.4,1.8
tpch_sf2_q01,2,q01,5099,160.23,72.0,15841.0,115.8,1.8
tpch_sf2_q01,2,q01,5180,160.23,72.0,15841.0,116.7,1.8
tpch_sf2_q01,2,q01,5262,160.1,72.0,15841.0,116.3,1.8
tpch_sf2_q01,2,q01,5350,160.01,72.0,15841.0,117.1,1.8
tpch_sf2_q01,2,q01,5430,160.84,72.0,15841.0,114.5,1.8
tpch_sf2_q01,2,q01,5512,160.93,72.0,15841.0,113.9,1.8
tpch_sf2_q01,2,q01,5592,161.25,72.0,15841.0,118.7,1.8
tpch_sf2_q01,2,q01,5671,161.25,72.0,15841.0,115.3,1.8
tpch_sf2_q01,2,q01,5747,161.54,72.0,15841.0,115.3,1.8
tpch_sf2_q01,2,q01,5825,160.81,72.0,15841.0,115.6,1.8
tpch_sf2_q01,2,q01,5904,160.57,68.0,15841.0,115.6,1.8
tpch_sf2_q01,2,q01,5981,160.57,68.0,15841.0,114.7,1.8
tpch_sf2_q01,2,q01,6056,160.02,68.0,15841.0,116.1,1.8
tpch_sf2_q01,2,q01,6133,160.29,68.0,15841.0,115.9,1.8
tpch_sf2_q01,2,q01,6210,161.16,68.0,15841.0,114.7,1.8
tpch_sf2_q01,2,q01,6288,161.23,68.0,15841.0,116.1,1.8
tpch_sf2_q01,2,q01,6365,161.23,67.0,15841.0,116.7,1.8
tpch_sf2_q01,2,q01,6444,161.34,67.0,15841.0,115.5,1.8
tpch_sf2_q01,2,q01,6520,160.52,67.0,15841.0,114.8,1.8
tpch_sf2_q01,2,q01,6596,161.01,67.0,15841.0,115.7,1.8
tpch_sf2_q01,2,q01,6674,161.01,67.0,15841.0,115.8,1.8
tpch_sf2_q01,2,q01,6752,159.98,67.0,5601.0,112.3,1.8
tpch_sf2_q01,2,q01,6875,155.62,55.0,5583.0,105.5,1.8
tpch_sf2_q01,2,q01,6950,145.1,55.0,5583.0,106.4,1.8
tpch_sf2_q01,2,q01,7023,136.82,55.0,5583.0,107.7,1.8
tpch_sf2_q01,2,q01,7098,126.81,55.0,5583.0,108.2,1.8
tpch_sf2_q01,2,q01,7172,126.81,55.0,5583.0,108.6,1.8
tpch_sf2_q01,2,q01,7247,112.08,55.0,5583.0,114.1,1.9
tpch_sf2_q01,2,q01,7321,102.07,55.0,5583.0,109.7,1.8
tpch_sf2_q01,2,q01,7397,90.76,55.0,5583.0,107.8,1.8
tpch_sf2_q01,2,q01,7471,90.76,55.0,5583.0,107.5,1.8
tpch_sf2_q01,2,q01,7624,87.39,55.0,459.0,104.6,1.9
tpch_sf2_q01,2,q01,7706,68.94,55.0,15.0,103.6,1.8
tpch_sf2_q01,2,q01,7886,60.52,55.0,18.0,101.5,1.8
tpch_sf2_q01,2,q01,7963,54.9,0.0,283.0,105.2,1.9
