run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,3334,0.0010,0.0019,19.27,175,96,15.6,19.6,15665,4.6,57,0.02,47.9,1.8,0.05,OK
clickbench_sf5_q1,clickbench,5,q1,2000,0.0030,0.0047,22.57,205,96,19.7,23.1,15841,19.5,100,0.06,-26330.7,1.8,-78.99,OK
clickbench_sf5_q10,clickbench,5,q10,164,0.0060,0.0261,18.20,159,50,22.3,24.4,15841,74.4,100,0.13,48.3,1.8,0.29,OK
clickbench_sf5_q11,clickbench,5,q11,121,0.0060,0.0385,18.48,163,45,23.3,24.4,15841,87.0,100,0.14,48.1,1.8,0.29,OK
clickbench_sf5_q12,clickbench,5,q12,228,0.0100,0.0221,18.91,160,160,18.5,29.4,15841,0.0,0,0.18,48.1,1.8,0.48,OK
clickbench_sf5_q13,clickbench,5,q13,26,0.3910,0.3918,23.95,211,99,26.3,28.1,15797,98.8,100,10.27,47.5,1.8,18.59,OK
clickbench_sf5_q14,clickbench,5,q14,218,0.0100,0.0213,18.54,156,48,24.7,29.3,15841,56.7,84,0.25,48.2,1.8,0.48,OK
clickbench_sf5_q15,clickbench,5,q15,286,0.0340,0.0355,14.73,125,43,19.1,31.2,15841,12.9,86,0.65,47.8,1.8,1.63,OK
clickbench_sf5_q16,clickbench,5,q16,145,0.0690,0.0702,16.46,139,112,17.5,31.1,15841,16.1,100,1.21,48.3,1.8,3.33,OK
clickbench_sf5_q17,clickbench,5,q17,193,0.0520,0.0534,15.62,134,33,19.7,31.9,15841,24.5,100,1.03,47.4,1.8,2.46,OK
clickbench_sf5_q18,clickbench,5,q18,77,0.1290,0.1313,18.62,153,153,18.7,32.2,15839,16.4,100,2.41,47.7,1.8,6.16,OK
clickbench_sf5_q19,clickbench,5,q19,1667,0.0050,0.0068,24.70,214,188,19.8,24.9,15841,23.5,100,0.10,48.1,1.8,0.24,OK
clickbench_sf5_q2,clickbench,5,q2,1667,0.0050,0.0067,13.77,120,37,16.7,21.9,15831,5.3,100,0.08,47.5,1.8,0.24,OK
clickbench_sf5_q20,clickbench,5,q20,157,0.0630,0.0655,24.87,203,181,22.2,32.1,15841,41.3,100,1.40,47.7,1.8,3.01,OK
clickbench_sf5_q21,clickbench,5,q21,132,0.0700,0.0735,24.77,199,88,27.2,32.2,15841,79.3,100,1.90,47.9,1.8,3.35,OK
clickbench_sf5_q22,clickbench,5,q22,47,0.1420,0.1964,26.24,214,194,19.9,32.5,15841,36.7,100,2.83,48.1,1.8,6.83,OK
clickbench_sf5_q23,clickbench,5,q23,139,0.0630,0.0679,25.74,214,93,26.7,31.6,15841,62.6,95,1.68,47.9,1.8,3.02,OK
clickbench_sf5_q24,clickbench,5,q24,477,0.0130,0.0172,22.05,185,165,19.9,27.0,15841,27.3,62,0.26,47.8,1.8,0.62,OK
clickbench_sf5_q25,clickbench,5,q25,32,0.3160,0.3181,23.72,208,93,26.0,27.1,15823,88.1,96,8.21,47.7,1.8,15.06,OK
clickbench_sf5_q26,clickbench,5,q26,65,0.0100,0.0971,20.18,174,79,22.9,26.8,15841,62.4,100,0.23,48.1,1.8,0.48,OK
clickbench_sf5_q27,clickbench,5,q27,85,0.0330,0.0733,21.11,166,166,19.1,32.5,15841,23.1,100,0.63,47.8,1.8,1.58,OK
clickbench_sf5_q28,clickbench,5,q28,0,,,,0,0,,,,,,,,,,FALLBACK
clickbench_sf5_q29,clickbench,5,q29,108,0.0930,0.0963,16.93,151,151,16.2,21.5,15841,8.3,100,1.51,49.3,1.8,4.59,OK
clickbench_sf5_q3,clickbench,5,q3,1667,0.0060,0.0070,13.67,119,93,15.5,22.7,15811,5.1,100,0.09,48.1,1.8,0.29,OK
clickbench_sf5_q30,clickbench,5,q30,371,0.0110,0.0162,20.14,171,36,26.2,26.6,15841,58.9,92,0.29,48.4,1.8,0.53,OK
clickbench_sf5_q31,clickbench,5,q31,313,0.0110,0.0174,19.57,167,72,22.7,29.0,15841,40.4,77,0.25,47.8,1.8,0.53,OK
clickbench_sf5_q32,clickbench,5,q32,75,0.1330,0.1342,18.11,143,143,18.7,32.8,15839,19.1,100,2.49,47.7,1.8,6.34,OK
clickbench_sf5_q33,clickbench,5,q33,75,0.1350,0.1356,19.67,163,135,19.2,30.4,15841,20.3,100,2.59,49.4,1.8,6.67,OK
clickbench_sf5_q34,clickbench,5,q34,72,0.1400,0.1407,19.84,163,32,30.4,30.8,15841,94.6,95,4.26,48.5,1.8,6.78,OK
clickbench_sf5_q35,clickbench,5,q35,139,0.0710,0.0720,16.04,135,15,31.8,32.8,15841,85.7,87,2.26,48.2,1.8,3.42,OK
clickbench_sf5_q36,clickbench,5,q36,157,0.0380,0.0494,22.73,175,77,24.1,29.9,15841,55.5,100,0.91,48.0,1.8,1.82,OK
clickbench_sf5_q37,clickbench,5,q37,162,0.0450,0.0523,23.37,173,145,19.7,31.0,15841,26.5,100,0.88,49.2,1.8,2.21,OK
clickbench_sf5_q38,clickbench,5,q38,589,0.0090,0.0122,22.11,194,56,23.5,23.7,15841,51.0,51,0.21,48.5,1.8,0.44,OK
clickbench_sf5_q39,clickbench,5,q39,129,0.0070,0.0377,21.42,183,72,22.0,28.3,15841,48.5,100,0.15,48.0,1.8,0.34,OK
clickbench_sf5_q4,clickbench,5,q4,455,0.0210,0.0222,14.17,122,96,16.0,28.2,15841,5.3,100,0.34,47.8,1.8,1.00,OK
clickbench_sf5_q40,clickbench,5,q40,589,0.0110,0.0136,21.97,189,74,23.3,24.7,15841,49.6,53,0.26,48.0,1.8,0.53,OK
clickbench_sf5_q41,clickbench,5,q41,667,0.0110,0.0137,22.84,196,91,22.4,25.4,15841,37.2,55,0.25,47.9,1.8,0.53,OK
clickbench_sf5_q42,clickbench,5,q42,455,0.0150,0.0183,22.00,184,156,19.8,26.9,15841,26.2,77,0.30,48.0,1.8,0.72,OK
