run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf2gb_q2,2gb,q2,59,17.76,0.0,15.0,51.0,1.8
h2o_sf2gb_q2,2gb,q2,172,17.62,0.0,15.0,48.2,1.8
h2o_sf2gb_q2,2gb,q2,327,17.51,0.0,16.0,46.5,1.8
h2o_sf2gb_q2,2gb,q2,474,17.43,0.0,24.0,47.1,1.8
h2o_sf2gb_q2,2gb,q2,599,18.77,0.0,33.0,47.4,1.8
h2o_sf2gb_q2,2gb,q2,704,17.62,0.0,283.0,48.5,1.8
h2o_sf2gb_q2,2gb,q2,809,16.73,0.0,283.0,48.6,1.8
h2o_sf2gb_q2,2gb,q2,912,16.66,0.0,283.0,47.6,1.8
h2o_sf2gb_q2,2gb,q2,1017,16.6,0.0,283.0,48.5,1.8
h2o_sf2gb_q2,2gb,q2,1122,16.47,0.0,283.0,51.1,1.8
h2o_sf2gb_q2,2gb,q2,1225,16.41,0.0,283.0,48.3,1.8
h2o_sf2gb_q2,2gb,q2,1333,16.21,0.0,283.0,48.1,1.8
h2o_sf2gb_q2,2gb,q2,1437,16.2,0.0,283.0,47.5,1.8
h2o_sf2gb_q2,2gb,q2,1543,16.12,0.0,283.0,48.4,1.8
h2o_sf2gb_q2,2gb,q2,1647,16.08,0.0,283.0,47.7,1.8
h2o_sf2gb_q2,2gb,q2,1753,16.08,0.0,283.0,48.1,1.8
h2o_sf2gb_q2,2gb,q2,1858,16.08,0.0,283.0,47.1,1.8
h2o_sf2gb_q2,2gb,q2,1962,16.08,0.0,283.0,47.4,1.8
h2o_sf2gb_q2,2gb,q2,2067,16.08,0.0,283.0,48.5,1.8
h2o_sf2gb_q2,2gb,q2,2172,16.08,0.0,283.0,47.5,1.8
h2o_sf2gb_q2,2gb,q2,2282,16.08,0.0,283.0,49.2,1.8
h2o_sf2gb_q2,2gb,q2,2386,16.08,0.0,283.0,47.2,1.8
h2o_sf2gb_q2,2gb,q2,2492,16.08,0.0,283.0,47.9,1.8
h2o_sf2gb_q2,2gb,q2,2597,16.08,0.0,283.0,49.2,1.8
h2o_sf2gb_q2,2gb,q2,2703,14.95,0.0,283.0,48.2,1.8
h2o_sf2gb_q2,2gb,q2,2809,14.95,0.0,283.0,47.7,1.8
h2o_sf2gb_q2,2gb,q2,2914,14.95,0.0,283.0,47.8,1.8
h2o_sf2gb_q2,2gb,q2,3021,14.95,0.0,283.0,48.1,1.8
h2o_sf2gb_q2,2gb,q2,3125,14.95,0.0,283.0,47.6,1.8
h2o_sf2gb_q2,2gb,q2,3229,14.95,0.0,283.0,47.6,1.8
h2o_sf2gb_q2,2gb,q2,3335,14.95,0.0,283.0,48.5,1.8
h2o_sf2gb_q2,2gb,q2,3440,14.95,0.0,283.0,49.6,1.8
h2o_sf2gb_q2,2gb,q2,3543,14.95,0.0,283.0,47.7,1.8
h2o_sf2gb_q2,2gb,q2,3648,14.96,0.0,283.0,47.3,1.8
h2o_sf2gb_q2,2gb,q2,3753,14.96,0.0,283.0,47.9,1.8
h2o_sf2gb_q2,2gb,q2,3859,14.96,0.0,283.0,47.8,1.8
h2o_sf2gb_q2,2gb,q2,3963,15.02,0.0,283.0,47.0,1.8
h2o_sf2gb_q2,2gb,q2,4068,15.08,0.0,283.0,49.2,1.8
h2o_sf2gb_q2,2gb,q2,4174,15.13,0.0,283.0,47.1,1.8
h2o_sf2gb_q2,2gb,q2,4282,15.19,0.0,283.0,47.7,1.8
h2o_sf2gb_q2,2gb,q2,4386,15.22,0.0,283.0,47.2,1.8
h2o_sf2gb_q2,2gb,q2,4490,15.23,0.0,283.0,48.4,1.8
h2o_sf2gb_q2,2gb,q2,4594,15.27,0.0,283.0,48.8,1.8
h2o_sf2gb_q2,2gb,q2,4697,15.65,0.0,283.0,48.0,1.8
h2o_sf2gb_q2,2gb,q2,4801,15.67,0.0,283.0,47.8,1.8
h2o_sf2gb_q2,2gb,q2,4904,15.68,0.0,283.0,47.6,1.8
h2o_sf2gb_q2,2gb,q2,5008,15.68,0.0,283.0,47.7,1.8
