run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_q1,h2o,2gb,q1,0,,,,0,0,,,,,,,,,,FAIL
h2o_sf2gb_q10,h2o,2gb,q10,0,,,,0,0,,,,,,,,,,FAIL
h2o_sf2gb_q2,h2o,2gb,q2,148,0.0670,0.0681,17.24,146,48,22.0,31.6,15841,51.8,100,1.47,48.0,1.8,3.22,OK
h2o_sf2gb_q3,h2o,2gb,q3,145,0.0680,0.0698,17.10,146,135,18.6,35.8,15841,28.5,100,1.26,48.0,1.8,3.26,OK
h2o_sf2gb_q4,h2o,2gb,q4,193,0.0510,0.0524,16.15,137,29,23.2,31.6,15837,14.0,100,1.18,48.4,1.8,2.47,OK
h2o_sf2gb_q5,h2o,2gb,q5,154,0.0630,0.0658,16.56,140,24,30.1,35.4,15837,77.5,94,1.90,47.8,1.8,3.01,OK
h2o_sf2gb_q6,h2o,2gb,q6,83,0.1200,0.1232,18.43,154,39,29.4,32.5,15839,77.3,97,3.52,47.9,1.8,5.75,OK
h2o_sf2gb_q7,h2o,2gb,q7,130,0.0750,0.0776,17.04,141,43,23.0,34.4,15839,50.8,96,1.73,48.2,1.8,3.62,OK
h2o_sf2gb_q8,h2o,2gb,q8,113,0.0880,0.0899,17.25,147,147,18.6,34.7,15841,23.6,100,1.64,48.5,1.8,4.27,OK
h2o_sf2gb_q9,h2o,2gb,q9,32,0.3130,0.3144,24.56,185,185,21.1,32.9,15829,35.2,100,6.59,48.0,1.8,15.04,OK
