run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,gpu,100,0,0.2,10.52,93,28,128.2,171.9,15691,59.7,94,0.0,54.7,1.8,0.0,OK
clickbench_sf5_q1,clickbench,5,q1,gpu,100,0,0.6,10.59,93,23,142.7,168.9,15693,77.7,92,0.0,54.2,1.8,0.0,OK
clickbench_sf5_q2,clickbench,5,q2,gpu,1250,7,7.8,41.63,385,307,141.4,146.0,15693,94.4,95,1.0,54.0,1.8,0.4,OK
clickbench_sf5_q3,clickbench,5,q3,gpu,1429,6,6.5,44.79,410,341,144.7,155.0,15693,95.2,96,0.9,54.0,1.8,0.3,OK
clickbench_sf5_q4,clickbench,5,q4,gpu,10000,1,1.3,209.13,1889,1811,178.3,181.2,15693,93.6,95,0.2,53.9,1.8,0.1,OK
clickbench_sf5_q5,clickbench,5,q5,gpu,10000,1,1.2,207.52,1870,1799,179.1,181.3,15693,92.6,94,0.2,53.9,1.8,0.1,OK
clickbench_sf5_q6,clickbench,5,q6,gpu,1250,8,8.3,42.65,392,323,142.6,152.1,15693,95.2,96,1.1,54.1,1.8,0.4,OK
clickbench_sf5_q7,clickbench,5,q7,gpu,100,0,1.4,10.81,95,28,130.9,175.4,15695,72.9,93,0.0,54.7,1.8,0.0,OK
clickbench_sf5_q8,clickbench,5,q8,gpu,271,37,37.7,24.12,225,155,185.1,192.5,15691,97.6,98,6.8,54.2,1.8,2.0,OK
clickbench_sf5_q9,clickbench,5,q9,gpu,271,37,38.7,24.31,227,156,184.5,191.8,15693,96.9,98,6.8,54.2,1.8,2.0,OK
clickbench_sf5_q10,clickbench,5,q10,gpu,2000,5,5.1,57.20,521,450,157.7,160.2,15691,90.5,91,0.8,53.9,1.8,0.3,OK
clickbench_sf5_q11,clickbench,5,q11,gpu,1429,7,7.1,45.94,422,350,154.4,157.3,15691,91.0,92,1.1,54.0,1.8,0.4,OK
clickbench_sf5_q12,clickbench,5,q12,gpu,164,61,63.1,22.73,216,149,84.1,106.5,15697,29.7,63,5.1,54.4,1.8,3.3,OK
clickbench_sf5_q13,clickbench,5,q13,gpu,113,88,90.8,21.45,201,133,98.4,109.8,15693,43.4,51,8.7,54.3,1.8,4.8,OK
