run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q1,tpch,1,q1,gpu,2000,5,5.1,28.60,267,194,173.1,176.3,6565,78.9,79,0.9,54.1,1.8,0.3,OK
tpch_sf1_q2,tpch,1,q2,gpu,1667,6,6.1,24.80,236,175,72.3,74.5,3451,24.3,26,0.4,54.2,1.8,0.3,OK
tpch_sf1_q3,tpch,1,q3,gpu,3334,3,3.1,40.31,375,308,144.2,147.6,6565,75.2,77,0.4,54.0,1.8,0.2,OK
tpch_sf1_q4,tpch,1,q4,gpu,5000,2,2.0,47.89,445,373,159.5,161.8,6563,77.3,78,0.3,54.0,1.8,0.1,OK
tpch_sf1_q5,tpch,1,q5,gpu,2500,4,4.1,36.07,339,267,145.1,147.8,6563,63.9,65,0.6,54.0,1.8,0.2,OK
tpch_sf1_q6,tpch,1,q6,gpu,10000,1,1.2,68.40,646,576,162.8,165.1,6561,77.1,80,0.2,54.0,1.8,0.1,OK
tpch_sf1_q7,tpch,1,q7,gpu,2500,4,4.2,39.38,366,295,125.8,128.0,6563,55.0,56,0.5,54.1,1.8,0.2,OK
tpch_sf1_q8,tpch,1,q8,gpu,2500,4,4.1,38.70,356,282,129.8,131.4,6563,56.4,59,0.5,54.1,1.8,0.2,OK
tpch_sf1_q9,tpch,1,q9,gpu,2000,5,5.1,33.43,308,243,154.8,159.2,6565,71.7,72,0.8,54.1,1.8,0.3,OK
tpch_sf1_q10,tpch,1,q10,gpu,2500,4,4.1,34.86,324,253,131.4,133.8,6565,60.8,62,0.5,54.1,1.8,0.2,OK
tpch_sf1_q11,tpch,1,q11,gpu,2500,4,4.3,25.22,239,165,114.5,116.6,3453,36.5,38,0.5,54.2,1.8,0.2,OK
tpch_sf1_q12,tpch,1,q12,gpu,2500,3,4.1,34.40,323,257,133.7,137.3,6563,60.0,61,0.4,54.1,1.8,0.2,OK
tpch_sf1_q13,tpch,1,q13,gpu,667,15,15.4,19.82,187,115,227.7,235.4,3453,86.6,87,3.4,54.3,1.8,0.8,OK
tpch_sf1_q14,tpch,1,q14,gpu,3334,3,3.1,37.37,352,275,130.0,131.8,6561,59.0,61,0.4,54.1,1.8,0.2,OK
tpch_sf1_q15,tpch,1,q15,gpu,3334,3,3.2,37.20,351,278,127.7,130.2,6567,56.7,58,0.4,54.1,1.8,0.2,OK
tpch_sf1_q16,tpch,1,q16,gpu,477,20,20.7,19.42,184,111,95.2,97.3,3449,79.1,81,1.9,54.3,1.8,1.1,OK
tpch_sf1_q17,tpch,1,q17,gpu,1667,6,6.6,29.20,277,202,113.9,115.3,6567,47.0,49,0.7,54.2,1.8,0.3,OK
tpch_sf1_q18,tpch,1,q18,gpu,2000,5,5.1,30.47,281,207,149.8,153.0,6565,74.6,76,0.7,54.1,1.8,0.3,OK
tpch_sf1_q19,tpch,1,q19,gpu,527,19,19.3,22.44,212,139,196.7,200.2,6561,75.4,78,3.7,54.2,1.8,1.0,OK
tpch_sf1_q20,tpch,1,q20,gpu,1667,6,6.9,31.07,293,219,117.6,119.4,6563,52.7,55,0.7,54.1,1.8,0.3,OK
tpch_sf1_q21,tpch,1,q21,gpu,162,62,64.3,19.72,184,113,202.0,210.5,12791,89.3,91,12.5,54.2,1.8,3.4,OK
tpch_sf1_q22,tpch,1,q22,gpu,2000,5,6.1,29.92,287,214,75.3,77.0,3453,18.3,19,0.4,54.2,1.8,0.3,OK
