run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,5000,0.0010,0.0018,21.53,211,9,51.4,51.7,283,1.0,1,0.05,53.8,1.8,0.05,OK
clickbench_sf5_q1,clickbench,5,q1,3334,0.0030,0.0037,24.95,243,128,53.1,53.5,15841,1.5,5,0.16,53.9,1.8,0.16,OK
clickbench_sf5_q10,clickbench,5,q10,1000,0.0030,0.0058,18.83,180,62,63.3,67.1,15841,19.4,25,0.19,53.9,1.8,0.16,OK
clickbench_sf5_q11,clickbench,5,q11,834,0.0030,0.0070,18.76,181,67,66.1,71.2,15841,27.3,48,0.20,53.9,1.8,0.16,OK
clickbench_sf5_q12,clickbench,5,q12,1112,0.0030,0.0055,19.20,185,72,70.6,77.1,15841,20.3,37,0.21,54.2,1.8,0.16,OK
clickbench_sf5_q13,clickbench,5,q13,278,0.0030,0.0149,17.29,166,46,104.4,128.0,15841,65.6,87,0.31,55.5,1.8,0.17,OK
clickbench_sf5_q14,clickbench,5,q14,1000,0.0040,0.0060,19.01,183,183,58.9,78.7,15841,8.3,38,0.24,54.0,1.8,0.22,OK
clickbench_sf5_q15,clickbench,5,q15,1667,0.0060,0.0065,12.90,122,91,51.4,55.7,15815,1.5,29,0.31,53.8,1.8,0.32,OK
clickbench_sf5_q16,clickbench,5,q16,910,0.0090,0.0098,13.38,126,11,57.4,77.8,15823,11.6,48,0.52,60.7,1.9,0.55,OK
clickbench_sf5_q17,clickbench,5,q17,1250,0.0070,0.0082,13.41,126,126,52.4,73.2,15807,0.0,0,0.37,53.8,1.8,0.38,OK
clickbench_sf5_q18,clickbench,5,q18,625,0.0150,0.0160,13.77,130,32,59.4,94.4,15841,19.2,55,0.89,53.8,1.8,0.81,OK
clickbench_sf5_q19,clickbench,5,q19,3334,0.0020,0.0032,23.15,225,202,54.3,58.5,15841,2.3,9,0.11,53.9,1.8,0.11,OK
clickbench_sf5_q2,clickbench,5,q2,2500,0.0040,0.0044,12.81,121,1,51.4,51.4,459,9.0,9,0.21,53.5,1.8,0.21,OK
clickbench_sf5_q20,clickbench,5,q20,1429,0.0060,0.0073,24.16,233,110,130.2,138.2,15841,46.9,49,0.78,53.9,1.8,0.32,OK
clickbench_sf5_q21,clickbench,5,q21,910,0.0080,0.0093,22.73,219,86,119.8,126.5,15841,41.6,46,0.96,53.9,1.8,0.43,OK
clickbench_sf5_q22,clickbench,5,q22,435,0.0130,0.0161,22.92,222,65,137.9,146.5,15841,58.2,61,1.79,53.8,1.8,0.70,OK
clickbench_sf5_q23,clickbench,5,q23,834,0.0070,0.0092,23.11,224,77,115.3,122.3,15841,37.9,42,0.81,53.8,1.8,0.38,OK
clickbench_sf5_q24,clickbench,5,q24,1429,0.0040,0.0059,21.32,205,205,56.3,64.0,15841,3.8,10,0.23,53.9,1.8,0.22,OK
clickbench_sf5_q25,clickbench,5,q25,345,0.0030,0.0112,16.84,161,36,102.8,120.2,15841,67.3,85,0.31,54.1,1.8,0.16,OK
clickbench_sf5_q26,clickbench,5,q26,589,0.0030,0.0075,17.41,168,47,89.0,98.5,15841,47.4,71,0.27,74.0,1.8,0.22,OK
clickbench_sf5_q27,clickbench,5,q27,834,0.0050,0.0074,20.24,195,58,97.9,107.5,15841,32.4,41,0.49,53.8,1.8,0.27,OK
clickbench_sf5_q28,clickbench,5,q28,0,,,,0,0,,,,,,,,,,FALLBACK
clickbench_sf5_q29,clickbench,5,q29,136,0.0730,0.0762,15.37,147,117,52.1,55.5,15841,1.3,9,3.80,53.8,1.8,3.93,OK
clickbench_sf5_q3,clickbench,5,q3,3334,0.0030,0.0037,12.89,120,1,53.3,53.3,5583,3.0,3,0.16,52.8,1.8,0.16,OK
clickbench_sf5_q30,clickbench,5,q30,1250,0.0040,0.0059,20.68,200,108,61.5,68.5,15841,8.7,15,0.25,53.8,1.8,0.22,OK
clickbench_sf5_q31,clickbench,5,q31,1250,0.0040,0.0059,20.69,200,177,58.5,69.6,15841,5.8,13,0.23,53.8,1.8,0.22,OK
clickbench_sf5_q32,clickbench,5,q32,715,0.0130,0.0139,13.40,125,125,53.3,91.0,15825,0.0,0,0.69,53.8,1.8,0.70,OK
clickbench_sf5_q33,clickbench,5,q33,527,0.0130,0.0143,14.33,136,38,60.0,95.6,15841,23.9,69,0.78,57.8,1.9,0.75,OK
clickbench_sf5_q34,clickbench,5,q34,527,0.0190,0.0198,14.58,137,137,53.8,96.4,15841,2.4,73,1.02,54.0,1.8,1.03,OK
clickbench_sf5_q35,clickbench,5,q35,1000,0.0100,0.0110,13.06,122,99,52.8,77.6,15813,0.5,7,0.53,53.9,1.8,0.54,OK
clickbench_sf5_q36,clickbench,5,q36,1000,0.0060,0.0080,22.14,214,86,81.2,85.4,15841,26.7,31,0.49,54.1,1.8,0.32,OK
clickbench_sf5_q37,clickbench,5,q37,1000,0.0060,0.0079,21.98,213,77,86.3,88.5,15841,26.7,29,0.52,53.9,1.8,0.32,OK
clickbench_sf5_q38,clickbench,5,q38,1250,0.0040,0.0062,21.86,213,102,57.5,59.9,15841,5.8,8,0.23,53.9,1.8,0.22,OK
clickbench_sf5_q39,clickbench,5,q39,589,0.0060,0.0087,20.67,200,78,61.0,76.5,15841,10.3,39,0.37,54.3,1.8,0.33,OK
clickbench_sf5_q4,clickbench,5,q4,2000,0.0040,0.0049,12.71,119,96,51.9,61.0,15759,2.9,24,0.21,53.9,1.8,0.22,OK
clickbench_sf5_q40,clickbench,5,q40,1250,0.0050,0.0071,21.96,213,92,58.7,60.1,15841,5.6,6,0.29,53.9,1.8,0.27,OK
clickbench_sf5_q41,clickbench,5,q41,1429,0.0050,0.0061,21.62,209,85,61.0,62.1,15841,7.3,8,0.30,53.9,1.8,0.27,OK
clickbench_sf5_q42,clickbench,5,q42,1250,0.0060,0.0073,22.02,214,86,64.2,65.0,15841,9.3,10,0.39,53.9,1.8,0.32,OK
clickbench_sf5_q5,clickbench,5,q5,257,0.0330,0.0349,14.18,134,20,88.1,139.1,15839,17.5,22,2.91,53.6,1.8,1.77,OK
clickbench_sf5_q6,clickbench,5,q6,2000,0.0040,0.0048,12.73,120,1,52.6,52.6,5583,2.0,2,0.21,52.4,1.8,0.21,OK
clickbench_sf5_q7,clickbench,5,q7,2000,0.0030,0.0042,21.23,206,84,53.9,55.0,15841,2.1,3,0.16,53.9,1.8,0.16,OK
clickbench_sf5_q8,clickbench,5,q8,244,0.0410,0.0416,14.25,135,11,157.8,178.4,15841,89.5,90,6.47,53.6,1.8,2.20,OK
clickbench_sf5_q9,clickbench,5,q9,228,0.0440,0.0444,14.40,138,16,142.3,173.0,15841,82.6,87,6.26,53.6,1.8,2.36,OK
