run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf2gb_q1,2gb,q1,53,51.75,8.0,15.0,53.5,1.8
h2o_sf2gb_q1,2gb,q1,153,51.72,8.0,15.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,354,51.94,8.0,18.0,53.0,1.8
h2o_sf2gb_q1,2gb,q1,456,52.02,0.0,43.0,54.6,1.8
h2o_sf2gb_q1,2gb,q1,556,52.07,0.0,283.0,54.0,1.8
h2o_sf2gb_q1,2gb,q1,656,52.06,0.0,283.0,54.8,1.8
h2o_sf2gb_q1,2gb,q1,754,52.05,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,852,51.43,0.0,283.0,54.8,1.8
h2o_sf2gb_q1,2gb,q1,952,51.37,0.0,283.0,54.2,1.8
h2o_sf2gb_q1,2gb,q1,1051,51.24,0.0,283.0,54.8,1.8
h2o_sf2gb_q1,2gb,q1,1148,51.24,0.0,283.0,54.3,1.8
h2o_sf2gb_q1,2gb,q1,1247,51.2,0.0,283.0,54.1,1.8
h2o_sf2gb_q1,2gb,q1,1345,51.2,0.0,283.0,54.5,1.8
h2o_sf2gb_q1,2gb,q1,1444,51.07,0.0,283.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,1541,50.9,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,1644,50.81,0.0,283.0,54.6,1.8
h2o_sf2gb_q1,2gb,q1,1742,50.8,0.0,283.0,54.1,1.8
h2o_sf2gb_q1,2gb,q1,1840,50.77,0.0,283.0,54.2,1.8
h2o_sf2gb_q1,2gb,q1,1938,50.75,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,2036,50.72,0.0,283.0,54.5,1.8
h2o_sf2gb_q1,2gb,q1,2134,50.69,0.0,283.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,2238,50.68,0.0,283.0,54.2,1.8
h2o_sf2gb_q1,2gb,q1,2338,50.63,0.0,283.0,54.2,1.8
h2o_sf2gb_q1,2gb,q1,2438,50.61,0.0,283.0,53.6,1.8
h2o_sf2gb_q1,2gb,q1,2538,50.61,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,2640,50.59,0.0,283.0,53.4,1.8
h2o_sf2gb_q1,2gb,q1,2741,50.6,0.0,283.0,53.2,1.8
h2o_sf2gb_q1,2gb,q1,2840,50.62,0.0,283.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,2939,50.65,0.0,283.0,53.5,1.8
h2o_sf2gb_q1,2gb,q1,3040,50.67,0.0,283.0,53.4,1.8
h2o_sf2gb_q1,2gb,q1,3138,50.69,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,3242,50.71,0.0,283.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,3339,50.71,0.0,283.0,54.0,1.8
h2o_sf2gb_q1,2gb,q1,3438,50.74,0.0,283.0,54.1,1.8
h2o_sf2gb_q1,2gb,q1,3538,50.78,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,3640,50.79,0.0,283.0,53.7,1.8
h2o_sf2gb_q1,2gb,q1,3742,50.83,0.0,283.0,53.3,1.8
h2o_sf2gb_q1,2gb,q1,3842,50.84,0.0,283.0,54.2,1.8
h2o_sf2gb_q1,2gb,q1,3940,50.85,0.0,283.0,53.1,1.8
h2o_sf2gb_q1,2gb,q1,4038,50.85,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,4137,50.87,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,4242,50.9,0.0,283.0,53.5,1.8
h2o_sf2gb_q1,2gb,q1,4344,50.94,0.0,283.0,54.0,1.8
h2o_sf2gb_q1,2gb,q1,4443,50.97,0.0,283.0,54.5,1.8
h2o_sf2gb_q1,2gb,q1,4541,50.99,0.0,283.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,4641,51.03,0.0,283.0,53.4,1.8
h2o_sf2gb_q1,2gb,q1,4743,51.04,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,4843,51.06,0.0,283.0,53.6,1.8
h2o_sf2gb_q1,2gb,q1,4941,51.07,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,5039,51.1,0.0,283.0,53.4,1.8
h2o_sf2gb_q1,2gb,q1,5140,51.09,0.0,283.0,54.1,1.8
h2o_sf2gb_q1,2gb,q1,5240,51.09,0.0,283.0,53.3,1.8
h2o_sf2gb_q1,2gb,q1,5340,51.1,0.0,283.0,54.5,1.8
h2o_sf2gb_q1,2gb,q1,5436,51.09,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,5531,51.07,0.0,283.0,53.0,1.8
h2o_sf2gb_q1,2gb,q1,5628,51.06,0.0,283.0,54.8,1.8
h2o_sf2gb_q1,2gb,q1,5729,51.02,0.0,283.0,54.3,1.8
h2o_sf2gb_q1,2gb,q1,5828,51.0,0.0,283.0,54.0,1.8
h2o_sf2gb_q1,2gb,q1,5925,50.96,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,6023,50.93,0.0,283.0,53.7,1.8
h2o_sf2gb_q1,2gb,q1,6120,50.9,0.0,283.0,54.0,1.8
h2o_sf2gb_q1,2gb,q1,6217,50.85,0.0,283.0,53.4,1.8
h2o_sf2gb_q1,2gb,q1,6316,50.83,0.0,283.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,6413,50.82,0.0,283.0,53.4,1.8
h2o_sf2gb_q1,2gb,q1,6510,50.79,0.0,283.0,54.1,1.8
h2o_sf2gb_q1,2gb,q1,6607,50.78,0.0,283.0,53.7,1.8
h2o_sf2gb_q1,2gb,q1,6704,50.75,0.0,283.0,54.1,1.8
h2o_sf2gb_q1,2gb,q1,6800,50.74,0.0,283.0,54.6,1.8
h2o_sf2gb_q1,2gb,q1,6899,50.72,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,6996,50.72,0.0,283.0,53.1,1.8
h2o_sf2gb_q1,2gb,q1,7092,50.72,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,7188,50.7,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,7285,50.7,0.0,283.0,54.2,1.8
h2o_sf2gb_q1,2gb,q1,7383,50.68,0.0,283.0,53.2,1.8
h2o_sf2gb_q1,2gb,q1,7482,50.67,0.0,283.0,53.7,1.8
h2o_sf2gb_q1,2gb,q1,7579,50.65,0.0,283.0,53.6,1.8
h2o_sf2gb_q1,2gb,q1,7676,50.64,0.0,283.0,53.8,1.8
h2o_sf2gb_q1,2gb,q1,7773,50.62,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,7871,50.61,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,7968,50.61,0.0,283.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,8064,50.59,0.0,283.0,53.7,1.8
h2o_sf2gb_q1,2gb,q1,8161,50.59,0.0,283.0,54.0,1.8
h2o_sf2gb_q1,2gb,q1,8258,50.59,0.0,283.0,53.6,1.8
h2o_sf2gb_q1,2gb,q1,8354,50.56,0.0,283.0,53.9,1.8
h2o_sf2gb_q1,2gb,q1,8700,50.53,0.0,291.0,55.1,1.8
h2o_sf2gb_q1,2gb,q1,8813,50.63,0.0,303.0,53.2,1.8
h2o_sf2gb_q1,2gb,q1,8911,50.68,0.0,15669.0,54.4,1.8
h2o_sf2gb_q1,2gb,q1,9007,50.82,8.0,15669.0,53.3,1.8
h2o_sf2gb_q1,2gb,q1,9104,50.82,8.0,15669.0,54.0,1.8
