run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_q1,h2o,2gb,q1,1429,0.0060,0.0072,13.71,131,103,51.7,70.8,15839,1.4,24,0.31,54.0,1.8,0.32,OK
h2o_sf2gb_q10,h2o,2gb,q10,556,0.0170,0.0177,15.89,151,33,65.7,130.9,15823,22.2,65,1.12,53.9,1.8,0.92,OK
h2o_sf2gb_q2,h2o,2gb,q2,1250,0.0080,0.0086,14.23,134,111,53.0,80.4,15817,2.8,26,0.42,53.9,1.8,0.43,OK
h2o_sf2gb_q3,h2o,2gb,q3,910,0.0110,0.0115,14.27,133,11,73.1,88.7,15839,60.0,60,0.80,53.8,1.8,0.59,OK
h2o_sf2gb_q4,h2o,2gb,q4,1429,0.0070,0.0078,13.63,129,129,52.3,71.2,15805,0.0,0,0.37,54.1,1.8,0.38,OK
h2o_sf2gb_q5,h2o,2gb,q5,1000,0.0100,0.0106,13.71,129,6,63.1,85.3,15811,33.3,55,0.63,56.9,1.8,0.57,OK
h2o_sf2gb_q6,h2o,2gb,q6,834,0.0120,0.0122,13.82,131,4,72.0,85.5,15835,40.0,40,0.86,53.6,1.8,0.64,OK
h2o_sf2gb_q7,h2o,2gb,q7,1250,0.0080,0.0086,13.88,130,11,70.3,83.3,15829,26.0,26,0.56,53.8,1.8,0.43,OK
h2o_sf2gb_q8,h2o,2gb,q8,667,0.0140,0.0153,13.77,131,6,71.9,91.0,15841,17.8,62,1.01,53.8,1.8,0.75,OK
h2o_sf2gb_q9,h2o,2gb,q9,371,0.0260,0.0272,14.66,141,38,67.0,130.7,15839,26.9,64,1.74,53.8,1.8,1.40,OK
