run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf2_q01,2,q01,53,51.85,0.0,15.0,53.6,1.8
tpch_sf2_q01,2,q01,153,51.77,0.0,15.0,53.7,1.8
tpch_sf2_q01,2,q01,268,51.75,0.0,16.0,54.2,1.8
tpch_sf2_q01,2,q01,409,51.88,0.0,26.0,54.3,1.8
tpch_sf2_q01,2,q01,509,52.14,0.0,47.0,53.9,1.8
tpch_sf2_q01,2,q01,609,52.12,0.0,283.0,53.3,1.8
tpch_sf2_q01,2,q01,709,52.09,0.0,283.0,53.4,1.8
tpch_sf2_q01,2,q01,808,52.09,0.0,283.0,53.8,1.8
tpch_sf2_q01,2,q01,911,51.53,0.0,283.0,53.6,1.8
tpch_sf2_q01,2,q01,1013,51.47,0.0,283.0,53.6,1.8
tpch_sf2_q01,2,q01,1112,51.35,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,1213,51.35,0.0,283.0,53.4,1.8
tpch_sf2_q01,2,q01,1312,51.29,0.0,283.0,53.3,1.8
tpch_sf2_q01,2,q01,1410,51.14,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,1511,50.93,0.0,283.0,54.3,1.8
tpch_sf2_q01,2,q01,1612,50.82,0.0,283.0,54.1,1.8
tpch_sf2_q01,2,q01,1710,50.81,0.0,283.0,53.9,1.8
tpch_sf2_q01,2,q01,1812,50.76,0.0,283.0,53.5,1.8
tpch_sf2_q01,2,q01,1910,50.73,0.0,283.0,54.0,1.8
tpch_sf2_q01,2,q01,2011,50.68,0.0,283.0,54.0,1.8
tpch_sf2_q01,2,q01,2110,50.66,0.0,283.0,53.4,1.8
tpch_sf2_q01,2,q01,2210,50.62,0.0,283.0,53.2,1.8
tpch_sf2_q01,2,q01,2308,50.6,0.0,283.0,53.6,1.8
tpch_sf2_q01,2,q01,2407,50.57,0.0,283.0,53.1,1.8
tpch_sf2_q01,2,q01,2507,50.56,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,2605,50.51,0.0,283.0,54.7,1.8
tpch_sf2_q01,2,q01,2706,50.5,0.0,283.0,53.5,1.8
tpch_sf2_q01,2,q01,2805,50.48,0.0,283.0,54.0,1.8
tpch_sf2_q01,2,q01,2903,50.47,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,3004,50.45,0.0,283.0,53.4,1.8
tpch_sf2_q01,2,q01,3102,50.45,0.0,283.0,54.0,1.8
tpch_sf2_q01,2,q01,3205,50.46,0.0,283.0,53.5,1.8
tpch_sf2_q01,2,q01,3303,50.49,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,3402,50.5,0.0,283.0,54.0,1.8
tpch_sf2_q01,2,q01,3502,50.51,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,3601,50.51,0.0,283.0,53.4,1.8
tpch_sf2_q01,2,q01,3700,50.52,0.0,283.0,54.6,1.8
tpch_sf2_q01,2,q01,3801,50.52,0.0,283.0,54.1,1.8
tpch_sf2_q01,2,q01,3903,50.53,0.0,283.0,53.8,1.8
tpch_sf2_q01,2,q01,4004,50.55,0.0,283.0,54.1,1.8
tpch_sf2_q01,2,q01,4106,50.56,0.0,283.0,53.8,1.8
tpch_sf2_q01,2,q01,4205,50.57,0.0,283.0,53.4,1.8
tpch_sf2_q01,2,q01,4305,50.57,0.0,283.0,53.5,1.8
tpch_sf2_q01,2,q01,4406,50.58,0.0,283.0,53.3,1.8
tpch_sf2_q01,2,q01,4508,50.59,0.0,283.0,52.9,1.8
tpch_sf2_q01,2,q01,4608,50.63,0.0,283.0,53.9,1.8
tpch_sf2_q01,2,q01,4708,50.65,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,4807,50.69,0.0,283.0,53.5,1.8
tpch_sf2_q01,2,q01,4907,50.71,0.0,283.0,54.4,1.8
tpch_sf2_q01,2,q01,5006,50.71,0.0,283.0,54.1,1.8
tpch_sf2_q01,2,q01,5105,50.74,0.0,283.0,52.9,1.8
tpch_sf2_q01,2,q01,5205,50.73,0.0,283.0,53.9,1.8
tpch_sf2_q01,2,q01,5303,50.76,0.0,283.0,53.8,1.8
tpch_sf2_q01,2,q01,5401,50.8,0.0,283.0,53.8,1.8
tpch_sf2_q01,2,q01,5503,50.82,0.0,283.0,53.5,1.8
tpch_sf2_q01,2,q01,5602,50.86,0.0,283.0,53.3,1.8
tpch_sf2_q01,2,q01,5702,50.89,0.0,283.0,53.9,1.8
tpch_sf2_q01,2,q01,5800,50.94,0.0,283.0,53.6,1.8
tpch_sf2_q01,2,q01,5896,50.97,0.0,283.0,53.4,1.8
tpch_sf2_q01,2,q01,5994,51.02,0.0,283.0,54.5,1.8
tpch_sf2_q01,2,q01,6091,51.07,0.0,283.0,54.4,1.8
tpch_sf2_q01,2,q01,6191,51.12,0.0,283.0,53.8,1.8
tpch_sf2_q01,2,q01,6289,51.21,0.0,283.0,54.3,1.8
tpch_sf2_q01,2,q01,6389,51.22,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,6487,51.26,0.0,283.0,53.7,1.8
tpch_sf2_q01,2,q01,6585,51.3,0.0,283.0,53.8,1.8
tpch_sf2_q01,2,q01,6684,51.32,0.0,283.0,54.0,1.8
tpch_sf2_q01,2,q01,6783,51.34,0.0,283.0,54.1,1.8
tpch_sf2_q01,2,q01,6882,51.36,0.0,283.0,53.9,1.8
