run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf2_q01,tpch,2,q01,400,0.0050,0.0116,18.44,177,60,92.8,133.3,15841,23.4,46,0.46,54.3,1.8,0.27,OK
tpch_sf2_q02,tpch,2,q02,371,0.0180,0.0210,20.68,201,87,56.1,57.6,15841,4.3,6,1.01,53.8,1.8,0.97,OK
tpch_sf2_q03,tpch,2,q03,770,0.0080,0.0100,21.01,204,74,66.3,68.8,15841,10.9,13,0.53,53.8,1.8,0.43,OK
tpch_sf2_q04,tpch,2,q04,834,0.0070,0.0093,20.96,203,104,66.3,74.7,15841,9.5,17,0.46,-11770.1,1.8,-82.39,OK
tpch_sf2_q05,tpch,2,q05,556,0.0110,0.0135,20.73,200,169,54.0,62.0,15841,3.2,28,0.59,53.8,1.8,0.59,OK
tpch_sf2_q06,tpch,2,q06,1429,0.0060,0.0068,22.70,219,93,91.6,93.2,15841,26.8,28,0.55,53.9,1.8,0.32,OK
tpch_sf2_q07,tpch,2,q07,435,0.0150,0.0173,20.88,201,117,57.3,61.9,15841,6.0,10,0.86,54.0,1.8,0.81,OK
tpch_sf2_q08,tpch,2,q08,435,0.0160,0.0176,21.40,208,182,53.2,58.1,15841,2.9,11,0.85,53.9,1.8,0.86,OK
tpch_sf2_q09,tpch,2,q09,477,0.0120,0.0147,20.51,198,66,68.8,73.1,15841,9.6,17,0.83,53.8,1.8,0.65,OK
tpch_sf2_q10,tpch,2,q10,500,0.0100,0.0135,20.57,198,91,62.0,67.5,15841,8.7,14,0.62,53.9,1.8,0.54,OK
tpch_sf2_q11,tpch,2,q11,1429,0.0050,0.0073,33.56,331,301,53.6,56.3,15841,1.6,9,0.27,53.8,1.8,0.27,OK
tpch_sf2_q12,tpch,2,q12,667,0.0070,0.0104,20.49,197,82,68.2,73.9,15841,11.4,15,0.48,54.0,1.8,0.38,OK
tpch_sf2_q13,tpch,2,q13,770,0.0120,0.0131,13.48,128,2,51.2,51.2,461,9.0,9,0.61,53.8,1.8,0.65,OK
tpch_sf2_q14,tpch,2,q14,1112,0.0050,0.0074,21.47,208,179,56.4,63.3,15841,3.5,9,0.28,54.0,1.8,0.27,OK
tpch_sf2_q15,tpch,2,q15,770,0.0070,0.0098,20.73,201,91,58.7,60.8,15841,5.9,10,0.41,53.9,1.8,0.38,OK
tpch_sf2_q16,tpch,2,q16,323,0.0080,0.0145,17.55,169,47,67.2,70.6,15841,26.9,46,0.54,53.9,1.8,0.43,OK
tpch_sf2_q17,tpch,2,q17,625,0.0070,0.0102,19.66,189,74,70.6,80.5,15841,12.6,33,0.49,54.2,1.8,0.38,OK
tpch_sf2_q18,tpch,2,q18,477,0.0140,0.0154,20.46,198,81,96.8,104.6,15841,36.0,39,1.36,53.8,1.8,0.75,OK
tpch_sf2_q19,tpch,2,q19,589,0.0080,0.0113,21.11,204,181,57.7,70.4,15841,6.6,44,0.46,54.0,1.8,0.43,OK
tpch_sf2_q20,tpch,2,q20,500,0.0130,0.0152,20.93,203,81,59.6,60.9,15841,8.9,13,0.77,53.8,1.8,0.70,OK
tpch_sf2_q21,tpch,2,q21,313,0.0150,0.0186,19.08,182,66,71.3,77.3,15841,14.3,27,1.07,53.8,1.8,0.81,OK
tpch_sf2_q22,tpch,2,q22,715,0.0100,0.0118,21.41,207,87,56.1,57.7,15841,3.6,5,0.56,53.8,1.8,0.54,OK
