config,cpu_freq_khz,gpu_clk,engine,avg_cpu_dram_w,avg_cpu_pkg_w,avg_gpu_util,avg_ms,avg_power_w,avg_s,benchmark,cpu_energy_j,elapsed_s,energy_j,gpu_energy_j,max_gpu_util,max_mem_mb,max_power_w,min_ms,min_s,n_reps,num_samples,num_steady_samples,query,run_id,sf,status,storage
baseline,4000000,auto,maximus_gpu,1.8,107.9,96.3,0.1,165.1,,clickbench,0.0,5.04,0.0,,97,15691,177.4,0,,100,61,23,q0,clickbench_sf5_q0,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.5,38.5,0.2,103.5,,clickbench,0.0,5.07,0.0,,96,15693,181.4,0,,100,62,61,q1,clickbench_sf5_q1,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.4,97.3,7.1,145.6,,clickbench,0.8,39.79,1.0,,98,15693,157.7,7,,1429,494,455,q2,clickbench_sf5_q2,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.2,97.3,6.2,149.3,,clickbench,0.6,44.45,0.9,,98,15693,156.9,6,,1667,542,502,q3,clickbench_sf5_q3,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,96.6,1.1,183.4,,clickbench,0.1,197.89,0.2,,97,15693,185.6,1,,10000,2351,2307,q4,clickbench_sf5_q4,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,95.2,1.0,183.3,,clickbench,0.0,194.39,0.0,,97,15693,187.3,0,,10000,2298,2294,q5,clickbench_sf5_q5,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.0,97.9,8.0,146.9,,clickbench,0.9,36.37,1.2,,98,15693,162.7,8,,1250,456,410,q6,clickbench_sf5_q6,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,97.0,0.4,169.0,,clickbench,0.0,5.11,0.0,,97,15695,182.3,0,,100,62,23,q7,clickbench_sf5_q7,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,88.7,37.1,171.4,,clickbench,3.9,18.21,6.2,,99,15691,194.7,36,,271,234,233,q8,clickbench_sf5_q8,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.4,99.0,37.3,192.3,,clickbench,4.0,18.35,7.1,,99,15693,194.9,37,,271,235,194,q9,clickbench_sf5_q9,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,91.4,4.0,161.5,,clickbench,0.4,60.08,0.6,,99,15691,172.1,4,,2500,731,726,q10,clickbench_sf5_q10,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.5,96.5,6.0,163.1,,clickbench,0.7,44.03,1.0,,97,15691,168.6,6,,1667,531,485,q11,clickbench_sf5_q11,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,46.7,18.1,119.3,,clickbench,1.8,24.15,2.0,,87,15697,142.3,17,,556,316,315,q12,clickbench_sf5_q12,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,75.1,45.3,132.8,,clickbench,4.9,17.69,6.0,,87,15693,146.3,45,,223,230,192,q13,clickbench_sf5_q13,5,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.0,52.1,18.6,117.1,,clickbench,1.9,23.50,2.1,,62,15697,141.6,18,,527,302,299,q14,clickbench_sf5_q14,5,OK,gpu
