run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q1,tpch,1,q1,gpu,136,74,74.8,27.91,170,138,32.0,32.8,6565,99.7,100,2.4,105.0,1.8,7.8,OK
tpch_sf1_q2,tpch,1,q2,gpu,500,19,20.1,24.08,207,178,26.1,30.0,3451,94.2,96,0.5,104.5,1.8,2.0,OK
tpch_sf1_q3,tpch,1,q3,gpu,313,32,32.1,53.08,351,311,31.5,32.0,6565,99.6,100,1.0,104.6,1.8,3.3,OK
tpch_sf1_q4,tpch,1,q4,gpu,527,19,19.1,77.67,388,342,32.4,32.6,6563,99.7,100,0.6,105.0,1.8,2.0,OK
tpch_sf1_q5,tpch,1,q5,gpu,358,28,28.2,58.98,398,368,32.1,32.6,6563,99.3,100,0.9,104.8,1.8,2.9,OK
tpch_sf1_q6,tpch,1,q6,gpu,1250,8,9.3,138.64,663,662,31.8,33.0,6561,94.6,100,0.3,104.8,1.8,0.8,OK
tpch_sf1_q7,tpch,1,q7,gpu,417,24,24.2,66.08,391,353,31.9,32.4,6563,99.2,100,0.8,105.2,1.8,2.5,OK
tpch_sf1_q8,tpch,1,q8,gpu,477,21,21.2,75.19,443,441,31.2,32.7,6563,92.4,100,0.7,104.9,1.8,2.2,OK
tpch_sf1_q9,tpch,1,q9,gpu,223,45,45.9,45.54,263,228,32.2,32.5,6565,99.6,100,1.4,105.2,1.8,4.7,OK
tpch_sf1_q10,tpch,1,q10,gpu,527,19,19.1,79.65,401,370,32.1,32.6,6565,99.3,100,0.6,105.2,1.8,2.0,OK
tpch_sf1_q11,tpch,1,q11,gpu,400,25,25.9,20.72,174,143,31.9,32.6,3453,97.5,98,0.8,104.8,1.8,2.6,OK
tpch_sf1_q12,tpch,1,q12,gpu,589,17,17.1,85.46,444,404,32.5,32.8,6563,99.3,100,0.6,105.3,1.8,1.8,OK
tpch_sf1_q13,tpch,1,q13,gpu,60,169,170.2,15.69,159,120,33.4,34.0,3453,99.4,100,5.6,104.3,1.8,17.6,OK
tpch_sf1_q14,tpch,1,q14,gpu,834,11,11.9,99.43,457,455,31.4,32.8,6561,93.0,100,0.3,105.3,1.8,1.2,OK
tpch_sf1_q15,tpch,1,q15,gpu,910,11,12.0,105.57,495,457,32.4,32.8,6567,98.4,100,0.4,105.1,1.8,1.2,OK
tpch_sf1_q16,tpch,1,q16,gpu,44,228,230.2,15.05,172,142,24.8,31.0,3449,99.9,100,5.7,104.0,1.8,23.7,OK
tpch_sf1_q17,tpch,1,q17,gpu,477,21,24.4,64.64,507,507,30.6,31.9,6565,91.2,100,0.6,104.3,1.8,2.2,OK
tpch_sf1_q18,tpch,1,q18,gpu,205,49,49.3,39.71,246,246,30.3,32.7,6565,87.3,100,1.5,104.6,1.8,5.1,OK
tpch_sf1_q19,tpch,1,q19,gpu,44,228,229.8,18.94,155,155,30.2,34.5,6561,80.7,100,6.9,104.3,1.8,23.8,OK
tpch_sf1_q20,tpch,1,q20,gpu,304,32,33.2,50.03,342,342,30.2,32.4,6563,93.7,100,1.0,104.7,1.8,3.4,OK
tpch_sf1_q21,tpch,1,q21,gpu,13,808,816.9,16.64,140,140,29.6,34.5,12791,83.0,100,23.9,104.6,1.8,84.5,OK
tpch_sf1_q22,tpch,1,q22,gpu,1000,10,10.1,40.08,291,289,29.0,31.3,3648,85.3,100,0.3,104.7,1.8,1.0,OK
