run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf2_q1,2,q1,30,21.07,0.0,15.0,104.7,1.9
tpch_sf2_q1,2,q1,155,20.6,0.0,16.0,98.4,1.8
tpch_sf2_q1,2,q1,265,19.31,0.0,33.0,97.4,1.8
tpch_sf2_q1,2,q1,346,18.37,0.0,3395.0,100.1,1.8
tpch_sf2_q1,2,q1,425,16.71,0.0,3395.0,105.7,1.8
tpch_sf2_q1,2,q1,502,16.67,0.0,3395.0,104.8,1.8
tpch_sf2_q1,2,q1,580,16.55,0.0,3395.0,104.9,1.8
tpch_sf2_q1,2,q1,658,16.49,0.0,3395.0,104.9,1.8
tpch_sf2_q1,2,q1,736,16.49,0.0,3395.0,103.9,1.8
tpch_sf2_q1,2,q1,814,16.55,0.0,3395.0,104.8,1.8
tpch_sf2_q1,2,q1,892,16.31,0.0,3395.0,105.8,1.8
tpch_sf2_q1,2,q1,969,16.33,0.0,3395.0,106.1,1.8
tpch_sf2_q1,2,q1,1048,16.33,0.0,3395.0,104.5,1.8
tpch_sf2_q1,2,q1,1129,16.31,0.0,3395.0,104.1,1.8
tpch_sf2_q1,2,q1,1210,16.1,0.0,3395.0,103.7,1.8
tpch_sf2_q1,2,q1,1314,15.98,0.0,3403.0,103.5,2.1
tpch_sf2_q1,2,q1,1408,16.01,0.0,3452.0,101.6,1.8
tpch_sf2_q1,2,q1,1497,15.9,0.0,3463.0,100.8,1.8
tpch_sf2_q1,2,q1,1610,16.14,0.0,3648.0,99.9,1.8
tpch_sf2_q1,2,q1,1693,16.38,0.0,3437.0,103.5,1.8
tpch_sf2_q1,2,q1,1774,16.38,7.0,3437.0,104.5,1.8
tpch_sf2_q1,2,q1,1853,16.32,7.0,3437.0,104.1,1.8
tpch_sf2_q1,2,q1,1951,16.32,7.0,3437.0,102.7,1.8
tpch_sf2_q1,2,q1,2052,16.33,7.0,3437.0,101.3,1.8
tpch_sf2_q1,2,q1,2134,16.39,7.0,3437.0,103.5,1.9
tpch_sf2_q1,2,q1,2212,16.38,0.0,3437.0,93.6,1.8
tpch_sf2_q1,2,q1,2316,16.31,0.0,3441.0,106.2,1.8
tpch_sf2_q1,2,q1,2413,17.05,0.0,3441.0,109.1,1.8
tpch_sf2_q1,2,q1,2518,17.86,0.0,3441.0,112.0,1.9
tpch_sf2_q1,2,q1,2632,18.63,0.0,3441.0,112.4,1.8
tpch_sf2_q1,2,q1,2760,19.31,90.0,3441.0,110.7,1.8
tpch_sf2_q1,2,q1,2876,22.19,90.0,6553.0,104.4,1.8
tpch_sf2_q1,2,q1,2970,23.48,90.0,6553.0,103.8,1.8
tpch_sf2_q1,2,q1,3066,25.39,90.0,6553.0,105.0,1.8
tpch_sf2_q1,2,q1,3163,27.32,90.0,6553.0,103.9,1.8
tpch_sf2_q1,2,q1,3334,29.08,100.0,6553.0,105.6,1.8
tpch_sf2_q1,2,q1,3434,30.71,100.0,6553.0,103.5,1.7
tpch_sf2_q1,2,q1,3543,32.38,100.0,6553.0,106.4,1.8
tpch_sf2_q1,2,q1,3671,32.28,100.0,6555.0,114.3,1.9
tpch_sf2_q1,2,q1,3780,33.41,100.0,6555.0,105.1,1.8
tpch_sf2_q1,2,q1,3889,34.17,100.0,6555.0,112.5,1.9
tpch_sf2_q1,2,q1,3999,33.59,100.0,6555.0,112.0,1.8
tpch_sf2_q1,2,q1,4103,33.37,100.0,6555.0,104.1,1.8
tpch_sf2_q1,2,q1,4355,32.59,100.0,12781.0,105.5,1.8
tpch_sf2_q1,2,q1,4535,32.5,100.0,12783.0,106.6,1.8
