run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
clickbench_sf5_q1,5,q1,33,21.49,100.0,15.0,108.9,1.9
clickbench_sf5_q1,5,q1,198,21.05,100.0,16.0,107.8,1.8
clickbench_sf5_q1,5,q1,327,19.17,100.0,18.0,106.3,1.8
clickbench_sf5_q1,5,q1,423,19.01,100.0,33.0,107.7,1.8
clickbench_sf5_q1,5,q1,505,19.16,100.0,283.0,113.5,1.9
clickbench_sf5_q1,5,q1,585,19.16,100.0,283.0,114.7,1.8
clickbench_sf5_q1,5,q1,666,19.48,100.0,283.0,113.2,1.8
clickbench_sf5_q1,5,q1,746,18.12,100.0,283.0,112.5,1.9
clickbench_sf5_q1,5,q1,827,16.83,0.0,283.0,113.7,1.8
clickbench_sf5_q1,5,q1,906,16.68,0.0,283.0,113.6,1.8
clickbench_sf5_q1,5,q1,987,16.68,0.0,283.0,113.7,1.9
clickbench_sf5_q1,5,q1,1068,16.62,0.0,283.0,111.4,1.8
clickbench_sf5_q1,5,q1,1148,16.37,0.0,283.0,114.8,1.9
clickbench_sf5_q1,5,q1,1228,16.35,0.0,283.0,112.8,1.8
clickbench_sf5_q1,5,q1,1309,16.2,0.0,283.0,112.0,1.8
clickbench_sf5_q1,5,q1,1389,16.2,0.0,283.0,113.3,1.8
clickbench_sf5_q1,5,q1,1469,16.09,0.0,283.0,114.2,1.9
clickbench_sf5_q1,5,q1,1549,16.09,0.0,283.0,114.5,1.8
clickbench_sf5_q1,5,q1,1630,16.09,0.0,283.0,112.9,1.8
clickbench_sf5_q1,5,q1,1710,15.81,0.0,283.0,113.3,1.8
clickbench_sf5_q1,5,q1,1796,15.81,0.0,283.0,114.6,1.8
clickbench_sf5_q1,5,q1,1877,15.84,0.0,283.0,114.0,1.9
clickbench_sf5_q1,5,q1,1958,15.88,0.0,283.0,113.8,1.8
clickbench_sf5_q1,5,q1,2038,15.88,0.0,283.0,113.2,1.8
clickbench_sf5_q1,5,q1,2118,15.87,0.0,283.0,114.9,1.8
clickbench_sf5_q1,5,q1,2198,15.87,0.0,283.0,113.8,1.8
clickbench_sf5_q1,5,q1,2278,15.87,0.0,283.0,113.4,1.8
clickbench_sf5_q1,5,q1,2358,15.86,0.0,283.0,113.8,1.8
clickbench_sf5_q1,5,q1,2438,15.82,0.0,283.0,114.7,1.8
clickbench_sf5_q1,5,q1,2517,15.82,0.0,283.0,115.3,1.8
clickbench_sf5_q1,5,q1,2597,15.82,0.0,283.0,114.0,1.8
clickbench_sf5_q1,5,q1,2678,15.83,0.0,283.0,113.9,1.8
clickbench_sf5_q1,5,q1,2843,15.75,0.0,293.0,113.8,2.1
clickbench_sf5_q1,5,q1,2924,15.87,0.0,303.0,114.7,1.8
clickbench_sf5_q1,5,q1,3018,16.04,0.0,15669.0,109.1,1.8
clickbench_sf5_q1,5,q1,3103,16.04,0.0,15789.0,106.0,1.8
clickbench_sf5_q1,5,q1,3185,16.51,0.0,15841.0,106.8,1.8
clickbench_sf5_q1,5,q1,3267,17.11,0.0,15841.0,106.5,1.8
clickbench_sf5_q1,5,q1,3349,17.78,46.0,15841.0,104.8,1.8
clickbench_sf5_q1,5,q1,3431,18.49,46.0,15841.0,105.5,1.8
clickbench_sf5_q1,5,q1,3513,19.18,46.0,15841.0,105.8,1.8
clickbench_sf5_q1,5,q1,3594,19.18,46.0,15841.0,106.0,1.8
clickbench_sf5_q1,5,q1,3676,19.84,46.0,15841.0,106.8,1.8
clickbench_sf5_q1,5,q1,3758,20.51,46.0,15841.0,108.8,1.8
clickbench_sf5_q1,5,q1,3841,20.75,37.0,15841.0,105.2,1.8
clickbench_sf5_q1,5,q1,3922,22.3,37.0,15841.0,108.6,1.9
clickbench_sf5_q1,5,q1,4003,22.3,37.0,15841.0,107.2,1.8
clickbench_sf5_q1,5,q1,4085,22.63,37.0,15841.0,107.0,1.8
clickbench_sf5_q1,5,q1,4167,23.09,37.0,15841.0,108.5,1.8
clickbench_sf5_q1,5,q1,4248,23.35,37.0,15841.0,105.2,1.8
clickbench_sf5_q1,5,q1,4330,23.32,36.0,15841.0,107.4,1.8
clickbench_sf5_q1,5,q1,4411,23.29,36.0,15841.0,107.0,1.8
clickbench_sf5_q1,5,q1,4492,23.29,36.0,15841.0,106.1,1.8
clickbench_sf5_q1,5,q1,4574,23.18,36.0,15841.0,105.8,1.8
clickbench_sf5_q1,5,q1,4655,23.16,36.0,15841.0,105.7,1.8
clickbench_sf5_q1,5,q1,4736,23.17,36.0,15841.0,107.2,1.8
clickbench_sf5_q1,5,q1,4818,23.16,36.0,15841.0,108.5,1.9
clickbench_sf5_q1,5,q1,4900,23.16,36.0,15841.0,105.6,1.8
clickbench_sf5_q1,5,q1,4981,23.07,36.0,15841.0,107.0,1.8
clickbench_sf5_q1,5,q1,5062,22.95,36.0,15841.0,106.1,1.8
clickbench_sf5_q1,5,q1,5143,22.95,36.0,15841.0,106.8,1.8
clickbench_sf5_q1,5,q1,5224,22.94,36.0,15841.0,108.2,1.8
clickbench_sf5_q1,5,q1,5307,22.93,36.0,15841.0,107.0,1.8
clickbench_sf5_q1,5,q1,5388,22.93,36.0,15841.0,106.4,1.8
clickbench_sf5_q1,5,q1,5470,22.9,36.0,15841.0,106.4,1.8
clickbench_sf5_q1,5,q1,5551,22.92,36.0,15841.0,107.2,1.8
clickbench_sf5_q1,5,q1,5632,22.95,36.0,15841.0,105.7,1.8
clickbench_sf5_q1,5,q1,5711,22.94,36.0,15841.0,108.0,1.8
clickbench_sf5_q1,5,q1,5794,22.94,36.0,15841.0,107.0,1.8
clickbench_sf5_q1,5,q1,5874,22.93,36.0,15841.0,105.3,1.8
clickbench_sf5_q1,5,q1,5953,22.93,36.0,15841.0,107.6,1.8
clickbench_sf5_q1,5,q1,6033,22.97,36.0,15841.0,106.8,1.8
clickbench_sf5_q1,5,q1,6113,23.01,36.0,15841.0,107.3,1.8
clickbench_sf5_q1,5,q1,6192,23.01,36.0,15841.0,105.3,1.8
clickbench_sf5_q1,5,q1,6270,23.01,36.0,15841.0,107.7,1.8
clickbench_sf5_q1,5,q1,6351,23.04,35.0,15841.0,109.7,1.8
clickbench_sf5_q1,5,q1,6430,23.06,35.0,15841.0,106.3,1.8
clickbench_sf5_q1,5,q1,6509,23.1,35.0,15841.0,111.2,1.8
clickbench_sf5_q1,5,q1,6588,23.1,35.0,15841.0,107.2,1.8
clickbench_sf5_q1,5,q1,6668,23.11,35.0,15841.0,106.9,1.8
clickbench_sf5_q1,5,q1,6748,23.13,35.0,15841.0,104.8,1.8
clickbench_sf5_q1,5,q1,6828,23.15,37.0,15841.0,105.1,1.8
clickbench_sf5_q1,5,q1,6907,23.19,37.0,15841.0,107.8,1.8
clickbench_sf5_q1,5,q1,6987,23.19,37.0,15841.0,105.6,1.8
clickbench_sf5_q1,5,q1,7066,23.22,37.0,15841.0,105.4,1.8
clickbench_sf5_q1,5,q1,7145,23.23,37.0,15841.0,106.5,1.8
clickbench_sf5_q1,5,q1,7225,23.24,37.0,15841.0,105.7,1.8
clickbench_sf5_q1,5,q1,7305,23.21,36.0,15841.0,105.8,1.8
clickbench_sf5_q1,5,q1,7385,23.21,36.0,15841.0,106.3,1.8
