run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,0,,,,0,0,,,,,,,,,,OK
clickbench_sf5_q1,clickbench,5,q1,5000,0.0010,0.0016,12.50,145,140,21.2,25.7,15841,33.6,100,0.02,108.1,1.8,0.11,OK
clickbench_sf5_q10,clickbench,5,q10,352,0.0030,0.0245,17.59,191,146,22.3,26.9,15841,67.2,100,0.07,107.4,1.8,0.32,OK
clickbench_sf5_q11,clickbench,5,q11,254,0.0030,0.0373,18.56,202,202,21.6,27.5,15841,58.4,100,0.06,106.6,1.8,0.32,OK
clickbench_sf5_q12,clickbench,5,q12,500,0.0070,0.0187,18.69,189,189,23.3,30.7,15841,49.0,100,0.16,108.1,1.8,0.76,OK
clickbench_sf5_q13,clickbench,5,q13,26,0.3870,0.3884,14.67,161,159,24.3,28.4,15797,75.3,100,9.42,105.8,1.8,40.95,OK
clickbench_sf5_q14,clickbench,5,q14,478,0.0070,0.0192,18.51,186,146,25.2,31.1,15841,69.0,100,0.18,107.0,1.8,0.75,OK
clickbench_sf5_q15,clickbench,5,q15,626,0.0310,0.0336,11.38,113,113,19.8,32.2,15841,32.2,100,0.61,110.4,1.8,3.42,OK
clickbench_sf5_q16,clickbench,5,q16,304,0.0650,0.0661,14.25,142,139,21.7,32.4,15841,45.1,100,1.41,107.0,1.8,6.96,OK
clickbench_sf5_q17,clickbench,5,q17,410,0.0480,0.0500,12.54,121,82,23.2,33.2,15841,53.9,100,1.11,109.5,1.8,5.26,OK
clickbench_sf5_q18,clickbench,5,q18,160,0.1240,0.1249,17.84,163,124,26.2,33.4,15841,63.4,100,3.25,106.1,1.8,13.15,OK
clickbench_sf5_q19,clickbench,5,q19,2500,0.0030,0.0041,14.66,155,153,25.0,28.9,15841,51.7,100,0.08,105.6,1.8,0.32,OK
clickbench_sf5_q2,clickbench,5,q2,10002,0.0020,0.0029,13.98,142,105,17.6,22.5,15807,18.6,67,0.04,103.7,1.8,0.21,OK
clickbench_sf5_q20,clickbench,5,q20,164,0.0600,0.0610,14.71,131,87,31.9,32.9,15841,89.4,99,1.91,107.0,1.8,6.42,OK
clickbench_sf5_q21,clickbench,5,q21,141,0.0670,0.0700,14.89,135,89,31.9,32.7,15841,88.9,99,2.14,107.0,1.8,7.17,OK
clickbench_sf5_q22,clickbench,5,q22,49,0.1380,0.1938,14.97,145,94,29.0,32.4,15841,98.4,100,4.00,106.9,1.8,14.75,OK
clickbench_sf5_q23,clickbench,5,q23,152,0.0600,0.0634,15.00,142,142,26.4,32.6,15841,66.6,100,1.58,106.1,1.8,6.37,OK
clickbench_sf5_q24,clickbench,5,q24,589,0.0100,0.0139,12.81,127,123,25.1,30.0,15841,57.6,100,0.25,105.6,1.8,1.06,OK
clickbench_sf5_q25,clickbench,5,q25,32,0.3130,0.3148,14.50,160,117,26.5,27.9,15823,99.3,100,8.29,104.8,1.8,32.82,OK
clickbench_sf5_q26,clickbench,5,q26,66,0.0070,0.1063,11.58,123,79,26.6,28.4,15841,97.1,100,0.19,107.4,1.8,0.75,OK
clickbench_sf5_q27,clickbench,5,q27,89,0.0290,0.0730,11.37,92,44,32.0,32.7,15841,96.9,100,0.93,108.3,1.8,3.14,OK
clickbench_sf5_q28,clickbench,5,q28,0,,,,0,0,,,,,,,,,,FALLBACK
clickbench_sf5_q29,clickbench,5,q29,426,0.0470,0.0480,12.62,136,92,18.7,23.3,15841,39.5,100,0.88,108.2,1.8,5.09,OK
clickbench_sf5_q3,clickbench,5,q3,10002,0.0030,0.0043,14.06,144,144,17.7,23.5,15787,16.3,100,0.05,104.0,1.8,0.31,OK
clickbench_sf5_q30,clickbench,5,q30,455,0.0070,0.0128,10.52,107,103,23.8,29.5,15841,55.5,89,0.17,105.0,1.8,0.74,OK
clickbench_sf5_q31,clickbench,5,q31,742,0.0070,0.0141,20.06,201,164,25.1,30.5,15841,60.2,91,0.18,108.2,1.8,0.76,OK
clickbench_sf5_q32,clickbench,5,q32,154,0.1300,0.1310,17.95,158,158,24.1,33.1,15841,53.4,100,3.13,107.5,1.8,13.98,OK
clickbench_sf5_q33,clickbench,5,q33,154,0.1310,0.1318,19.43,174,134,25.0,31.6,15841,67.2,100,3.28,106.8,1.8,13.99,OK
clickbench_sf5_q34,clickbench,5,q34,148,0.1360,0.1372,19.73,184,143,25.3,31.6,15841,51.4,100,3.44,106.8,1.8,14.52,OK
clickbench_sf5_q35,clickbench,5,q35,296,0.0660,0.0683,13.69,129,129,22.3,33.8,15841,42.2,100,1.47,104.1,1.8,6.87,OK
clickbench_sf5_q36,clickbench,5,q36,170,0.0340,0.0454,12.61,103,103,24.6,31.8,15841,51.1,100,0.83,106.5,1.8,3.62,OK
clickbench_sf5_q37,clickbench,5,q37,176,0.0420,0.0485,13.44,99,94,24.6,32.0,15841,49.4,100,1.03,106.0,1.8,4.45,OK
clickbench_sf5_q38,clickbench,5,q38,1000,0.0050,0.0081,13.11,142,93,26.7,27.7,15841,71.3,76,0.13,106.2,1.8,0.53,OK
clickbench_sf5_q39,clickbench,5,q39,141,0.0030,0.0335,10.27,101,98,22.7,30.2,15841,56.3,96,0.07,107.5,1.8,0.32,OK
clickbench_sf5_q4,clickbench,5,q4,1054,0.0180,0.0197,10.29,102,64,20.4,31.6,15841,29.6,100,0.37,104.3,1.8,1.88,OK
clickbench_sf5_q40,clickbench,5,q40,910,0.0060,0.0095,13.37,142,142,24.4,28.4,15841,56.2,100,0.15,105.2,1.8,0.63,OK
clickbench_sf5_q41,clickbench,5,q41,910,0.0070,0.0100,13.72,143,143,24.9,29.0,15841,57.0,100,0.17,105.6,1.8,0.74,OK
clickbench_sf5_q42,clickbench,5,q42,556,0.0110,0.0137,12.24,122,119,25.2,30.5,15841,53.8,100,0.28,105.7,1.8,1.16,OK
clickbench_sf5_q5,clickbench,5,q5,29,0.3480,0.3621,14.95,160,119,28.2,29.2,15809,98.6,100,9.82,105.0,1.8,36.55,OK
clickbench_sf5_q6,clickbench,5,q6,15000,0.0020,0.0028,13.91,142,103,18.0,22.7,15823,19.2,100,0.04,103.8,1.8,0.21,OK
clickbench_sf5_q7,clickbench,5,q7,3334,0.0010,0.0020,11.15,128,127,21.4,26.2,15841,27.5,100,0.02,105.3,1.8,0.11,OK
clickbench_sf5_q8,clickbench,5,q8,25,0.4070,0.4089,14.55,154,110,32.7,33.7,15793,99.2,100,13.32,105.0,1.8,42.74,OK
clickbench_sf5_q9,clickbench,5,q9,25,0.4130,0.4158,14.83,156,117,32.3,33.5,15793,99.3,100,13.35,103.9,1.8,42.91,OK
