run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf1gb_q1,1gb,q1,33,19.7,100.0,15.0,105.0,1.9
h2o_sf1gb_q1,1gb,q1,200,18.57,100.0,15.0,96.4,1.8
h2o_sf1gb_q1,1gb,q1,318,18.81,100.0,18.0,97.8,1.8
h2o_sf1gb_q1,1gb,q1,414,18.64,100.0,33.0,99.0,1.8
h2o_sf1gb_q1,1gb,q1,495,18.89,100.0,283.0,102.0,1.9
h2o_sf1gb_q1,1gb,q1,576,19.28,100.0,283.0,102.4,1.8
h2o_sf1gb_q1,1gb,q1,656,19.28,100.0,283.0,101.9,1.9
h2o_sf1gb_q1,1gb,q1,738,18.54,100.0,283.0,103.8,1.8
h2o_sf1gb_q1,1gb,q1,818,17.26,0.0,283.0,102.4,1.8
h2o_sf1gb_q1,1gb,q1,899,16.62,0.0,283.0,105.3,1.8
h2o_sf1gb_q1,1gb,q1,979,16.54,0.0,283.0,104.3,1.8
h2o_sf1gb_q1,1gb,q1,1060,16.54,0.0,283.0,104.9,1.8
h2o_sf1gb_q1,1gb,q1,1140,16.3,0.0,283.0,104.0,1.8
h2o_sf1gb_q1,1gb,q1,1220,16.15,0.0,283.0,103.9,1.8
h2o_sf1gb_q1,1gb,q1,1301,16.09,0.0,283.0,102.4,1.8
h2o_sf1gb_q1,1gb,q1,1381,15.93,0.0,283.0,103.6,1.8
h2o_sf1gb_q1,1gb,q1,1462,15.93,0.0,283.0,105.1,1.9
h2o_sf1gb_q1,1gb,q1,1542,15.93,0.0,283.0,102.6,1.8
h2o_sf1gb_q1,1gb,q1,1622,15.93,0.0,283.0,104.5,1.8
h2o_sf1gb_q1,1gb,q1,1702,15.93,0.0,283.0,103.6,1.8
h2o_sf1gb_q1,1gb,q1,1781,15.93,0.0,283.0,103.2,1.8
h2o_sf1gb_q1,1gb,q1,1861,15.93,0.0,283.0,105.3,1.9
h2o_sf1gb_q1,1gb,q1,1940,15.44,0.0,283.0,102.3,1.8
h2o_sf1gb_q1,1gb,q1,2020,15.45,0.0,283.0,105.9,1.9
h2o_sf1gb_q1,1gb,q1,2099,15.48,0.0,283.0,103.5,1.8
h2o_sf1gb_q1,1gb,q1,2181,15.49,0.0,283.0,104.0,1.8
h2o_sf1gb_q1,1gb,q1,2263,15.49,0.0,283.0,103.9,1.8
h2o_sf1gb_q1,1gb,q1,2342,15.52,0.0,283.0,104.0,1.8
h2o_sf1gb_q1,1gb,q1,2421,15.55,0.0,283.0,103.1,1.8
h2o_sf1gb_q1,1gb,q1,2502,15.57,0.0,283.0,103.2,1.8
h2o_sf1gb_q1,1gb,q1,2583,15.6,0.0,283.0,104.0,1.9
h2o_sf1gb_q1,1gb,q1,2663,15.64,0.0,283.0,104.2,1.9
