run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf1gb_q1,h2o,1gb,q1,870,0.0220,0.0233,10.74,108,106,19.0,31.0,15841,34.7,100,0.42,103.9,1.8,2.29,OK
h2o_sf1gb_q10,h2o,1gb,q10,264,0.0750,0.0774,15.41,143,87,24.6,35.4,15841,65.5,100,1.84,109.5,1.8,8.21,OK
h2o_sf1gb_q2,h2o,1gb,q2,590,0.0330,0.0343,11.60,116,116,19.9,31.7,15835,41.4,100,0.66,105.1,1.8,3.47,OK
h2o_sf1gb_q3,h2o,1gb,q3,608,0.0320,0.0334,11.43,111,105,19.8,35.6,15835,34.2,100,0.63,104.9,1.8,3.36,OK
h2o_sf1gb_q4,h2o,1gb,q4,800,0.0250,0.0261,10.89,107,107,19.1,31.3,15837,27.7,100,0.48,104.5,1.8,2.61,OK
h2o_sf1gb_q5,h2o,1gb,q5,626,0.0310,0.0323,11.35,109,106,19.9,35.3,15841,25.0,100,0.62,104.8,1.8,3.25,OK
h2o_sf1gb_q6,h2o,1gb,q6,334,0.0590,0.0608,13.27,126,81,23.2,32.4,15841,49.4,97,1.37,105.2,1.8,6.21,OK
h2o_sf1gb_q7,h2o,1gb,q7,514,0.0380,0.0394,11.74,114,76,22.4,34.3,15841,40.6,100,0.85,105.6,1.8,4.01,OK
h2o_sf1gb_q8,h2o,1gb,q8,478,0.0410,0.0430,12.08,120,120,20.9,34.6,15841,25.1,100,0.86,107.3,1.8,4.40,OK
h2o_sf1gb_q9,h2o,1gb,q9,65,0.1550,0.1559,10.07,81,35,31.6,33.0,15841,98.8,100,4.90,107.1,1.8,16.59,OK
