run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf1_q01,1,q01,33,19.3,40.0,15.0,105.3,1.8
tpch_sf1_q01,1,q01,201,18.2,40.0,15.0,100.5,1.8
tpch_sf1_q01,1,q01,306,18.76,40.0,18.0,99.8,1.8
tpch_sf1_q01,1,q01,410,18.8,40.0,33.0,101.4,1.8
tpch_sf1_q01,1,q01,493,19.02,0.0,283.0,110.1,1.9
tpch_sf1_q01,1,q01,575,18.9,0.0,283.0,104.3,1.8
tpch_sf1_q01,1,q01,656,18.62,0.0,283.0,105.0,1.9
tpch_sf1_q01,1,q01,737,17.31,0.0,283.0,105.3,1.9
tpch_sf1_q01,1,q01,818,16.61,0.0,283.0,105.9,1.9
tpch_sf1_q01,1,q01,899,16.61,0.0,283.0,107.1,1.9
tpch_sf1_q01,1,q01,980,16.5,0.0,283.0,104.7,1.9
tpch_sf1_q01,1,q01,1061,16.43,0.0,283.0,105.7,1.8
tpch_sf1_q01,1,q01,1142,16.2,0.0,283.0,106.4,1.8
tpch_sf1_q01,1,q01,1223,16.14,0.0,283.0,109.6,1.9
tpch_sf1_q01,1,q01,1304,15.94,0.0,283.0,106.8,1.8
tpch_sf1_q01,1,q01,1384,15.94,0.0,283.0,106.3,1.8
tpch_sf1_q01,1,q01,1465,15.76,0.0,283.0,110.1,1.9
tpch_sf1_q01,1,q01,1552,15.76,0.0,283.0,106.0,1.8
tpch_sf1_q01,1,q01,1632,15.76,0.0,283.0,107.1,1.9
tpch_sf1_q01,1,q01,1713,15.76,0.0,283.0,104.5,1.8
tpch_sf1_q01,1,q01,1794,15.76,0.0,283.0,107.1,1.9
tpch_sf1_q01,1,q01,1876,15.76,0.0,283.0,106.4,1.8
tpch_sf1_q01,1,q01,1957,15.76,0.0,283.0,106.4,1.9
tpch_sf1_q01,1,q01,2044,15.76,0.0,283.0,106.0,1.8
tpch_sf1_q01,1,q01,2125,15.76,0.0,283.0,105.2,1.8
tpch_sf1_q01,1,q01,2206,15.76,0.0,283.0,105.8,1.8
tpch_sf1_q01,1,q01,2286,15.76,0.0,283.0,106.6,1.8
tpch_sf1_q01,1,q01,2367,15.76,0.0,283.0,105.6,1.8
tpch_sf1_q01,1,q01,2447,14.6,0.0,283.0,109.2,1.9
tpch_sf1_q01,1,q01,2529,14.6,0.0,283.0,105.5,1.8
tpch_sf1_q01,1,q01,2610,14.6,0.0,283.0,106.6,1.8
tpch_sf1_q01,1,q01,2690,14.6,0.0,283.0,106.4,1.9
tpch_sf1_q01,1,q01,2825,14.52,0.0,293.0,108.0,2.4
tpch_sf1_q01,1,q01,2907,14.68,0.0,303.0,105.0,1.8
tpch_sf1_q01,1,q01,2988,14.68,0.0,15669.0,103.9,1.8
tpch_sf1_q01,1,q01,3069,14.85,0.0,15669.0,104.7,1.9
tpch_sf1_q01,1,q01,3227,14.89,0.0,15669.0,117.1,2.0
tpch_sf1_q01,1,q01,3382,15.99,0.0,15691.0,106.2,1.8
tpch_sf1_q01,1,q01,3564,18.96,59.0,15701.0,108.4,1.8
tpch_sf1_q01,1,q01,3743,20.77,59.0,15705.0,105.9,1.8
tpch_sf1_q01,1,q01,3898,22.36,59.0,15709.0,106.8,1.8
tpch_sf1_q01,1,q01,4051,27.55,99.0,15713.0,114.2,1.8
tpch_sf1_q01,1,q01,4203,28.84,99.0,15719.0,105.7,1.8
tpch_sf1_q01,1,q01,4353,31.62,99.0,15723.0,107.2,1.8
tpch_sf1_q01,1,q01,4504,31.65,97.0,15727.0,110.4,1.8
tpch_sf1_q01,1,q01,4658,32.22,97.0,15731.0,105.3,1.8
tpch_sf1_q01,1,q01,4806,32.23,97.0,15735.0,105.9,1.8
tpch_sf1_q01,1,q01,4961,32.26,97.0,15739.0,113.3,1.8
tpch_sf1_q01,1,q01,5110,32.37,97.0,15745.0,104.2,1.8
tpch_sf1_q01,1,q01,5260,32.3,97.0,15749.0,106.2,1.8
tpch_sf1_q01,1,q01,5413,32.38,97.0,15753.0,106.8,1.8
tpch_sf1_q01,1,q01,5563,32.37,97.0,15757.0,107.7,1.8
tpch_sf1_q01,1,q01,5712,32.44,97.0,15761.0,106.4,1.8
