config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,min_ms,query_ms,elapsed_s,n_samples,n_steady,avg_power_w,max_power_w,avg_util,max_mem_mb,avg_sm_mhz,gpu_energy_j,cpu_energy_j,total_energy_j,status
pl150w_smauto,150,auto,maximus,tpch,10,q1,gpu,72,66.4470,66.4470,8.47,124,110,147.8,154.1,97.8,48711,709,9.8240,0.0000,9.8240,OK
pl150w_smauto,150,auto,maximus,tpch,10,q3,gpu,100,32.6410,32.6410,7.01,103,88,158.2,164.7,97.0,48711,583,5.1644,0.0000,5.1644,OK
pl150w_smauto,150,auto,maximus,tpch,10,q6,gpu,100,17.8400,17.8400,5.81,86,72,159.9,166.6,97.1,48714,538,2.8518,0.0000,2.8518,OK
pl150w_smauto,150,auto,maximus,tpch,10,q9,gpu,73,70.0770,70.0770,8.84,130,116,149.0,155.1,98.1,48715,674,10.4448,0.0000,10.4448,OK
pl150w_smauto,150,auto,maximus,tpch,10,q13,gpu,17,305.3030,305.3030,7.38,110,96,148.5,152.0,98.8,48714,707,45.3323,0.0000,45.3323,OK
pl150w_smauto,150,auto,maximus,tpch,10,q16,gpu,100,43.1580,43.1580,7.27,108,94,145.5,149.8,95.9,48713,999,6.2785,0.0000,6.2785,OK
pl150w_smauto,150,auto,maximus,tpch,10,q1,cpu,86,52.4640,52.4640,118.75,1853,1846,121.4,133.5,4.4,48709,1905,6.3694,0.0000,6.3694,OK
pl150w_smauto,150,auto,maximus,tpch,10,q3,cpu,100,19.6050,19.6050,165.56,2589,2582,120.0,124.4,1.1,48705,1965,2.3523,0.0000,2.3523,OK
pl150w_smauto,150,auto,maximus,tpch,10,q6,cpu,100,12.1860,12.1860,133.44,2085,2080,120.0,123.6,0.8,48704,1972,1.4627,0.0000,1.4627,OK
pl150w_smauto,150,auto,maximus,tpch,10,q9,cpu,19,259.1740,259.1740,45.56,711,704,120.5,124.9,1.6,48704,1958,31.2285,0.0000,31.2285,OK
pl150w_smauto,150,auto,maximus,tpch,10,q13,cpu,18,280.3260,280.3260,16.41,251,161,141.0,150.8,48.0,48706,1237,39.5345,0.0000,39.5345,OK
pl150w_smauto,150,auto,maximus,tpch,10,q16,cpu,41,122.5850,122.5850,20.42,316,311,125.4,135.6,7.0,48708,1873,15.3780,0.0000,15.3780,OK
pl150w_smauto,150,auto,sirius,tpch,10,q1,gpu,36,139.0000,139.0000,11.91,179,87,146.1,155.1,95.1,96341,747,20.3109,0.0000,20.3109,OK
pl150w_smauto,150,auto,sirius,tpch,10,q3,gpu,100,38.0000,38.0000,7.89,103,42,135.1,151.0,55.1,96754,1243,5.1331,0.0000,5.1331,OK
pl150w_smauto,150,auto,sirius,tpch,10,q6,gpu,100,4.0000,4.0000,5.15,77,23,126.7,142.1,29.1,96607,1613,0.5068,0.0000,0.5068,OK
pl150w_smauto,150,auto,sirius,tpch,10,q9,gpu,7,785.0000,785.0000,12.27,166,107,133.0,150.0,20.1,96405,1605,104.4098,0.0000,104.4098,OK
pl150w_smauto,150,auto,sirius,tpch,10,q13,gpu,52,95.0000,95.0000,10.42,156,83,146.6,151.5,93.4,96641,725,13.9232,0.0000,13.9232,OK
