config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
pl150w_smauto,150,auto,maximus,tpch,10,q1,gpu,3,69.5150,69.5150,108.6470;73.4860;69.5150,OK
pl150w_smauto,150,auto,maximus,tpch,10,q3,gpu,3,27.1160,25.6900,54.5390;25.6900;27.1160,OK
pl150w_smauto,150,auto,maximus,tpch,10,q6,gpu,3,23.7410,16.6000,25.9500;16.6000;23.7410,OK
pl150w_smauto,150,auto,maximus,tpch,10,q9,gpu,3,69.0170,69.0170,103.7050;76.7830;69.0170,OK
pl150w_smauto,150,auto,maximus,tpch,10,q13,gpu,3,316.0250,302.9570,350.8490;302.9570;316.0250,OK
pl150w_smauto,150,auto,maximus,tpch,10,q16,gpu,3,59.7060,47.3820,95.5110;47.3820;59.7060,OK
pl150w_smauto,150,auto,maximus,tpch,10,q1,cpu,3,67.0510,58.7720,82.7770;58.7720;67.0510,OK
pl150w_smauto,150,auto,maximus,tpch,10,q3,cpu,3,19.8090,19.8090,35.0300;19.8360;19.8090,OK
pl150w_smauto,150,auto,maximus,tpch,10,q6,cpu,3,12.3080,12.3080,15.4500;12.3520;12.3080,OK
pl150w_smauto,150,auto,maximus,tpch,10,q9,cpu,3,267.8930,266.4350,288.8360;266.4350;267.8930,OK
pl150w_smauto,150,auto,maximus,tpch,10,q13,cpu,3,289.4870,284.8840,291.2210;284.8840;289.4870,OK
pl150w_smauto,150,auto,maximus,tpch,10,q16,cpu,3,124.9470,124.9470,152.2320;125.0530;124.9470,OK
pl150w_smauto,150,auto,sirius,tpch,10,q1,gpu,3,144.0000,139.0000,144.0000;139.0000;144.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q3,gpu,3,39.0000,39.0000,39.0000;40.0000;39.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q6,gpu,3,6.0000,6.0000,6.0000;6.0000;6.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q9,gpu,3,797.0000,789.0000,798.0000;789.0000;797.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q13,gpu,3,97.0000,97.0000,97.0000;97.0000;97.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q16,gpu,3,135.0000,131.0000,135.0000;131.0000;135.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q1,cpu,3,159.0000,141.0000,141.0000;145.0000;159.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q3,cpu,3,40.0000,38.0000,38.0000;39.0000;40.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q6,cpu,3,4.0000,4.0000,5.0000;5.0000;4.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q9,cpu,3,788.0000,787.0000,787.0000;793.0000;788.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q13,cpu,3,98.0000,97.0000,97.0000;102.0000;98.0000,OK
pl150w_smauto,150,auto,sirius,tpch,10,q16,cpu,3,137.0000,131.0000,138.0000;131.0000;137.0000,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q1,gpu,3,54.7110,37.5350,65.4430;37.5350;54.7110,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q3,gpu,3,106.6150,98.5900,119.7370;98.5900;106.6150,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q5,gpu,3,37.4350,37.4350,56.4960;40.1040;37.4350,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q6,gpu,3,907.8620,892.9220,909.9890;892.9220;907.8620,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q7,gpu,3,89.7890,89.7890,105.1530;89.9980;89.7890,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q9,gpu,3,148.5350,148.5350,160.6100;149.3340;148.5350,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q1,cpu,3,152.3400,152.3400,162.1520;152.7670;152.3400,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q3,cpu,3,371.5250,362.9880,378.8870;362.9880;371.5250,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q5,cpu,3,216.4600,215.1230,229.6150;215.1230;216.4600,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q6,cpu,3,980.8610,968.1760,998.9920;968.1760;980.8610,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q7,cpu,3,318.2700,304.4760,313.5090;304.4760;318.2700,OK
pl150w_smauto,150,auto,maximus,h2o,4gb,q9,cpu,3,134.1790,129.4950,153.2530;129.4950;134.1790,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q1,gpu,3,22.0000,20.0000,20.0000;21.0000;22.0000,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q3,gpu,3,124.0000,115.0000,115.0000;122.0000;124.0000,OK
pl150w_smauto,150,auto,sirius,h2o,4gb,q5,gpu,3,44.0000,43.0000,45.0000;43.0000;44.0000,OK
