engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
maximus,tpch,1,q1,gpu,3,9.5090,9.5090,22.2910;9.5810;9.5090,OK
maximus,tpch,1,q2,gpu,3,7.9040,7.9040,22.3440;8.1400;7.9040,OK
maximus,tpch,1,q3,gpu,3,5.3220,5.3220,21.1700;5.3940;5.3220,OK
maximus,tpch,1,q4,gpu,3,4.1740,4.1740,23.6750;4.2810;4.1740,OK
maximus,tpch,1,q5,gpu,3,50.6470,50.6030,68.3940;50.6030;50.6470,OK
maximus,tpch,1,q6,gpu,3,1.9750,1.9750,4.2040;1.9970;1.9750,OK
maximus,tpch,1,q7,gpu,3,17.2350,17.2350,37.1150;17.2550;17.2350,OK
maximus,tpch,1,q8,gpu,3,48.8360,48.8360,73.8440;48.9940;48.8360,OK
maximus,tpch,1,q9,gpu,3,127.1280,126.8440,145.6320;126.8440;127.1280,OK
maximus,tpch,1,q10,gpu,3,5.0240,5.0240,21.7240;5.0260;5.0240,OK
maximus,tpch,1,q11,gpu,3,11.3000,11.3000,33.1010;11.4590;11.3000,OK
maximus,tpch,1,q12,gpu,3,5.7780,5.7780,25.9650;5.8750;5.7780,OK
maximus,tpch,1,q13,gpu,3,46.9920,46.9920,66.9830;47.1320;46.9920,OK
maximus,tpch,1,q14,gpu,3,4.8930,4.8930,16.1550;5.0080;4.8930,OK
maximus,tpch,1,q15,gpu,3,3.9370,3.9370,17.7610;3.9780;3.9370,OK
maximus,tpch,1,q16,gpu,3,37.3840,37.3840,58.4400;37.5460;37.3840,OK
maximus,tpch,1,q17,gpu,3,6.7910,6.7910,16.8360;6.8950;6.7910,OK
maximus,tpch,1,q18,gpu,3,18.1500,18.1500,31.6080;18.2100;18.1500,OK
maximus,tpch,1,q19,gpu,3,104.2960,104.2300,111.1700;104.2300;104.2960,OK
maximus,tpch,1,q20,gpu,3,7.4800,7.4800,29.3060;7.5930;7.4800,OK
maximus,tpch,1,q21,gpu,0,,,,OOM
maximus,tpch,1,q22,gpu,3,4.1690,4.1690,28.3840;4.3550;4.1690,OK
maximus,tpch,1,q1,cpu,3,14.5120,14.5120,30.8670;14.6000;14.5120,OK
maximus,tpch,1,q2,cpu,3,8.5400,8.5400,26.7200;8.7030;8.5400,OK
maximus,tpch,1,q3,cpu,3,8.0620,8.0620,22.8940;8.1740;8.0620,OK
maximus,tpch,1,q4,cpu,3,6.0670,6.0670,26.3110;6.1940;6.0670,OK
maximus,tpch,1,q5,cpu,3,94.0190,94.0190,113.2800;94.2410;94.0190,OK
maximus,tpch,1,q6,cpu,3,4.2600,4.2600,6.9950;4.2900;4.2600,OK
maximus,tpch,1,q7,cpu,3,20.3660,20.3660,41.8640;20.4510;20.3660,OK
maximus,tpch,1,q8,cpu,3,103.9890,103.9890,136.2760;105.2470;103.9890,OK
maximus,tpch,1,q9,cpu,3,192.8350,192.8350,211.9120;192.9020;192.8350,OK
maximus,tpch,1,q10,cpu,3,8.3970,8.0830,24.4080;8.0830;8.3970,OK
maximus,tpch,1,q11,cpu,3,12.7850,12.7850,37.5090;12.8720;12.7850,OK
maximus,tpch,1,q12,cpu,3,18.1630,18.1480,41.7920;18.1480;18.1630,OK
maximus,tpch,1,q13,cpu,3,49.3160,49.3160,64.2750;49.3380;49.3160,OK
maximus,tpch,1,q14,cpu,3,15.9040,15.9040,27.4160;16.0930;15.9040,OK
maximus,tpch,1,q15,cpu,3,14.0660,14.0660,27.9620;14.1350;14.0660,OK
maximus,tpch,1,q16,cpu,3,39.2640,39.1030,63.7970;39.1030;39.2640,OK
maximus,tpch,1,q17,cpu,3,194.0870,193.7630,207.3200;193.7630;194.0870,OK
maximus,tpch,1,q18,cpu,3,209.2130,208.7520,222.2860;208.7520;209.2130,OK
