benchmark,sf,query,n_reps,min_ms,avg_ms,all_ms,status
microbench_tpch,1,w1_002,5,1.5540,1.9638,3.5150;1.5700;1.5810;1.5990;1.5540,OK
microbench_tpch,1,w1_004,5,0.3050,0.3442,0.3830;0.3630;0.3180;0.3050;0.3520,OK
microbench_tpch,1,w1_005,5,4.8950,4.9094,4.9320;4.8980;4.9250;4.8970;4.8950,OK
microbench_tpch,1,w1_006,5,4.9010,5.2520,6.6070;4.9210;4.9070;4.9010;4.9240,OK
microbench_tpch,1,w1_007,5,9.8560,10.2544,11.7620;9.8950;9.9010;9.8580;9.8560,OK
microbench_tpch,1,w1_008,5,5.0290,5.1830,5.7900;5.0310;5.0330;5.0320;5.0290,OK
microbench_tpch,1,w1_011,5,18.8200,18.8316,18.8300;18.8210;18.8200;18.8360;18.8510,OK
microbench_tpch,1,w2_003,5,0.7410,0.9540,1.7390;0.7820;0.7670;0.7410;0.7410,OK
microbench_tpch,1,w2_012,5,0.5950,0.6116,0.6450;0.5980;0.6240;0.5950;0.5960,OK
microbench_tpch,1,w2_013,5,2.1850,2.2008,2.2180;2.1860;2.2080;2.2070;2.1850,OK
microbench_tpch,1,w2_014,5,3.3500,3.3670,3.3790;3.3890;3.3500;3.3670;3.3500,OK
microbench_tpch,1,w2_015,5,0.8660,1.3996,3.4820;0.9040;0.8800;0.8660;0.8660,OK
microbench_tpch,1,w2_016,5,1.8240,1.8494,1.8710;1.8530;1.8410;1.8240;1.8580,OK
microbench_tpch,1,w2_017,5,4.7460,4.7552,4.7530;4.7460;4.7580;4.7600;4.7590,OK
microbench_tpch,1,w3_001,5,0.3480,0.8232,2.6140;0.4040;0.3520;0.3980;0.3480,OK
microbench_tpch,1,w3_009,5,0.7150,0.7322,0.7390;0.7150;0.7420;0.7260;0.7390,OK
microbench_tpch,1,w3_010,5,0.5720,0.5986,0.5960;0.5720;0.5970;0.6030;0.6250,OK
microbench_tpch,1,w3_023,5,1.9440,1.9544,1.9560;1.9630;1.9440;1.9570;1.9520,OK
microbench_tpch,1,w3_024,5,2.4320,2.4574,2.4610;2.4570;2.4790;2.4580;2.4320,OK
microbench_tpch,1,w3_025,5,1.6750,1.6832,1.6790;1.6900;1.6890;1.6830;1.6750,OK
microbench_tpch,1,w3_028,5,2.9190,2.9364,2.9410;2.9190;2.9350;2.9400;2.9470,OK
microbench_tpch,1,w4_033,5,0.5510,0.9980,2.7020;0.5720;0.5560;0.5510;0.6090,OK
microbench_tpch,1,w4_052,5,1.1380,1.2530,1.6310;1.1810;1.1380;1.1440;1.1710,OK
microbench_tpch,1,w4_053,5,1.2250,1.2860,1.3900;1.2640;1.2560;1.2250;1.2950,OK
microbench_tpch,1,w4_054,5,4.0010,5.1252,4.0010;4.5690;4.7430;7.3980;4.9150,OK
microbench_tpch,1,w4_055,5,1.2920,1.3422,1.4230;1.3370;1.3150;1.2920;1.3440,OK
microbench_tpch,1,w4_057,5,6.4290,7.0844,6.4520;9.2320;6.4290;6.6530;6.6560,OK
microbench_tpch,1,w4_059,5,2.2050,2.2746,2.3950;2.2810;2.2640;2.2280;2.2050,OK
microbench_tpch,1,w5a_029,5,4.6330,5.8546,10.6700;4.6620;4.6460;4.6330;4.6620,OK
microbench_tpch,1,w5a_034,5,7.4160,7.4544,7.5040;7.4550;7.4340;7.4160;7.4630,OK
microbench_tpch,1,w5a_035,5,21.4460,21.4646,21.4810;21.4460;21.4570;21.4660;21.4730,OK
microbench_tpch,1,w5a_036,5,6.9360,6.9630,7.0110;6.9520;6.9360;6.9420;6.9740,OK
microbench_tpch,1,w5a_037,5,8.1550,8.2348,8.4790;8.2030;8.1680;8.1690;8.1550,OK
microbench_tpch,1,w5a_038,5,12.8160,12.8410,12.8160;12.8630;12.8280;12.8280;12.8700,OK
microbench_tpch,1,w5a_048,5,14.2930,14.3112,14.3210;14.3140;14.3120;14.2930;14.3160,OK
microbench_tpch,1,w5a_049,5,11.1810,11.2064,11.2120;11.2070;11.2150;11.1810;11.2170,OK
microbench_tpch,1,w5a_050,5,26.7630,54.8768,167.2830;26.7960;26.7660;26.7760;26.7630,OK
microbench_tpch,1,w5a_056,5,54.4570,108.6332,226.5390;139.7200;54.4570;54.5500;67.9000,OK
microbench_tpch,1,w5b_030,5,249.4020,638.6322,2192.5970;250.1500;249.8180;251.1940;249.4020,OK
microbench_tpch,1,w5b_039,5,3157.7990,4423.0262,6108.9220;3277.8580;3157.7990;4475.3540;5095.1980,OK
microbench_tpch,1,w5b_040,5,4581.9460,5497.6618,5688.4520;5274.6820;5821.6280;4581.9460;6121.6010,OK
microbench_tpch,1,w5b_041,5,93.1780,202.3788,489.9520;229.6690;102.3090;96.7860;93.1780,OK
microbench_tpch,1,w5b_042,5,5920.0890,6358.8224,5920.0890;5989.7380;6709.4070;7095.3670;6079.5110,OK
microbench_tpch,1,w5b_043,5,780.1220,1725.7376,3088.2930;1327.4140;1874.8150;780.1220;1558.0440,OK
microbench_tpch,1,w5b_044,5,6291.4890,6725.0744,6291.4890;6835.5760;6903.7130;7084.9160;6509.6780,OK
microbench_tpch,1,w5b_045,0,,,,FAIL
microbench_tpch,1,w5b_047,0,,,,FAIL
microbench_tpch,1,w5b_051,5,8798.6080,9483.2820,11633.7390;9217.6360;8829.1370;8798.6080;8937.2900,OK
microbench_tpch,1,w6_020,5,2.3380,4.3080,12.1290;2.3540;2.3380;2.3440;2.3750,OK
microbench_tpch,1,w6_021,5,3.0960,5.3434,14.2150;3.1560;3.0960;3.1320;3.1180,OK
microbench_tpch,1,w6_026,5,9.8970,12.1318,20.7550;9.9220;9.9330;10.1520;9.8970,OK
microbench_tpch,1,w6_031,5,5.5110,7.5736,15.7190;5.5470;5.5470;5.5440;5.5110,OK
microbench_tpch,1,w6_032,5,3.7190,5.9936,15.0560;3.7490;3.7190;3.7220;3.7220,OK
microbench_tpch,1,w6_046,5,10.4880,12.7894,21.6380;10.7680;10.5370;10.4880;10.5160,OK
microbench_tpch,1,w6_060,5,14.4340,16.6516,25.2700;14.4490;14.4690;14.6360;14.4340,OK
