engine,benchmark,sf,query,storage,latency_ms,avg_gpu_power_w,avg_cpu_power_w,total_power_w,gpu_energy_j,total_energy_j,status
maximus,tpch,1,q1,gpu,9.5090,251.5,0.0,251.5,2.3915,2.3915,OK
maximus,tpch,1,q2,gpu,7.9040,165.1,0.0,165.1,1.3050,1.3050,OK
maximus,tpch,1,q3,gpu,5.3220,231.7,0.0,231.7,1.2331,1.2331,OK
maximus,tpch,1,q4,gpu,4.1740,231.9,0.0,231.9,0.9680,0.9680,OK
maximus,tpch,1,q5,gpu,50.6470,309.6,0.0,309.6,15.6803,15.6803,OK
maximus,tpch,1,q6,gpu,1.9750,212.2,0.0,212.2,0.4191,0.4191,OK
maximus,tpch,1,q7,gpu,17.2350,282.5,0.0,282.5,4.8689,4.8689,OK
maximus,tpch,1,q8,gpu,48.8360,287.7,0.0,287.7,14.0501,14.0501,OK
maximus,tpch,1,q9,gpu,127.1280,339.1,0.0,339.1,43.1091,43.1091,OK
maximus,tpch,1,q10,gpu,5.0240,239.2,0.0,239.2,1.2017,1.2017,OK
maximus,tpch,1,q11,gpu,11.3000,270.5,0.0,270.5,3.0567,3.0567,OK
maximus,tpch,1,q12,gpu,5.7780,231.2,0.0,231.2,1.3359,1.3359,OK
maximus,tpch,1,q13,gpu,46.9920,432.4,0.0,432.4,20.3193,20.3193,OK
maximus,tpch,1,q14,gpu,4.8930,222.0,0.0,222.0,1.0862,1.0862,OK
maximus,tpch,1,q15,gpu,3.9370,211.0,0.0,211.0,0.8307,0.8307,OK
maximus,tpch,1,q16,gpu,37.3840,328.4,0.0,328.4,12.2769,12.2769,OK
maximus,tpch,1,q17,gpu,6.7910,217.9,0.0,217.9,1.4798,1.4798,OK
maximus,tpch,1,q18,gpu,18.1500,356.9,0.0,356.9,6.4777,6.4777,OK
maximus,tpch,1,q19,gpu,104.2960,388.9,0.0,388.9,40.5607,40.5607,OK
maximus,tpch,1,q20,gpu,7.4800,235.1,0.0,235.1,1.7585,1.7585,OK
maximus,tpch,1,q22,gpu,4.1690,167.6,0.0,167.6,0.6987,0.6987,OK
maximus,tpch,1,q1,cpu,14.5120,125.8,0.0,125.8,1.8256,1.8256,OK
maximus,tpch,1,q2,cpu,8.5400,122.2,0.0,122.2,1.0436,1.0436,OK
maximus,tpch,1,q3,cpu,8.0620,121.0,0.0,121.0,0.9755,0.9755,OK
maximus,tpch,1,q4,cpu,6.0670,120.4,0.0,120.4,0.7305,0.7305,OK
maximus,tpch,1,q5,cpu,94.0190,135.2,0.0,135.2,12.7114,12.7114,OK
maximus,tpch,1,q6,cpu,4.2600,120.6,0.0,120.6,0.5138,0.5138,OK
maximus,tpch,1,q7,cpu,20.3660,125.6,0.0,125.6,2.5580,2.5580,OK
maximus,tpch,1,q8,cpu,103.9890,132.1,0.0,132.1,13.7369,13.7369,OK
maximus,tpch,1,q9,cpu,192.8350,153.7,0.0,153.7,29.6387,29.6387,OK
maximus,tpch,1,q10,cpu,8.3970,120.8,0.0,120.8,1.0144,1.0144,OK
maximus,tpch,1,q11,cpu,12.7850,149.0,0.0,149.0,1.9050,1.9050,OK
maximus,tpch,1,q12,cpu,18.1630,121.7,0.0,121.7,2.2104,2.2104,OK
maximus,tpch,1,q13,cpu,49.3160,233.9,0.0,233.9,11.5350,11.5350,OK
maximus,tpch,1,q14,cpu,15.9040,122.4,0.0,122.4,1.9466,1.9466,OK
maximus,tpch,1,q15,cpu,14.0660,121.3,0.0,121.3,1.7062,1.7062,OK
maximus,tpch,1,q16,cpu,39.2640,182.4,0.0,182.4,7.1618,7.1618,OK
maximus,tpch,1,q17,cpu,194.0870,121.8,0.0,121.8,23.6398,23.6398,OK
maximus,tpch,1,q18,cpu,209.2130,126.6,0.0,126.6,26.4864,26.4864,OK
maximus,tpch,1,q19,cpu,292.5480,154.3,0.0,154.3,45.1402,45.1402,OK
maximus,tpch,1,q20,cpu,20.6260,122.1,0.0,122.1,2.5184,2.5184,OK
maximus,tpch,1,q22,cpu,6.4610,123.2,0.0,123.2,0.7960,0.7960,OK
sirius,tpch,1,q1,gpu,14.0000,196.7,0.0,196.7,2.7538,2.7538,OK
sirius,tpch,1,q2,gpu,23.0000,128.6,0.0,128.6,2.9578,2.9578,OK
