engine,benchmark,sf,query,storage,n_reps,min_ms,query_ms,elapsed_s,n_samples,n_steady,avg_power_w,max_power_w,avg_util,max_mem_mb,avg_cpu_w,gpu_energy_j,cpu_energy_j,total_energy_j,status
maximus,tpch,1,q1,gpu,100,9.3330,9.3330,2.27,33,22,251.5,347.2,89.5,48711,0.0,2.3472,0.0000,2.3472,OK
maximus,tpch,1,q2,gpu,100,7.6320,7.6320,1.90,28,18,165.1,176.8,74.0,48712,0.0,1.2602,0.0000,1.2602,OK
maximus,tpch,1,q3,gpu,100,5.2370,5.2370,1.97,28,17,231.7,329.1,89.1,48714,0.0,1.2133,0.0000,1.2133,OK
maximus,tpch,1,q4,gpu,100,4.1230,4.1230,1.84,26,16,231.9,319.1,85.6,48715,0.0,0.9563,0.0000,0.9563,OK
maximus,tpch,1,q5,gpu,99,50.4630,50.4630,6.49,97,85,309.6,329.9,96.5,48719,0.0,15.6230,0.0000,15.6230,OK
maximus,tpch,1,q6,gpu,100,1.9010,1.9010,1.53,22,11,212.2,286.2,86.8,48720,0.0,0.4034,0.0000,0.4034,OK
maximus,tpch,1,q7,gpu,100,16.9850,16.9850,3.17,47,36,282.5,324.7,89.3,48719,0.0,4.7981,0.0000,4.7981,OK
maximus,tpch,1,q8,gpu,100,48.7570,48.7570,6.38,96,86,287.7,305.4,95.5,48717,0.0,14.0250,0.0000,14.0250,OK
maximus,tpch,1,q9,gpu,40,126.5570,126.5570,6.30,94,83,339.1,367.1,98.4,48716,0.0,42.9178,0.0000,42.9178,OK
maximus,tpch,1,q10,gpu,100,4.8180,4.8180,1.94,28,18,239.2,321.9,82.1,48716,0.0,1.1527,0.0000,1.1527,OK
maximus,tpch,1,q11,gpu,100,11.0540,11.0540,2.25,33,23,270.5,380.0,83.9,48717,0.0,2.9905,0.0000,2.9905,OK
maximus,tpch,1,q12,gpu,100,5.6990,5.6990,2.03,29,17,231.2,316.3,83.1,48718,0.0,1.3177,0.0000,1.3177,OK
maximus,tpch,1,q13,gpu,100,46.7700,46.7700,5.80,88,76,432.4,477.8,97.0,48719,0.0,20.2241,0.0000,20.2241,OK
