category,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,status
full,maximus,tpch,1,q1,gpu,3,9.5090,9.5090,OK
full,maximus,tpch,1,q2,gpu,3,7.9040,7.9040,OK
full,maximus,tpch,1,q3,gpu,3,5.3220,5.3220,OK
full,maximus,tpch,1,q4,gpu,3,4.1740,4.1740,OK
full,maximus,tpch,1,q5,gpu,3,50.6470,50.6030,OK
full,maximus,tpch,1,q6,gpu,3,1.9750,1.9750,OK
full,maximus,tpch,1,q7,gpu,3,17.2350,17.2350,OK
full,maximus,tpch,1,q8,gpu,3,48.8360,48.8360,OK
full,maximus,tpch,1,q9,gpu,3,127.1280,126.8440,OK
full,maximus,tpch,1,q10,gpu,3,5.0240,5.0240,OK
full,maximus,tpch,1,q11,gpu,3,11.3000,11.3000,OK
full,maximus,tpch,1,q12,gpu,3,5.7780,5.7780,OK
full,maximus,tpch,1,q13,gpu,3,46.9920,46.9920,OK
full,maximus,tpch,1,q14,gpu,3,4.8930,4.8930,OK
full,maximus,tpch,1,q15,gpu,3,3.9370,3.9370,OK
full,maximus,tpch,1,q16,gpu,3,37.3840,37.3840,OK
full,maximus,tpch,1,q17,gpu,3,6.7910,6.7910,OK
full,maximus,tpch,1,q18,gpu,3,18.1500,18.1500,OK
full,maximus,tpch,1,q19,gpu,3,104.2960,104.2300,OK
full,maximus,tpch,1,q20,gpu,3,7.4800,7.4800,OK
full,maximus,tpch,1,q21,gpu,0,,,OOM
full,maximus,tpch,1,q22,gpu,3,4.1690,4.1690,OK
full,maximus,tpch,1,q1,cpu,3,14.5120,14.5120,OK
full,maximus,tpch,1,q2,cpu,3,8.5400,8.5400,OK
full,maximus,tpch,1,q3,cpu,3,8.0620,8.0620,OK
full,maximus,tpch,1,q4,cpu,3,6.0670,6.0670,OK
full,maximus,tpch,1,q5,cpu,3,94.0190,94.0190,OK
full,maximus,tpch,1,q6,cpu,3,4.2600,4.2600,OK
full,maximus,tpch,1,q7,cpu,3,20.3660,20.3660,OK
full,maximus,tpch,1,q8,cpu,3,103.9890,103.9890,OK
