run_id,sf,query,time_s,zeus_energy_j,num_samples
sf1gb_q1,1gb,q1,17.072956177871674,,231
sf1gb_q10,1gb,q10,25.890196715015918,,390
sf1gb_q2,1gb,q2,16.930063732899725,,235
sf1gb_q3,1gb,q3,18.66557048400864,,240
sf1gb_q4,1gb,q4,16.78851476078853,,230
sf1gb_q5,1gb,q5,16.90178536484018,,246
sf1gb_q6,1gb,q6,17.89447111496702,,282
sf1gb_q7,1gb,q7,17.71396362502128,,286
sf1gb_q8,1gb,q8,17.131311898119748,,262
sf1gb_q9,1gb,q9,16.944069204851985,,230
sf2gb_q1,2gb,q1,16.941256660036743,,225
sf2gb_q10,2gb,q10,37.183238110970706,,574
sf2gb_q2,2gb,q2,17.373557263053954,,257
sf2gb_q3,2gb,q3,19.322007356677204,,286
sf2gb_q4,2gb,q4,17.16694471379742,,257
sf2gb_q5,2gb,q5,17.29103489406407,,254
sf2gb_q6,2gb,q6,17.16091567510739,,266
sf2gb_q7,2gb,q7,18.673223981633782,,303
sf2gb_q8,2gb,q8,17.068881649058312,,273
sf2gb_q9,2gb,q9,17.614199650939554,,258
sf3gb_q1,3gb,q1,17.204743274953216,,250
sf3gb_q10,3gb,q10,62.15184561908245,,1001
sf3gb_q2,3gb,q2,18.170082968194038,,256
sf3gb_q3,3gb,q3,20.729052806738764,,306
sf3gb_q4,3gb,q4,17.698127198964357,,251
sf3gb_q5,3gb,q5,17.650287710130215,,257
sf3gb_q6,3gb,q6,18.139279667753726,,274
sf3gb_q7,3gb,q7,19.784834559075534,,303
sf3gb_q8,3gb,q8,17.566038455348462,,264
sf3gb_q9,3gb,q9,18.14570350572467,,265
sf4gb_q1,4gb,q1,18.030492685269564,,267
sf4gb_q10,4gb,q10,79.08263337425888,,1707
sf4gb_q2,4gb,q2,18.769409629050642,,512
sf4gb_q3,4gb,q3,22.219275325071067,,622
sf4gb_q4,4gb,q4,18.315540539100766,,472
sf4gb_q5,4gb,q5,18.424049224238843,,303
sf4gb_q6,4gb,q6,18.32767742825672,,280
sf4gb_q7,4gb,q7,20.741647099144757,,332
sf4gb_q8,4gb,q8,18.075158565305173,,262
sf4gb_q9,4gb,q9,19.048150531947613,,288
