benchmark,sf,query,total_wall_s,overhead_s,n_reps,avg_ms,status
h2o,1gb,q1,16.598,15.9511,5,129.38,OK
h2o,1gb,q10,25.53,15.9511,5,1915.78,OK
h2o,1gb,q2,19.7735,15.9511,5,764.48,OK
h2o,1gb,q3,18.0186,15.9511,5,413.5,OK
h2o,1gb,q4,21.2808,15.9511,5,1065.94,OK
h2o,1gb,q5,16.8046,15.9511,5,170.7,OK
h2o,1gb,q6,17.2997,15.9511,5,269.72,OK
h2o,1gb,q7,17.6644,15.9511,5,342.66,OK
h2o,1gb,q8,16.6382,15.9511,5,137.42,OK
h2o,1gb,q9,20.2087,15.9511,5,851.52,OK
h2o,2gb,q1,20.4124,15.9511,5,892.26,OK
h2o,2gb,q10,38.5239,15.9511,5,4514.56,FALLBACK
h2o,2gb,q2,17.5653,15.9511,5,322.84,OK
h2o,2gb,q3,19.5136,15.9511,5,712.5,OK
h2o,2gb,q4,17.1491,15.9511,5,239.6,OK
h2o,2gb,q5,17.1476,15.9511,5,239.3,OK
h2o,2gb,q6,17.1594,15.9511,5,241.66,OK
h2o,2gb,q7,18.649,15.9511,5,539.58,OK
h2o,2gb,q8,17.0553,15.9511,5,220.84,OK
h2o,2gb,q9,17.468,15.9511,5,303.38,OK
h2o,3gb,q1,21.125,15.9511,5,1034.78,OK
h2o,3gb,q10,68.1417,15.9511,5,10438.12,FALLBACK
h2o,3gb,q2,22.0919,15.9511,5,1228.16,OK
h2o,3gb,q3,29.03,15.9511,5,2615.78,OK
h2o,3gb,q4,21.9646,15.9511,5,1202.7,OK
h2o,3gb,q5,17.6092,15.9511,5,331.62,OK
h2o,3gb,q6,17.7683,15.9511,5,363.44,OK
h2o,3gb,q7,24.4832,15.9511,5,1706.42,OK
h2o,3gb,q8,21.346,15.9511,5,1078.98,OK
h2o,3gb,q9,23.185,15.9511,5,1446.78,OK
h2o,4gb,q1,17.9943,15.9511,5,408.64,OK
h2o,4gb,q10,77.3788,15.9511,5,12285.54,FALLBACK
h2o,4gb,q2,18.5524,15.9511,5,520.26,OK
h2o,4gb,q3,21.8067,15.9511,5,1171.12,OK
h2o,4gb,q4,18.451,15.9511,5,499.98,OK
h2o,4gb,q5,18.5832,15.9511,5,526.42,OK
h2o,4gb,q6,18.1983,15.9511,5,449.44,OK
h2o,4gb,q7,20.794,15.9511,5,968.58,OK
h2o,4gb,q8,17.9496,15.9511,5,399.7,OK
h2o,4gb,q9,19.5685,15.9511,5,723.48,OK
