run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf5_q0,clickbench,5,q0,gpu,100,0,0.1,5.07,61,21,175.9,188.9,15691,96.9,97,0.0,109.7,1.8,0.0,OK
clickbench_sf5_q1,clickbench,5,q1,gpu,100,0,0.2,5.10,61,23,173.1,187.1,15693,95.7,96,0.0,109.7,1.8,0.0,OK
clickbench_sf5_q2,clickbench,5,q2,gpu,1429,7,7.1,39.87,486,483,147.9,163.9,15693,90.3,98,1.0,110.0,1.8,0.8,OK
clickbench_sf5_q3,clickbench,5,q3,gpu,1667,6,6.2,44.60,538,499,154.4,166.9,15693,97.1,98,0.9,110.3,1.8,0.7,OK
clickbench_sf5_q4,clickbench,5,q4,gpu,10000,1,1.1,198.12,2320,2273,184.5,187.1,15693,96.4,97,0.2,110.5,1.8,0.1,OK
clickbench_sf5_q5,clickbench,5,q5,gpu,10000,0,1.0,194.74,2263,2220,184.4,190.2,15693,96.0,97,0.0,110.6,1.8,0.0,OK
clickbench_sf5_q6,clickbench,5,q6,gpu,1250,8,8.1,36.48,452,413,145.6,154.1,15693,97.5,98,1.2,110.8,1.8,0.9,OK
clickbench_sf5_q7,clickbench,5,q7,gpu,100,0,0.4,5.21,60,27,155.7,181.0,15695,86.3,97,0.0,111.5,1.8,0.0,OK
clickbench_sf5_q8,clickbench,5,q8,gpu,271,36,37.0,18.26,232,192,190.3,193.7,15691,99.0,99,6.9,110.9,1.8,4.0,OK
clickbench_sf5_q9,clickbench,5,q9,gpu,271,37,37.3,18.46,232,192,191.4,193.8,15693,99.0,99,7.1,111.0,1.8,4.1,OK
clickbench_sf5_q10,clickbench,5,q10,gpu,2500,4,4.0,60.08,723,680,165.6,169.2,15691,96.0,97,0.7,110.6,1.8,0.4,OK
clickbench_sf5_q11,clickbench,5,q11,gpu,1667,6,6.0,44.09,521,481,161.8,167.9,15691,96.4,97,1.0,110.7,1.8,0.7,OK
clickbench_sf5_q12,clickbench,5,q12,gpu,556,17,18.1,24.38,315,277,125.4,142.1,15697,55.3,62,2.1,110.5,1.8,1.9,OK
clickbench_sf5_q13,clickbench,5,q13,gpu,223,45,45.4,17.83,228,188,132.1,144.3,15693,73.3,82,5.9,110.9,1.8,5.0,OK
clickbench_sf5_q14,clickbench,5,q14,gpu,527,18,19.0,23.62,304,299,116.4,138.2,15697,47.0,78,2.1,110.7,1.8,2.0,OK
clickbench_sf5_q15,clickbench,5,q15,gpu,5000,2,2.0,105.93,1249,1204,179.1,181.2,15697,96.8,97,0.4,111.0,1.8,0.2,OK
